section-result-title,section-result-details,section-result-location,cards-rating-score,section-result-num-ratings,section-result-info,section-result-info 2,section-result-description
A&L MARKETING,Hardware store,Evangelista St,,,,,
TWA ENTERPRISES,Hardware store,Evangelista St,,,,,
RVG-FN TRADING,Hardware store,Carlos P. Garcia Ave,,,,,
Ambacon Trading- Talibon Branch,Hardware store,,5.0,(3),Open until 5:30 pm,0932 859 8073,
FBA Hardware,Hardware store,,,,,,
JPB HARDWARE & CONSTRUCTION SUPPLY,Hardware store,POBLACION,,,,,
JRKD Enterprises,Building materials store,Evangelista St,,,,,
PENGAVATOR HARDWARE,Hardware store,POB.,,,,,
GAMMA COMMERCIAL,Hardware store,POB.,3.0,(1),,,
Talibon Tiles Trading,Tile store,"Suburban Village, V, Auxtero St",,,Open until 5:00 pm,0922 944 6360,
Abenson Alturas Mall Talibon,Appliance store,,,,Closing soon: 4:00 pm,(038) 544 2486,
Ace Hardware Island Central Mactan,Hardware store,"2nd Floor (Units 33-39), Mactan Economic Zone 1,, M.L. Quezon National Highway, Bgy. Pusok, Lapu-Lapu City",3.6,(16),Open until 10:00 pm,(032) 260 1719,Source for tools & supplies
Ace Hardware,Hardware store,G/F SM City Seaside,3.7,(18),Open until 9:00 pm,(02) 8367 7253,Source for tools & supplies
Ace Hardware,Hardware store,"U/GF Jmall Centre, AS Fortunata St, V.Albano",3.9,(20),Open until 9:00 pm,(032) 520 3224,Source for tools & supplies
MM Home Depot,Hardware store,"Sitio Colis E Boyles St. Poblacion, Ubay Bohol",4.5,(16),Open until 5:00 pm,(038) 518 8831,
Ace Hardware SM City Cebu,Hardware store,U/GF SM City Cebu,3.8,(40),Open until 7:00 pm,0917 892 2348,Source for tools & supplies
Ambacon Trading-Getafe Branch,Hardware store,,4.0,(3),Open until 5:00 pm,0932 859 8073,
Cebu Atlantic Hardware Inc.,Hardware store,66-72 B. Aranas St,4.0,(99),Open until 5:30 pm,(032) 261 4692,
Belmont Hardware Depot Mandaue,Hardware store,"MC. Briones St. Hi-way, Mandaue City, Cebu",4.5,(38),Open until 5:30 pm,(032) 505 0000,
Kaking Hardware,Hardware store,115 Plaridel St,4.1,(24),Open until 5:00 pm,(032) 254 7719,
Ace Hardware SM City Consolacion,Hardware store,"2/F SM City Consolacion, Cebu North Road,, Brgy. Lamac, Municipality of Consolacion, Cebu",4.0,(10),Open until 7:00 pm,0917 659 8532,Source for tools & supplies
Belmont Hardware Depot Cebu,Hardware store,Legaspi St,4.3,(185),Open until 5:00 pm,(032) 505 0000,
Ace Hardware,Hardware store,"G/F SM City Cebu, Juan Luna Ave Ext",4.3,(24),Open until 9:00 pm,(032) 231 7125,Source for tools & supplies
True Value Hardware Philippines - Ayala Center Cebu,Hardware store,"3rd Level, Ayala Center Cebu",3.2,(12),Open until 9:00 pm,(032) 266 1522,
"Cebu Bionic Builder Supply, Inc.",Hardware store,240 Magallanes St,3.6,(39),Open until 5:30 pm,(032) 253 1931,
"Hardware Centre Cebu, Inc.",Hardware store,J. De Veyra St. North Reclamation Area,1.7,(3),,(032) 233 0256,
"Cebu Oversea Hardware Company, Incorporated",Hardware store,82 Plaridel St,3.6,(11),Open until 5:00 pm,(032) 254 1511,
Centennial Hardware,Hardware store,"Hawaiian Village, Basak-Marigondon Rd",3.6,(14),,(032) 495 6791,
Atlantic Hardware,Hardware store,26C Dr Pablo U. Abella St,3.9,(15),Open until 5:30 pm,(032) 261 4692,
"Cebu Champion Hardware and Electrical Depot, Inc.",Hardware store,Pres. Quirino St,3.7,(6),Open until 5:00 pm,(032) 234 4342,
Liam's Hardware,Hardware store,Zone 4,,,Closing soon: 4:00 pm,(032) 495 2553,
HANDYMAN Do it Best,Hardware store,"Elizabeth Mall, Leon Kilat Street, corner N. Bacalso Avenue, San Nicolas",3.6,(16),Open until 8:00 pm,(032) 256 1665,Source for tools & supplies
Ronskie Hardware,Hardware store,476 Gorordo Ave,3.0,(1),Open until 9:00 pm,(032) 340 7984,Source for tools & supplies
True Value,Hardware store,"ayala center cebu, 176 Archbishop Reyes Ave. Cebu Business Park",1.0,(1),Open until 9:00 pm,(032) 266 1522,Source for tools & supplies
B & A Hardware & Construction Supply,Hardware store,Cebu N Rd,4.5,(2),Open until 5:00 pm,(032) 345 8836,
Atlas Electrical And Hardware Company,Hardware store,Elizabeth Pond St,3.8,(40),Open until 7:00 pm,(032) 412 6390,Source for tools & supplies
Felman Hardware,Hardware store,"290, M J Cuenco Avenue, Mabolo",4.0,(3),Open until 5:00 pm,(032) 416 7015,
Citi Hardware,Hardware store,155 Natalio B. Bacalso Ave,4.1,(134),Open until 8:00 pm,(032) 272 9683,
Chanieka Hardware,Hardware store,T. Padilla,4.5,(38),Open until 5:30 pm,(032) 414 4338,
Boston Hardware Inc.,Hardware store,1620 Hernan Cortes St,4.1,(24),Open until 5:00 pm,0995 103 1505,
Louis Building & Construction Supply,Hardware store,Sitio Casio,5.0,(2),Open until 5:00 pm,(032) 260 4667,Source for tools & supplies
Mish Grace Hardware,Hardware store,Don Jose Avila St,3.5,(2),Open until 5:00 pm,(032) 324 3762,
Duane & Dwight Enterprises Main Branch,Hardware store,"ML Quezon National, High-way",3.0,(1),Open until 5:00 pm,(032) 236 7697,Source for tools & supplies
Golden Banawa Hardware,Hardware store,M. Velez St,3.5,(4),Open until 9:00 pm,(032) 254 5553,
New Yutek Hardware,Hardware store,Zulueta St,4.2,(19),Open until 6:00 pm,(032) 255 5406,
Ardon Hardware,Hardware store,ADM Bldg,1.7,(3),,(032) 423 9908,
Cebu Home and Builders Centre - Mactan,Hardware store,"Menzi Compound, M.L. Quezon National Highway",4.1,(66),Open until 7:00 pm,(032) 341 5804,
Centro Hardware,Hardware store,,3.6,(14),,(032) 423 5214,
"Mandaue Cebu Tradecenter, Inc.",Hardware store,70 Lopez Jaena St,3.7,(6),Open until 5:00 pm,(032) 346 0266,
Atlantic Hardware,Hardware store,3700 Cebu S Rd,4.1,(213),Open until 7:00 pm,(032) 272 1007,
"Cebuano Construction Supply, Inc.",Hardware store,840 A. S. Fortuna St,,,Closing soon: 4:00 pm,(032) 346 2699,
Arrow Hardware,Hardware store,Central Nautical Hwy,2.0,(2),Open until 8:00 pm,(032) 514 9976,Source for tools & supplies
Kakeng,Hardware store,Plaridel St,3.0,(1),Open until 9:00 pm,(032) 255 8447,Source for tools & supplies
Mel Mich Hardware,Hardware store,110 - A Katipunan St,1.0,(1),Open until 9:00 pm,(02) 3418 0838,Source for tools & supplies
Eureka Hardware,Hardware store,89 Juan Luna St,4.5,(2),Open until 6:00 pm,(032) 730 3724,
Sean K - Specialised Bolt Centre,Hardware store,"Fortuna - Ca Baug Bldg., S.B. Cabahug",3.8,(40),Open until 7:00 pm,(032) 346 2988,Source for tools & supplies
"Hardwarehaus Cebu, Inc.",Hardware store,34-36 F. Gonzales St,3.2,(12),Open until 8:00 pm,(032) 254 9464,
Home Base General Merchandise,Hardware store,Hiway 77,4.1,(134),Open until 6:00 pm,0922 807 4594,
Hammer Luck Hardware,Hardware store,"Door 11, J King Building, T. Padilla",3.9,(7),Open until 5:30 pm,(032) 236 5451,
Khinalunzan Enterprises,Hardware store,Kinalumsan St.,4.0,(3),Open until 5:00 pm,(032) 495 5782,
Dan Enrico,Hardware store,Basak-Marigondon Rd,4.3,(15),Open until 5:00 pm,(032) 495 6717,Source for tools & supplies
BESTGUARD HARDWARE,Hardware store,257 A. Borromeo St,5.0,(1),Open until 6:00 pm,0945 298 5988,
Robin Hardware,Hardware store,M. J. Cuenco Ave,3.0,(2),Open until 5:00 pm,(02) 8231 0267,Source for tools & supplies
Mactan Island Hardware,Hardware store,New Sangi Road,3.5,(4),Open until 9:00 pm,(032) 512 3655,
Francisca Hardware,Hardware store,B.Suico,4.2,(19),Open until 6:00 pm,0933 506 6147,
Alfonso Co Hardware,Hardware store,G.Y. Dela Serna St,3.7,(15),(032) 423 9908,,
Luis Ross Enterprises,Hardware store,713 V Rama Ave,4.0,(1),Open until 7:00 pm,(032) 266 1015,
Querubin Construction Supply Co,Hardware store,Rizal St,3.7,(3),,(032) 343 1463,
Handyman Incorporated,Hardware store,"Robinson's Place Cebu, Fuente Osmeña Circle, corner Jones Avenue",4.0,(1),Open until 5:00 pm,(032) 253 3679,
Polpancab Enterprises,Hardware store,Labogon Rd,4.1,(213),Open until 5:00 pm,3540101,
A.R.Colina's Enterprises,Hardware store,Hernan Cortes St,5.0,(1),Open until 5:00 pm,(032) 239 5856,
Cebu Painters Center,Hardware store,,4.4,(13),(032) 514 9976,Open until 8:00 pm,Source for tools & supplies
Trenton Hardware and Builders,Hardware store,Nivel Hills Rd,5.0,(2),Open until 5:30 pm,(032) 418 0408,Source for tools & supplies
Reycarl,Hardware store,A. Tumulak St,1.0,(1),Open until 9:00 pm,(032) 340 3525,Source for tools & supplies
Arrow Hardware,Hardware store,"National Highway, Basak",4.5,(2),Open until 6:00 pm,(032) 419 7437,
Mactan Hardware,Hardware store,"Tiangue Road, Mactan",4.0,(1),Open until 7:00 pm,(032) 238 0820,Source for tools & supplies
United Home Finishing Industries Corporation,Hardware store,"ACE Acuzar Building, P. Rodriguez Street Corner A. Pedroza Street, Poblacion Bogo",3.2,(12),Open until 8:00 pm,(032) 434 8120,
Compostela Hardware and Construction Supply,Hardware store,"Central Nautical Highway, Aggies",4.1,(134),Open until 6:00 pm,(032) 425 8141,
Handyman Do it Best Robinsons Fuente,Hardware store,"L/GF Robinsons Fuente, Fuente Osmeña, cor Jones Ave",3.9,(7),Open until 5:30 pm,(032) 254 0348,
"AHI Alliance Hardware, Inc.",Hardware store,"LBF Bldg, Zulueta Strt",3.0,(3),Open until 5:00 pm,(032) 253 2508,
GJ Coco Mart,Hardware store,Soong 2,3.0,(1),Open until 5:00 pm,(032) 238 5093,Source for tools & supplies
Natividad Hardware,Hardware store,71-A A. Lopez St,5.0,(1),Open until 6:00 pm,(032) 261 2271,
Quin Enterprises,Hardware store,M. L. Quezon St,4.0,(2),Open until 5:00 pm,(032) 344 7301,Source for tools & supplies
"Ho Tong Hardware, Incorporated",Hardware store,26 Colon St,3.7,(9),Open until 6:00 pm,(032) 256 0964,
C3 Belmont Hardware Depot,Hardware store,M. C. Briones St,4.2,(19),Open until 6:00 pm,(032) 346 4268,
Juasing Hardware Incorporated,Hardware store,2731 S Cabahug,3.7,(15),,(032) 232 7366,
"AHI Alliance Hardware, Inc.",Hardware store,J. De Veyra St,5.0,(4),Open until 5:00 pm,0917 320 0634,
LJ Plaza Hardware,Hardware store,Upper Centro,3.7,(3),,0933 301 0996,
B E S Pacific Hardware And Industrial Supply,Hardware store,M J Cuenco Avenue,4.0,(1),Open until 5:00 pm,(032) 253 7922,
Evan Aulga Hardware,Hardware store,R. Duterte St,3.7,(6),Open until 5:00 pm,(032) 254 2159,
C.O.M. Hardware Incorporated,Hardware store,"Fumi Building, H. Cortes Street, Subangdako",5.0,(1),Open until 5:00 pm,(032) 268 2694,
Friendship Hardware,Hardware store,B. Aranas St,4.4,(13),Open until 8:00 pm,(032) 261 0956,Source for tools & supplies
Boston Hardware,Hardware store,27 San Antonio Rd,5.0,(2),Open until 5:30 pm,(032) 261 2294,Source for tools & supplies
Megastar Hardware Incorporated,Hardware store,"National Highway, Basak",1.0,(1),Open until 9:00 pm,(032) 346 5031,Source for tools & supplies
Mactan Solid Hardware & Lumber Inc.,Hardware store,M.V Patalinghug Jr. Avenue,3.0,(2),Open until 5:30 pm,(032) 514 8871,
Mahayahay Enterprises,Hardware store,Mahayahay,4.1,(9),Open until 5:30 pm,(032) 316 8687,Source for tools & supplies
New Millenium Hardware,Hardware store,Lopez Jaena St,4.0,(1),Open until 10:00 pm,(032) 345 2330,
R.M. Housing Supply,Hardware store,Gov. M. Cuenco Ave,4.1,(134),Open until 6:00 pm,0906 404 3521,
D&t Homecare Enterprises,Hardware store,50 Osmeña Blvd,3.9,(7),Open until 5:00 pm,(032) 417 2613,
Philmark Hardware,Hardware store,78 Tiburcio Padilla St,3.0,(3),Open until 5:00 pm,(032) 254 5942,
ATP Peripherals Philippines Incorporated,Hardware store,35 Bauhinia Drive,3.0,(1),Open until 5:00 pm,(032) 231 3797,Source for tools & supplies
Centrade Hardware Corp.,Hardware store,M. J. Cuenco Ave,5.0,(1),Open until 6:00 pm,(032) 232 8858,
"Juasing Hardware, Inc",Hardware store,S. Osmena Blvd,4.0,(7),Open until 5:00 pm,(032) 255 1841,Source for tools & supplies
Cebu JL Hardware,Hardware store,,3.7,(9),Open until 6:00 pm,(032) 256 0964,
"Com Hardware, Inc. Bosch Professional Power Tools For Trade & Industry",Hardware store,Hernan Cortes St,4.2,(19),(032) 346 4268,Open until 6:00 pm,
G & E Gen. Merchandise,Hardware store,Gov. M. Cuenco Ave,3.7,(15),,(032) 346 6147,
Zenith Hardware,Hardware store,Legaspi St,5.0,(4),Open until 5:00 pm,(032) 412 1794,
SJM building HAMMER LUCK Hardware,Hardware store,57 Tiburcio Padilla St,3.7,(3),0933 301 0996,,
Pentax Hardware Inc,Hardware store,82 F. Gonzales St,4.0,(3),Open until 6:00 pm,(032) 255 8804,
Cebu Oversea Hardware Co. Inc.,Hardware store,3rd Ave,3.7,(6),(032) 254 2159,Open until 5:00 pm,
Cebu Young Hardware Inc.,Hardware store,Plaridel St,5.0,(1),Open until 5:00 pm,(032) 256 1251,
Crown Hardware,Hardware store,Katipunan St,4.4,(13),Open until 8:00 pm,2614168,Source for tools & supplies
Cheneka hardware,Hardware store,,5.0,(2),(032) 261 2294,Open until 5:30 pm,Source for tools & supplies
Filmon Hardware Inc.,Hardware store,"Filmon Bldg, Jakosalem St",4.3,(11),Open until 9:00 pm,(032) 253 1494,Source for tools & supplies
JCT Construction Supply,Hardware store,S. Osmeña Street,4.2,(5),Open until 5:00 pm,(032) 340 4266,
Pentax Hardware Incorporated,Hardware store,B. Benedicto Street,4.1,(9),Open until 5:30 pm,(032) 232 5934,Source for tools & supplies
Buaya Saac Mini Hardware,Hardware store,Saac 1,5.0,(1),Open until 10:00 pm,(032) 231 4392,
Handyman Do it Best Gaisano Island Mall Mactan,Hardware store,"G/F Gaisano Island Mall Mactan, M.L. Quezon National Highway",3.8,(6),Open until 6:00 pm,(032) 343 2053,
Rigid Blocks & Hardware,Hardware store,Basak-Marigondon Rd,4.0,(2),Open until 5:00 pm,(032) 340 1758,
Handyman Do it Best Grand Mall Liloan,Hardware store,"L/GF Grand Mall, Central Nautical Hwy",3.0,(3),Open until 5:00 pm,(032) 239 4886,
Cebu Eastern Hardware,Hardware store,Plaridel 1,3.0,(2),Open until 5:30 pm,(032) 256 1171,Source for tools & supplies
"Cebu Champion Hardware and Electrical Depot, Inc.",Hardware store,"11 Pres. Quirino St, Villa Aurora Subd",4.0,(2),Open until 6:00 pm,(032) 231 7139,
Cebu Young Hardware Inc.,Hardware store,Plaridel St,4.0,(7),Open until 5:00 pm,(032) 256 1251,Source for tools & supplies
"AHI Alliance Hardware, Inc.",Hardware store,"North Reclamation Area, Jose L. Briones Street",3.7,(3),Open until 5:00 pm,(032) 233 0368,
Handyman Do It Best Grand Mall Mactan,Hardware store,"G/F Grand Mall Mactan, Basak, Ibabao - Gisi - Agus Rd",4.0,(2),Open until 6:00 pm,(032) 505 8119,
Dan Enrico Corporation,Hardware store,Sudtunggan,3.9,(15),Open until 5:30 pm,(032) 495 6262,
RGS,Hardware store,Tiangue Rd Cor. Kalawisan,5.0,(2),Open until 5:00 pm,(032) 495 1801,
Cathay Hardware Inc.,Hardware store,186 Plaridel St,4.0,(7),Open until 6:00 pm,(032) 254 9908,
Mys Hardware,Hardware store,"Carbon Market, M. C. Briones Street",4.0,(3),Open until 6:00 pm,(032) 416 9993,
True Value Hardware,Hardware store,"Central Bloc, V. Padriga St",3.7,(6),Open until 11:00 pm,0998 846 6339,
Shun Lee Trading,Hardware store,221 Tiburcio,5.0,(1),Open until 5:00 pm,(032) 253 9591,
"Cebu Liberty Lumber Co., Inc",Hardware store,M. J. Cuenco Ave,2.3,(3),Open until 8:00 pm,(032) 232 2238,Source for tools & supplies
Rigid Blocks & Hardware,Hardware store,Basak-Marigondon Rd,4.0,(2),Open until 5:30 pm,(032) 340 1758,Source for tools & supplies
Winel's,Hardware store,Morocos,4.3,(11),Open until 9:00 pm,0922 253 3017,Source for tools & supplies
Kreemar Enterprises,Hardware store,"543-F, Francisco Llamas St",4.2,(5),Open until 5:00 pm,(032) 261 9790,
"Cebu Southern Hardware, Inc.",Hardware store,135 Plaridel St,4.0,(3),Open until 6:00 pm,(032) 253 4183,Source for tools & supplies
Rube Enterprises,Hardware store,V Rama Ave,5.0,(1),Open until 10:00 pm,(032) 253 3240,
Marguad,Hardware store,V Rama Ave,3.8,(6),Open until 6:00 pm,(032) 262 3922,
Bright Century Hardware,Hardware store,Natalio B. Bacalso Ave,4.0,(2),(032) 340 1758,Open until 5:00 pm,
Cebu Topstrong Hardware Supplies Inc.,Hardware store,T Abella St,3.0,(3),Open until 5:00 pm,(032) 414 4624,
TITP GENERAL MERCHANDISE,Hardware store,,5.0,(2),(032) 256 1171,Open until 5:30 pm,Source for tools & supplies
CW Home Depot,Hardware store,,1.0,(1),(032) 231 7139,Open until 6:00 pm,
Fil - Ann Enterprises,Hardware store,113-115 Plaridel St,4.0,(10),Open until 6:00 pm,(032) 254 9028,Source for tools & supplies
JK7 Enterprises,Hardware store,Ganciang St,3.7,(3),Open until 5:00 pm,(032) 421 0785,
Danfel Trading,Hardware store,Gorordo Ave,4.0,(2),Open until 6:00 pm,(032) 231 1389,
"Top Builders Enterprises, Inc.",Hardware store,"556 Englis v.Rama Ave Cebu City, Philippines",3.7,(3),Open until 5:30 pm,(032) 254 0595,
Conching's Electrical Supply,Hardware store,121 V. Gullas St.,5.0,(2),Open until 5:00 pm,(032) 253 8605,
True Value Hardware Philippines - Robinsons Galleria Cebu,Hardware store,"2nd Level, Robinsons Galleria Cebu, Gen. Maxilom Ext",3.0,(2),Open until 9:00 pm,(032) 230 7665,
Rackks Hardware,Hardware store,H Abellana,3.0,(1),Open until 5:00 pm,(032) 415 9948,
Eagle Hardware,Hardware store,"Pegasus Bldg., Hernan Cortes St",3.3,(7),Open until 5:30 pm,(032) 346 3956,
