section-result-title,cards-rating-score,section-result-num-ratings,section-result-details,section-result-location,section-result-info,section-result-info 2,section-result-action href,section-result-action-icon src 2,section-result-action-text 2
N.H. Pharmacy,4.0,(1),Pharmacy,N Escario St,Open until 9:00 pm,,,,
Well-Care Pharmacy,1.0,(1),Pharmacy,"242, Gorordo Avenue, Camputhaw",,(032) 233 6153,,,
Rose Pharmacy,4.0,(1),Pharmacy,"Salvador ext.,Labangon",Open until 11:00 pm,(032) 260 1421,http://www.rosepharmacy.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Rose Pharmacy,3.1,(9),Pharmacy,"Avila Bldg, Colon St",Open until 9:00 pm,(032) 255 6505,http://www.rosepharmacy.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Pharmacy Alen,,,Pharmacy,3 OPRRA Unit One [one way],,,,,
Evercare Pharmacy,5.0,(1),Pharmacy,Colon St,Open until 7:00 pm,(032) 253 4880,,,
ThreeSixty Pharmacy,3.6,(9),Pharmacy,2 Gorordo Ave,,(032) 414 7224,https://www.facebook.com/ThreeSixty-Pharmacy-Official-Fan-Page-300661136709388/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Rose Pharmacy,3.7,(3),Pharmacy,"V. Rama Avenue, Guadalupe",Open until 10:00 pm,(032) 254 9544,http://www.rosepharmacy.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Rose Pharmacy,4.4,(5),Pharmacy,Gov. M. Cuenco Ave,Open until 11:00 pm,(032) 239 4153,http://www.rosepharmacy.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Rose Pharmacy,4.0,(5),Pharmacy,"Ayala Center Cebu, Stall 277, 2nd Flr. Cebu Business Park",Open until 9:00 pm,(032) 233 7844,http://www.rosepharmacy.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
"Wellmed Pharmacy, Incorporated",,,Pharmacy,"880 A.S. Fortuna Street, Banilad",,,,,
Mom's Best Value Pharmacy,5.0,(1),Pharmacy,F. Ramos St,Open until 10:00 pm,,,,
Rose Pharmacy,1.0,(1),Pharmacy,"Ground Floor, Gaisano Capital Casuntingan, M. L.Quezon Avenue, Casuntingan",Open until 8:30 pm,0920 949 1792,http://www.rosepharmacy.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Rose Pharmacy,5.0,(1),Pharmacy,"APM North, F. Cabahug St",,(032) 260 7310,http://www.rosepharmacy.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Rose Pharmacy- SM City Cebu,5.0,(2),Pharmacy,"SM City Cebu, Unit 159, Upper GF, SM City, 8th St., Reclamation Area",Open until 9:00 pm,(032) 232 0608,http://www.rosepharmacy.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
The Realmed Pharmacy,,,Pharmacy,Aznar Rd,,,http://www.therealmedpharmacy.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Bestway Pharmacy,3.5,(2),Pharmacy,Hernan Cortes St,,(032) 345 0138,,,
Dens Triple A Pharmacy,,,Pharmacy,"B. Rodriguez Street, Capitol",,(032) 254 9485,,,
Anteo Pharmacy,,,Pharmacy,"An-An Hollow Blocks, Carlock Strert, Duljo Fatima",,(032) 418 8792,,,
Golden Care Pharmacy,,,Pharmacy,P. Cabantan,Open until 6:00 pm,(032) 419 1499,,,
Golden Care Pharmacy,4.0,(1),Pharmacy,P. Cabantan,Open until 6:00 pm,(032) 419 1499,,,
Rose Pharmacy,4.4,(8),Pharmacy,"Cebu Corporate Accts., Highway Guizo, Mandaue City, Cebu",,(032) 343 3622,http://www.rosepharmacy.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Ann Ver Pharmacy and General Merchandise,4.0,(1),Pharmacy,Mactan Street,Open until 11:00 pm,(032) 493 4024,,,
A.L.V. Pharmacy and General Merchandise,3.1,(9),Pharmacy,"183, M. Velez Street, Guadalupe",Open until 9:00 pm,(032) 262 7621,,,
Rubees Pharmacy,,,Pharmacy,"Talamban, Cebu City",,(032) 345 1290,,,
Tri Gie's Pharmacy & General Merchandise,5.0,(1),Pharmacy,86 Salvador St,Open until 7:00 pm,(032) 272 3504,,,
Rose Pharmacy- Tita Gwapa Labangon,3.5,(2),Pharmacy,Francisco Llamas St,Open until 10:00 pm,(032) 262 2694,http://www.rosepharmacy.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Cebu Worldwide Pharmacy,3.7,(3),Pharmacy,195 Magallanes St,Open until 10:00 pm,(032) 254 7217,,,
ThreeSixty Pharmacy,1.0,(1),Pharmacy,F. Ramos St,Open until 11:00 pm,(032) 262 7108,,,
Completesolution Pharmacy and General Merchandise,4.0,(5),Pharmacy,174 Gov. M. Roa St,Open until 9:00 pm,(032) 253 1188,,,
Corazon De Jesus Pharmacy,,,Pharmacy,"77, M.C. Briones Street, Ermita",,(032) 256 2691,,,
New Sacred Heart Pharmacy,1.7,(3),Pharmacy,19 B. Rodriguez St,Open until 10:00 pm,(032) 253 5357,,,
ThreeSixty Pharmacy,4.0,(1),Pharmacy,M. L. Quezon Ave,Open until 8:30 pm,(032) 236 4390,,,
ThreeSixty Pharmacy,4.0,(2),Pharmacy,Natalio B. Bacalso Ave,(032) 260 7310,,http://www.threesixtypharmacy.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Jobee Pharmacy and Grocery,5.0,(2),Pharmacy,,Open until 8:00 pm,(032) 232 0608,,,
Mercury Drug,3.6,(5),Pharmacy,120 Colon St,,(032) 253 0513,http://www.mercurydrug.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
JY Square Pharmacy,3.5,(2),Pharmacy,Gorordo Ave,Open until 7:45 pm,(032) 345 0138,,,
Pills and More Pharmacy,4.5,(6),Pharmacy,311 General Maxilom Ave,Open until 7:30 pm,(032) 254 9485,,,
Rose Pharmacy,,,Pharmacy,"GF Gaisano Capital SRP Mall, Highway San Roque",Open until 8:30 pm,(032) 260 7007,http://www.rosepharmacy.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Watsons SM Seaside Supermarket,4.3,(3),Pharmacy,"SM Seaside Mall, South Road Properties",Open until 9:00 pm,(032) 340 1713,http://www.watsons.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
ThreeSixty Pharmacy,3.3,(3),Pharmacy,"Gov. M. Cuenco Avenue, Talamban Rd",Open until 11:00 pm,(032) 520 9885,http://www.threesixtypharmacy.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Generika Pharmacy,4.4,(8),Pharmacy,,Open until 11:00 pm,(032) 343 3622,,,
Diding's Pharmacy,5.0,(1),Pharmacy,174 Manalili St,Open until 7:00 pm,(032) 255 8622,,,
Rose Pharmacy Inc.,3.1,(9),Pharmacy,Andres Abellana St,(032) 262 7621,Open until 9:00 pm,http://www.rosepharmacy.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
JRL Pharmacy,,,Pharmacy,Sikatuna St,(032) 345 1290,,,,
Rose Pharmacy,5.0,(1),Pharmacy,"J Center Mall #165 Brgy. Makilid, A. S. Fortuna St",Open until 9:00 pm,(032) 520 3608,http://www.rosepharmacy.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Universe Pharmacy,4.4,(5),Pharmacy,366 Magallanes St,Open until 6:00 pm,(032) 253 0146,,,
The Generics Pharmacy,3.7,(3),Pharmacy,"APM Mall Building, A. Soriano Ave",Open until 10:00 pm,(032) 268 0755,,,
TGP The Generics Pharmacy,3.0,(1),Pharmacy,"0768 CORNER SALINAS & VETERANS DRIVE LAHUG, CEBU CITY",Open until 9:00 pm,(032) 262 7108,http://www.tgp.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Boss Pharmacy and General Merchandise,4.0,(5),Pharmacy,"462, Gorordo Avenue, Lahug",Open until 9:00 pm,(032) 414 7273,,,
Queen's Pharmacy,4.3,(6),Pharmacy,A. Borromeo St Cor Colon St,,(032) 253 1073,,,
Threesixty Pharmacy,4.3,(3),Pharmacy,"Corner Escario and, F. Ramos Ext",Open until 11:00 pm,(032) 520 9060,,,
The Generics Pharmacy,3.0,(2),Pharmacy,"VCMC Mix Use Building, Osmenta Boulevard",(032) 236 4390,Open until 8:30 pm,,,
LGL Pharmacy and General Merchandise,5.0,(1),Pharmacy,"157, P. Cabantan Street",,(032) 232 8546,,,
Rose Pharmacy,3.7,(3),Pharmacy,"Skyrise 1, I. Villa St",(032) 232 0608,Open until 8:00 pm,https://www.rosepharmacy.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Zarri Pharmacy,3.6,(5),Pharmacy,N Escario St,,(032) 268 8853,,,
The Generics Pharmacy,3.0,(1),Pharmacy,Katipunan St,(032) 345 0138,Open until 7:45 pm,,,
King's Pharmacy,4.3,(3),Pharmacy,Sanciangko Cor. Borromeo St.,Open until 5:30 pm,(032) 254 3264,,,
5th Avenue Pharmacy,5.0,(1),Pharmacy,"Angelica Building, Osmeña Blvd",Open until 7:00 pm,(032) 419 9612,,,
Diamond Pharmacy,1.0,(1),Pharmacy,Gov. M. Cuenco Ave,(032) 340 1713,Open until 9:00 pm,,,
M Lhuillier Pharmacy,3.0,(1),Pharmacy,"Z Zapatera Plaza, Dionisio Jakosalem St",Open until 11:00 pm,(032) 505 7794,,,
TGP The Generics Pharmacy,4.4,(8),Pharmacy,"CORNER ARCHBISHOP REYES AVENUE & CABANTAN ST., CEBU CITY",Open until 9:00 pm,(032) 343 3622,http://www.tgp.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
TGP The Generics Pharmacy,5.0,(1),Pharmacy,"490-2 V. RAMA AVENUE GUADALUPE, CEBU CITY",Open until 9:00 pm,(032) 255 8622,http://www.tgp.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Rose Pharmacy,3.7,(3),Pharmacy,"Piazza Elesia Comm'l. Bldg., Talamban",Open until 12:00 am,(032) 344 6771,http://www.rosepharmacy.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
ThreeSixty Pharmacy,2.0,(2),Pharmacy,V Rama Ave,,(032) 412 9112,http://www.facebook.com/threesixtypharmacy,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Three Sixty Pharmacy,5.0,(1),Pharmacy,Gov. M. Roa St,(032) 520 3608,Open until 9:00 pm,https://www.facebook.com/ThreeSixty-Pharmacy-Official-Fan-Page-300661136709388/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
ThreeSixty Pharmacy,3.5,(2),Pharmacy,170 Lopez Jaena St,Open until 12:00 am,(032) 236 9122,https://www.facebook.com/threesixtypharmacy,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
The Generics Pharmacy,3.7,(3),Pharmacy,M. L. Quezon Ave,Open until 10:00 pm,(032) 513 8285,,,
KLY Pharmacy,3.0,(1),Pharmacy,Veterans Drive Cor. Salinas Drive Ext.,Open until 9:00 pm,(032) 417 0017,https://www.facebook.com/pages/KLY-Pharmacy/752364678185111,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
TGP The Generics Pharmacy,4.0,(5),Pharmacy,"GROUND FLOOR NO. 85 OSMEÑA BOULEVARD, CEBU CITY",Open until 9:00 pm,(032) 414 7273,http://www.tgp.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
new Libres Pharmacy,5.0,(1),Pharmacy,"B. Rodriguez St (fronting VSMMC), Capitol Site",,(032) 253 5363,,,
D Corners Pharmacy & General Merchandise,4.3,(3),Pharmacy,"M Velez Street, Banawa",Open until 11:00 pm,(032) 419 6604,,,
Bing Pharmacy,3.6,(5),Pharmacy,V Rama Ave,Open until 8:30 pm,(032) 422 8251,https://www.facebook.com/Bing-Pharmacy-Mandaue-Branch-165022546905725/info/?tab=page_info,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Garland Pharmacy and General Merchandise,5.0,(1),Pharmacy,"P. Cabantan Street, Mabolo, Barangay Luz",,(032) 232 4131,,,
La Nueva Pharmacy,3.0,(1),Pharmacy,Magallanes St,Open until 8:00 pm,(032) 236 7382,,,
Rye Pharmacy and General Merchandise,3.6,(5),Pharmacy,823 V Rama Ave,,(032) 254 7165,,,
Arago Pharmacy,4.0,(4),Pharmacy,T. Padillla Ext,Open until 7:45 pm,(032) 267 0053,,,
SOUTHSTAR DRUG,3.3,(4),Pharmacy,"ROBINSONS SUPERMARKET, ROBINSONS PLACE FUENTE",Open until 9:00 pm,(032) 254 2018,http://www.southstardrug.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
ThreeSixty Pharmacy,5.0,(1),Pharmacy,V Rama Ave,Open until 10:00 pm,(032) 255 9831,http://www.facebook.com/threesixtypharmacy,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Joden Pharmacy,1.0,(1),Pharmacy,39 Junquera St,(032) 340 1713,Open until 9:00 pm,,,
TGP The Generics Pharmacy,3.3,(4),Pharmacy,"Doña Luisa Building, Fuente Osmeña Cir",Open until 9:00 pm,(032) 505 7794,http://www.tgp.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Rose Pharmacy,2.8,(5),Homeopathic pharmacy,,(032) 343 3622,Open until 9:00 pm,https://www.rosepharmacy.com/store-finder/rose-pharmacy-cebu-a-it-park/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
I-Ben's Pharmacy,4.5,(2),Pharmacy,"back of robinson's cybergate, Don Gil Garcia St",Open until 10:30 pm,(032) 255 6890,https://i-bens-pharmacy.business.site/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Three Sixty Pharmacy,3.5,(2),Pharmacy,53 J. Urgello St,Open until 12:00 am,(032) 236 9122,https://www.facebook.com/threesixtypharmacy/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Ever Green Pharmacy,2.0,(2),Pharmacy,Dionisio Jakosalem Street,,(032) 231 2070,,,
TGP The Generics Pharmacy,5.0,(1),Pharmacy,"163 URGELLO ST., CEBU CITY, CEBU",Open until 9:00 pm,(032) 520 3608,http://www.tgp.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
5th Avenue Pharmacy,3.5,(2),Pharmacy,Gonzales Compound,Open until 12:00 am,(032) 414 0595,,,
Evercare Pharmacy,3.0,(2),Pharmacy,"M. L. Quezon Street, Mandaue City",Open until 10:00 pm,(032) 344 3782,,,
The Generics Pharmacy,4.5,(2),Pharmacy,V Rama Ave,Open until 9:00 pm,0917 559 9995,http://tgp.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Marie's Pharmacy,4.0,(5),Pharmacy,"Door 15, Polytechnic, Mabini St",Open until 8:00 pm,0932 320 0598,,,
The Generics Pharmacy,5.0,(1),Pharmacy,76 Gov. M. Cuenco Ave,Open until 7:00 pm,(032) 253 5363,https://tgp.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Doctors' Choice Pharmacy - Llorente br,5.0,(1),Pharmacy,"Chong Hua Medical Arts, J.Liorente St",Open until 11:00 pm,(032) 253 9250,,,
Mega Value Drug Store,3.6,(5),Pharmacy,"117, Colomall, Osmeña Blvd",Open until 8:30 pm,(032) 412 4797,,,
Shaweh Pharmacy,5.0,(1),Pharmacy,Echavez Ext,(032) 232 4131,,,,
Rose Pharmacy,4.0,(2),Pharmacy,"One Pavillion Mall, 19-20 GF One Pavillion Mall, Duterte St. Guadalupe",Open until 9:00 pm,(032) 236 9477,http://www.rosepharmacy.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
JEG Pharmacy,5.0,(2),Pharmacy,69 Francisco Llamas St,,(032) 340 1324,,,
Three Sixty Pharmacy,5.0,(3),Pharmacy,"Grand Orchard Building, N. Bacalso St Avenue",Open until 11:30 pm,(032) 262 5902,http://www.facebook.com/threesixtypharmacy,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Vgn Pharmacy,3.3,(4),Pharmacy,Greenbelt Dr,(032) 254 2018,Open until 9:00 pm,,,
Three Sixty Pharmacy,3.0,(1),Pharmacy,Tiburcio Padilla St,Open until 10:00 pm,(032) 416 7100,https://www.facebook.com/threesixtypharmacy/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
TGP The Generics Pharmacy,3.0,(1),Pharmacy,"HERNAN CORTES ST., SUBANGDAKU, MANDAUE CITY, CEBU",Open until 9:00 pm,(032) 340 1713,http://www.tgp.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
