section-result-title,cards-rating-score,section-result-num-ratings,section-result-details,section-result-location,section-result-action href,section-result-action-icon src,section-result-action-text,section-result-info,section-result-info 2
Cebu Port Authority,3.4,(21),Seaport,Quezon Blvd. Pier 1,http://www.cpa.gov.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,,
Safeseas Marine Incorporated,,,Seaport,"Door J. Isabelo Arcade Comml.Bldg., General Maxilom Ave",,,,(02) 234 2046,
Roble Shipping Yard,3.0,(7),Seaport,PIER 7,,,,,
Cebu Port Authority,,,Seaport,Don Andres Soriano Ave.,http://www.cpa.gov.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,(032) 344 9211,
Pelaez Seaplane Anchorage,3.0,(3),Seaport,,,,,,
Cebu International Port,4.0,(184),Port,,http://www.cpa.gov.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,(032) 232 1461,
Cebu Port Authority,4.2,(16),Port authority,"CPA Executive Building, CIP Complex, Sergio Osmeña Jr Boulevard",http://www.cpa.gov.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,(032) 402 4131,Closing soon: 5:00 pm
Marigondon Port,3.6,(5),Seaport,,,,,,
Fortune Shipworks,4.0,(2),Seaport,,,,,,
Mactan Seaport Village,3.8,(19),Shopping mall,Punta Engaño Rd,,,,,
2GO Travel,1.0,(2),Courier service,"1263-1 V. Rama Avenue, Guadalupe",,,,(032) 253 5732,
Pangan-an Island Seaport,1.0,(1),Seaport,,,,,,
VG Shipping Lines Ticket Office,3.5,(8),Shipping company,V sotto st. Pier 3,,,,(032) 238 7635,
Toledo City Port,4.2,(21),Seaport,,,,,,
Tubigon Seaport Ticketing Area,3.5,(21),Shipping service,,,,,,
Sibulan Seaport,4.5,(4),Department of Transportation,Western Nautical Hwy,,,,,
Guihulngan Bulado Port,3.6,(11),Seaport,,,,,,
Daantabogon Sea Wall,1.0,(1),Seaport,Maslog Provincial Road,,,,,
Isabel Seaport,,,Seaport,,,,,,
Sagay Seaport,5.0,(2),Seaport,,,,,,
Cebu Port Authority,3.4,(21),Seaport,Don Andres Soriano Ave.,http://www.cpa.gov.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,(032) 344 9211,
Cebu Port Authority,3.4,(21),Seaport,Quezon Blvd. Pier 1,http://www.cpa.gov.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,(02) 234 2046,
Roble Shipping Yard,3.0,(7),Seaport,PIER 7,,,,0999 678 4330,Closing soon: 5:00 pm
Toledo City Port,4.2,(21),Seaport,,,,,(032) 344 9211,
Pangan-an Island Seaport,1.0,(1),Seaport,,,,,,
Safeseas Marine Incorporated,3.7,(16),Seaport,"Door J. Isabelo Arcade Comml.Bldg., General Maxilom Ave",,,,(02) 234 2046,
Marigondon Port,3.6,(5),Seaport,,,,,(032) 402 4131,Closing soon: 5:00 pm
Fortune Shipworks,4.0,(2),Seaport,,,,,,
Mactan Seaport Village,3.8,(19),Shopping mall,Punta Engaño Rd,,,,,
Pelaez Seaplane Anchorage,3.0,(3),Seaport,,,,,,
Cebu International Port,4.0,(184),Port,,http://www.cpa.gov.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,(032) 232 1461,
Cebu Port Authority,4.2,(16),Port authority,"CPA Executive Building, CIP Complex, Sergio Osmeña Jr Boulevard",http://www.cpa.gov.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,(032) 402 4131,Closing soon: 5:00 pm
Santa Rosa,4.0,(1),,,,,,(032) 238 7635,
Cebu Port Authority (CPA) - Port Management Office 8,3.7,(7),,"Port of Toledo Office, Toledo City Port",http://www.cpa.gov.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,(032) 467 8700,Open until 9:30 pm
2GO Travel,1.0,(2),Courier service,"1263-1 V. Rama Avenue, Guadalupe",,,,(032) 253 5732,
Hertz,4.0,(5),Car rental agency,"2ND FLR, Mactan Seaport Village, Punta Engaño Rd",https://www.hertz.com/rentacar/location,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,0999 678 4330,Closing soon: 5:00 pm
VG Shipping Lines Ticket Office,3.5,(8),Shipping company,V sotto st. Pier 3,,,,(032) 238 7635,
Cafe Mango,3.5,(19),,"GF , Mactan Seaport Village, Punta Engano Road , 6015 Lapu-Lapu City , Cebu",,,,(032) 505 3176,Open until 9:30 pm
Cebu Rent A Van,5.0,(1),Van rental agency,"Doña Rosario Village, 13th Street",http://www.ceburentavan.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,0917 638 6777,Open until 10:00 pm