section-result-title,cards-rating-score,section-result-num-ratings,section-result-details,section-result-location,section-result-info,section-result-info 2,section-result-action href,section-result-action-icon src,section-result-action-text,section-result-info 3
Cebu Port Authority,4.2,(16),Port authority,"CPA Executive Building, CIP Complex, Sergio Osmeña Jr Boulevard",Open until 5:00 pm,(032) 402 4131,http://www.cpa.gov.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
"Passenger Terminal 1, PIER 1",3.7,(86),Port authority,Quezon Blvd,,,http://cebubook.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Cebu Port Authority (PMO - CIP One-Stop Shop),4.1,(7),Port authority,,,(032) 233 3814,http://cpa.gov.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Cebu Port Authority (CPA) - Port Management Division 3,3.8,(10),Ferry service,"Terminal 2 Building, Cebu Baseport, Cebu City, Cebu",,(032) 253 1853,http://www.cpa.gov.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Temporarily closed
Cebu Port Authority,,,Seaport,Don Andres Soriano Ave.,,(032) 344 9211,http://www.cpa.gov.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Cebu Port Authority,3.4,(21),Seaport,Quezon Blvd. Pier 1,,,http://www.cpa.gov.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Toledo City Port,4.2,(21),Seaport,,,,,,,
Port Restaurant,3.7,(290),Filipino,"Waterfront Hotel & Casino, Salinas Dr",Open until 5:00 pm,(032) 516 6018,http://www.port.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Cebu Port Authority (CPA) - Port Management Office 8,3.7,(7),,"Port of Toledo Office, Toledo City Port",,(032) 467 8700,http://www.cpa.gov.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Cordova RORO Port,3.7,(108),Port,"Sitio Camolinas, Barangay Poblacion, Roro Port Road",,0932 703 9048,,,,
Toledo City Port,,,Port authority,,,,,,,
Cebu Port Authority (CPA) - 4th St.,,,Port authority,Gate 4 Quezon Blvd,Open until 5:00 pm,,http://www.cpa.gov.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Cebu Harbor,,,Port authority,,,,,,,
Ouano Port To Tubigon,4.0,(2),Department of Transportation,6014,,,,,,
Catarman Port Lighthouse,,,Port authority,Hilutungan Channel,,,,,,
FF Ruins,,,Port authority,,,,,,,
Port to Valhalla,,,Port operating company,Belgium Street,,,,,,
Marigondon Port,3.6,(5),Seaport,,,,,,,
PCG OUANO sub Station,,,Port authority,,,,,,,
Port Net Transport Services Inc.,,,Freight forwarding service,P. Burgos,,(032) 343 9937,,,,
Manuto River,4.2,(16),River port,,Open until 5:00 pm,0995 021 8420,,,,Temporarily closed
Cebu Port Authority - Port Management Division 6,4.2,(13),Port authority,"Central Nautical Highway , Port of Danao , 6004 Danao City , Cebu",,(032) 200 3345,,,,
Philippine Ports Authority,1.0,(1),Corporate office,,(032) 233 3814,,,,,
Minglanilla Barge Port,3.0,(2),Port authority,Cebu S Port Rd,(032) 253 1853,Temporarily closed,,,,
Port Coquitlam Development Corporation,,,Transportation service,Sergio Osmeña Jr Boulevard,,(032) 232 3216,,,,
CCC Port,4.0,(1),Port operating company,,,,,,,
Port Security Division - Cebu Port Authority,4.2,(21),Government office,"Cebu Port Authority, Sergio Osmeña Boulevard, North Reclamation Area",,(032) 232 1967,,,,
Trans One Port Solution,3.7,(290),Transportation service,"National Road, Batiller",Open until 5:00 pm,(032) 564 2330,,,,
TORIL PORT,3.7,(7),Port operating company,Mactan Channel,(032) 467 8700,,,,,
Cebu Port Authority - Planning & Design Division,3.0,(1),Shipping company,"CIP Complex, Sergio Osmeña Boulevard",,(032) 232 6369,http://www.cpa.gov.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Mactan Marina Wharf,3.9,(9),Port authority,Mactan Channel,,,,,,
Crown Port View Hotel,3.5,(101),2-star hotel,,Open until 5:00 pm,(032) 416 5105,,,,
Cebu Port Authority Collection Office (Berth 11),,,Federal government office,,Open until 7:00 pm,(032) 402 4165,http://www.cpa.gov.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Toledo City Ferry Terminal,3.9,(11),Ferry terminal,Toledo City Port,,,,,,
Angasil Port,3.0,(20),Ferry terminal,,,,,,,
District Collector - Port of Cebu,,,Government office,Morgan St,,(032) 231 6782,,,,
Talisay Fish Port,3.6,(7),Fishing pier,"Barangay Tangke, Cebu South Coastal Rd",,0995 421 5635,,,,Temporarily closed
Cebu Port Authority-Investigation Section,3.6,(5),,Pier 3 Port Area,,(032) 255 2469,,,,
Pasil Fish Port,3.7,(165),Fish farm,Belgium Street,,0922 743 1610,,,,
Cebu Port Authority - Office of the Deputy General Manager,,,,"CIP Complex, North Reclamation Area, Cebu City, Cebu",(032) 343 9937,,,,,
Bureau Of Customs Port Of Cebu,4.0,(4),Government office,"CIP Complex, Pier 6, NRA, Osmena Blvd",Open until 5:00 pm,(032) 350 3219,http://customs.gov.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Temporarily closed
Taiheiyo Cement Philippines Port,4.5,(2),Port authority,,(032) 200 3345,,,,,
Lite Port Center,5.0,(1),Shopping mall,M. J. Cuenco Ave,,(032) 255 1721,,,,
Hilton Port,3.5,(36),Ferry terminal,Punta Engaño Rd,(032) 253 1853,Temporarily closed,,,,
Ports of Cebu Transport Coop. (PORT CETRANSCO),5.0,(1),Travel agency,Sergio Osmeña Jr Boulevard,Open until 5:00 am,0905 503 1982,,,,
Cebu Port United Drivers Cooperative,4.0,(1),Association or organization,"RM 6, Madrigal Building, 21 Legaspi Extension Pier 1",,(032) 412 1630,,,,
Construction and Maintenance Division - Cebu Port Authority,4.2,(21),Government office,"Cebu Port Authority, Sergio Osmeña Boulevard, North Reclamation Area",,(032) 232 6369,,,,
Boyla Island Hopping Terminal,3.7,(290),Port authority,,(032) 564 2330,,,,,Open until 5:00 pm
North Reclamation Area,3.7,(7),,,(032) 467 8700,,,,,
Cebu(Pier1),3.8,(299),Ferry terminal,,(032) 232 6369,,,,,
Cebu Asiatic Shipping and Port Services Inc.,3.9,(9),,"West Cebu Industrial Park - SEZ, Balamban, Cebu",,(032) 341 4474,,,,
buyong port,3.5,(101),Marina,Buyong Rd,Open until 5:00 pm,(032) 416 5105,,,,Temporarily closed
City Of Danao Port Passenger Lounge,1.0,(1),Port authority,,(032) 402 4165,,,,,Open until 7:00 pm
Cebu Asiatic Shipping And Port Services,4.0,(1),Shipping company,M J Cuenco Avenue,,(032) 253 6617,,,,
Cebu Asiatic Shipping & Port Services,3.0,(20),,"C/o West Cebu Industrial Park, Balamban, Cebu",,(032) 341 4474,,,,
ACG Port Services,,,,"F.E. Zuellig Avenue, Mandaue City, Mandaue City, Cebu",,(032) 344 7371,,,,
Mactan-Cebu International Airport,3.5,"(2,079)",International airport,Lapu-Lapu Airport Rd,,(032) 340 2486,http://mciaa.gov.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Temporarily closed
A.O.M ship and port management,5.0,(2),Shipyard,J.M.Ceniza,Open until 5:00 pm,(032) 255 2469,,,,
Business Marketing and Development Department - Cebu Port Authority,3.7,(165),Government office,"Cebu Port Authority, Sergio Osmeña Boulevard, North Reclamation Area",,(032) 412 9024,,,,
Oriental Port and Allied Services Corporation,4.0,(5),Shipping service,"Don Bernardo Benedicto, 2nd St., North Reclamation AreaCebu City 6000",Open until 5:00 pm,(032) 232 5511,,,,
Hagnaya Port,3.5,(96),Port authority,,(032) 350 3219,Temporarily closed,,,,Open until 5:00 pm
Rotary Club of Cebu Port Centre,3.3,(3),Club,Country Club Village Rd,,(032) 238 3958,http://www.rccebuportcentre.club/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Closed today
Sa Amihan Port Lodge,5.0,(1),Business center,"3rd Street, Carreta, Reclamation Area",,(032) 232 2873,,,,
Cebu Asiatic Shipping And Port Services Incorporated,3.5,(36),Shipping company,Buanoy,,(032) 465 2880,,,,Temporarily closed
Santa Rosa Port,4.1,(18),Ferry terminal,,0905 503 1982,,,,,Open until 5:00 am
Oceanjet Ticketing Office,3.5,(85),Transportation service,,Open until 9:00 pm,(032) 255 7560,http://www.oceanjet.net/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Don Carlos A. Gothong Port Centre,4.2,(21),,Sulpicio Go St,(032) 232 6369,,,,,
Plant Quarantine Service - Region 7-Port of Cebu,3.7,(290),,"Bureau of Plant Industry, Arellano Boulevard, Cebu City, Cebu",(032) 564 2330,,,,,Open until 5:00 pm
Port Christian Center,3.7,(7),Church,Arellano Blvd,,(032) 256 2807,,,,
Cordova roro port road mercado,3.8,(299),Food court,,(032) 232 6369,,,,,
"Naga Port And Shipping Marine Services, Inc.",3.9,(9),,268 Magallanes St,(032) 341 4474,,,,,
Liloan Port,4.3,(3),Port operating company,,(032) 416 5105,Temporarily closed,,,,Open until 5:00 pm
Southern Port Security Agency,1.0,(1),Escort service,554 P. Burgos Street,Open until 7:00 pm,(032) 345 8154,,,,
Far East Bank & Trust Co. - Cebu Port Center,4.0,(1),,,,(032) 232 5648,,,,
Cebu Port United Drivers Multi-Purpose Cooperative,3.0,(20),Bank,"2nd Street, Pier 5, North Reclamation Area",,(032) 236 0726,,,,
Naga Port And Shipping Marine,4.3,(3),Shipping company,Natalio B. Bacalso S National Hwy,,(032) 239 4861,,,,
Cebu Port Authority,5.0,(2),Local government office,"East Plaza Arcade, N. Bacalso S. National Highway",,(032) 460 0186,http://www.cpa.gov.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Temporarily closed
Bantayan Port,5.0,(2),Fishing pier,Bantayan Rd,Open until 5:00 pm,(032) 255 2469,,,,Temporarily closed
Port Christian Center,5.0,(1),Christian church,Quezon Blvd Pier 1,,(032) 256 2807,,,,
South Port News Agency Services,4.0,(5),News service,,Open until 5:00 pm,(032) 349 7610,http://south.gg/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Eagle Port Pro Shop,3.5,(96),Trading company,Opon-Airport-Sangi Road,Open until 5:00 pm,(032) 340 0306,,,,Temporarily closed
Minglanilla Fishport,2.4,(5),Pier,,(032) 238 3958,Closed today,,,,
Ocean Jet Fast Ferries,5.0,(1),Freight forwarding service,"Sea Explorers Philippines, Knights of Columbus Square, 36 Archbishop Reyes Avenue, Lahug",,(032) 234 0245,http://www.oceanjet.net/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Cordova roro port road mercado,5.0,(1),Food court,,(032) 465 2880,Temporarily closed,,,,
Oriental Port and Allied Services Corporation,3.2,(5),Gas station,"Shell, Sergio Osmena Boulevard, Tiburcio Padilla Street Corner, 12 Avenue",Open until 5:00 am,(032) 233 0728,,,,
San Francisco Port,3.5,(2),Port authority,,(032) 255 7560,,,,,Open until 9:00 pm
Cebu-Mactan Ferry Terminal,3.0,(39),Ferry terminal,,(032) 232 6369,,,,,
Porters Marina,3.9,(61),Boat club,,Open until 5:00 pm,0916 671 4397,,,,Temporarily closed
Philippine Ports Authority (PPA) - Getafe,3.7,(7),Port authority,,(032) 256 2807,,,,,
Tungod Port,4.0,(1),Port authority,Unnamed Road,(032) 232 6369,,,,,
Passenger Terminal 2,2.9,(20),Ferry terminal,,(032) 341 4474,,,,,
Ocean Jet Fast Ferries,3.8,(9),Freight forwarding service,"Coastwinds Travel, Sangi Street, Tabunok",Open until 5:00 pm,(032) 490 6008,http://www.oceanjet.net/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Temporarily closed
"ferry Port to Loon, Bohol",3.8,(37),Marina,N.A. Natalio B. Bacalso S National Hwy,Open until 7:00 pm,(032) 345 8154,,,,Temporarily closed
Danao Port,4.0,(7),Ferry terminal,Danao Port Rd,(032) 232 5648,,,,,
Guihulngan Bulado Port,3.6,(11),Seaport,,(032) 236 0726,,,,,
BDO Cebu - North Reclamation Branch,2.3,(3),Bank,"Block 20-A corner Port Centre Avenue &, Juan Luna Avenue",Open until 5:30 pm,(032) 232 0321,https://www.bdo.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Philippine Port Authority,4.0,(4),Port authority,,(032) 460 0186,Temporarily closed,,,,
Port of Tacloban,4.3,(36),Port authority,,Open until 5:00 pm,(053) 321 4152,http://www.ppa.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Temporarily closed
Libor Port,5.0,(1),Corporate office,,(032) 256 2807,,,,,
Clarin Port,5.0,(1),Port authority,Clarin Pier Rd,(032) 349 7610,,,,,Open until 5:00 pm
Ocean Jet Fast Ferries,5.0,(1),Freight forwarding service,"2nd Level, Cebu Trip Tours, The Persimmon Plus, M.J. Cuenco Avenue, Mabolo",Open until 5:00 pm,(032) 268 5470,http://www.oceanjet.net/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Temporarily closed
Tubigon Port,4.1,(683),Port,,,0910 332 5298,,,,Closed today
ORMOC PORT,4.4,(13),Port authority,Palo - Carigara - Ormoc City Rd,(032) 234 0245,,,,,
Tsuneishi Heavy Industries Cebu Inc.,4.4,(87),Marina,"West Cebu Industrial Park-SEZ,",Open until 5:00 pm,(032) 230 8402,http://www.thici.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Temporarily closed
Tagbilaran City Tourist Port,3.9,"(2,849)",Port,Tagbilaran Wharf Road,Open until 5:00 am,(038) 411 8138,,,,
Tangil Wharf,3.9,(17),Ferry terminal,Santander - Barili - Toledo Rd,(032) 255 7560,,,,,Open until 9:00 pm
Tagbilaran City Sea Port,3.7,(16),Port authority,,(032) 232 6369,,,,,
DC Shoes,4.0,(3),Shopping mall,"SM City Cebu, Juan Luna Avenue Extension, North Reclamation Area, Cebu Port Center",Open until 9:00 pm,(032) 416 7092,https://www.dcshoes.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Temporarily closed
Talibon port,5.0,(1),Port authority,Unnamed Road,(032) 256 2807,,,,,
Mainit Port,3.5,(4),Port authority,,(032) 232 6369,,https://portsandferries.com/lite-ferry-dipolog-oslob-ferry-schedules/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Jomalia Shipping Corporation,4.0,(29),Shipping service,"S.O, Albaño Street",Closing soon: 4:00 pm,(032) 346 0421,https://www.jomaliashipping.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Philippine Ports Authority (PPA),3.8,(9),Port authority,,(032) 490 6008,Temporarily closed,http://www.ppa.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 5:00 pm
Tabuelan Ferry Port,3.6,(10),Ferry terminal,,(032) 345 8154,Temporarily closed,,,,Open until 7:00 pm
"Ocean Fast Ferries, Inc. (OCEANJET) Main office",2.8,(20),Transportation service,Arellano Blvd,,(032) 255 7560,http://www.oceanjet.net/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Ocean Jet Ticket Office,3.0,(2),Shipping company,"Fuente Pension House, Don Julio Llorence Street",,(032) 255 2723,http://www.oceanjet.net/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Naval Port,3.8,(10),Port authority,Naval Port,(032) 232 0321,,,,,Open until 5:30 pm
Cadiz Commercial Port,4.0,(4),Port authority,Cadiz City Port,(032) 460 0186,Temporarily closed,,,,
Panglao Port,3.5,(2),Port authority,,(053) 321 4152,Temporarily closed,,,,Open until 5:00 pm
Puertobella Port,5.0,(1),Port authority,"Puertobello, Poro Island, Camotes",(032) 256 2807,,,,,
Port Of Popoo,5.0,(1),Port authority,Municipal Rd,(032) 349 7610,,,,,Open until 5:00 pm
Sibulan Port Terminal,4.1,(73),Ferry terminal,,(032) 268 5470,Temporarily closed,,,,Open until 5:00 pm
City Port,4.1,(9),Transportation service,,0910 332 5298,Closed today,,,,
Maya New Roro Port - Malapascua Ferry,3.6,(145),Ferry service,"Unnamed Road,",,(032) 234 0245,,,,Temporarily closed
Banago Port,4.0,(13),Ferry terminal,,Open until 5:00 pm,(034) 441 0652,,,,Temporarily closed
Ubay Port,4.0,(134),Port,Pantalan Road,(038) 411 8138,,,,,Open until 5:00 am
Alpine Port,3.9,(17),Port authority,Kawit-Mahawak Road,Open until 9:00 pm,0915 681 1121,,,,
Tagbilaran,3.2,(60),Ferry terminal,,(032) 232 6369,,,,,
Clarin fork,4.0,(3),River port,,(032) 416 7092,Temporarily closed,,,,Open until 9:00 pm
Cadiz City Commercial Port,4.0,(60),Transportation service,,(032) 256 2807,,,,,
Port of Sibunag,3.5,(2),Port authority,"Unnamed Road,",(032) 232 6369,,http://www.guimaras.gov.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
TMO PPA TALIBON,4.0,(29),Port authority,Carlos P. Garcia Ave,(032) 346 0421,,,,,Closing soon: 4:00 pm
Sibonga Port,3.5,(14),Amusement park,,(032) 490 6008,Temporarily closed,,,,Open until 5:00 pm
Tayasan Port,3.6,(10),Port authority,pier de,(032) 345 8154,Temporarily closed,,,,Open until 7:00 pm
Fish Port,2.8,(20),Port authority,Cebu Strait,(032) 255 7560,,,,,
2GO Travel,3.6,(15),Travel agency,Quezon Blvd Pier 1,,(032) 233 7000,http://travel.2go.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Japitan Fish Port,4.5,(4),Fishing pier,Santander - Barili - Toledo Rd,(032) 232 0321,,,,,Open until 5:30 pm
Dumaguete,3.8,(83),Ferry terminal,,(032) 460 0186,Temporarily closed,,,,
Bacolod Port Terminal Parking Lot,3.9,(88),Parking lot,,(053) 321 4152,Temporarily closed,,,,Open until 5:00 pm
Noelle West,5.0,(1),Shopping mall,"Cor. Cabahug and Kaoshiunh Streets Port Center, Pope John Paul II Ave",Open until 9:00 pm,(032) 256 2807,,,,
Beastar Fashion Center,2.0,(1),Shopping mall,"A.Soriano Avenue. Cebu Port Center N.R.A., F. Cabahug St",(032) 349 7610,,,,,Open until 5:00 pm
Jimalalud Sea Port,4.1,(73),Port authority,Hambabalud Blvd,(032) 268 5470,Temporarily closed,,,,Open until 5:00 pm
Malingin Mini Port,4.1,(9),Port authority,,0910 332 5298,Closed today,,,,
Game Ports,3.6,(145),Internet cafe,L. Flores St,,(032) 414 5318,,,,Temporarily closed
Guadalupe Port,3.0,(1),Port authority,Unnamed Road,(034) 441 0652,Temporarily closed,,,,Open until 5:00 pm
P. burgos Port,4.0,(134),Port authority,Sogod Bay,(038) 411 8138,,,,,Open until 5:00 am
Port of Liloan,5.0,(1),Port authority,,0915 681 1121,,,,,Open until 9:00 pm
Metrobank Bancnet ATM,3.2,(60),,"Metrobank, APM Mall, Soriano Ave., Cebu Port Centre, Cebu North",(032) 232 6369,,,,,
Emman Port,4.0,(3),Port authority,Unnamed Road,(032) 416 7092,Temporarily closed,,,,Open until 9:00 pm
2GO Travel,1.0,(2),Courier service,"1263-1 V. Rama Avenue, Guadalupe",,(032) 253 5732,,,,
Cawayan Port,4.2,(5),Port authority,"Port, Cawayan",(032) 232 6369,,,,,
Port of Tuburan,4.3,(12),Ferry service,"Tañon Strait, Philippines",(032) 346 0421,,,,,Closing soon: 4:00 pm
Bohol Boat Port,4.5,(4),Ferry service,Tagbilaran Wharf Road,(032) 490 6008,Temporarily closed,,,,Open until 5:00 pm
Pulupandan port,3.8,(4),Port authority,Bago - Maao Rd,Open until 7:00 pm,(034) 461 0637,,,,Temporarily closed
FF Cruz Wharf,3.3,(21),Marina,N.R.A.,,(032) 255 7560,,,,Temporarily closed
"OpenPort, Ltd. (Cebu IT Center)",5.0,(2),Software company,"Asiatown IT Park, 6000",Open until 5:00 pm,(032) 233 7000,http://www.openport.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
2GO Travel,4.5,(4),Courier service,"Ayala Center, Bohol Avenue",Open until 5:30 pm,(032) 232 0775,,,,
Gandang Ricky Reyes,2.0,(1),Bar,"Cor. Cabahug and Kaoshiung Streets Port Center SM City, Juan Luna Ext",,(032) 460 0186,,,,Temporarily closed
Port of Tabuelan,3.3,(69),Port,,(053) 321 4152,Temporarily closed,,,,Open until 5:00 pm
DHL PhilPost - Cebu City,3.0,(4),Courier service,"Philippine Postal Corporation Cebu Port Authority - PMO4 Area, A. Pigafetta Street",(032) 256 2807,,,,,Open until 9:00 pm
PPA - Port Management Office-Ormoc,2.0,(1),Port authority,,(032) 349 7610,,,,,Open until 5:00 pm
United South Dockhandlers,4.1,(73),Business management consultant,"CFC Shipma Building, Pier 4 Port Area, Quezon Blvd",Open until 5:00 pm,(032) 231 5215,https://usdi-ph.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Temporarily closed
2GO Travel,4.0,(1),Courier service,Cebu South Road,,(032) 417 3012,,,,Closed today
Jagna,4.1,(9),Ferry terminal,,(032) 414 5318,Temporarily closed,,,,
Port of Tabuelan,3.3,(69),Port,,(032) 231 5215,Temporarily closed,,,,Open until 5:00 pm
DHL PhilPost - Cebu City,3.0,(4),Courier service,"Philippine Postal Corporation Cebu Port Authority - PMO4 Area, A. Pigafetta Street",(032) 417 3012,Closed today,,,,
PPA - Port Management Office-Ormoc,4.1,(9),Port authority,,(032) 414 5318,Temporarily closed,,,,
United South Dockhandlers,,,Business management consultant,"CFC Shipma Building, Pier 4 Port Area, Quezon Blvd",,(032) 231 5215,https://usdi-ph.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Trans-Asia Shipping Lines Inc. - Capitol Post Office,3.0,(3),Shipping company,Capitol Site (beside Provincial Capitol Building),,(032) 255 6669,http://www.transasiashipping.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
2GO Travel,4.0,(1),Courier service,Cebu South Road,,(032) 417 3012,,,,
Jagna,4.1,(9),Ferry terminal,,,,,,,
Pag-IBIG Toledo Member Services Branch,4.5,(11),Corporate office,5 S Osmena St Toledo City 6038 S Osmena St,Closing soon: 5:00 pm,,http://www.pagibigfund.gov.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Port of Sicogon Island,,,Port authority,,,,,,,
Sun Life Financial,,,Financial planner,"The North Atrium, M. C. Briones St",Opens at 8:00 am,(032) 849 9888,http://www.sunlife.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Closed
Taiheiyo Cement Phils Inc,4.0,(1),,11 th Floor Insular Life Business Centre Business Park,,(032) 230 7333,http://www.taiheiyo-cement.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Port of Benit,1.7,(3),Port authority,Liloan - San Ricardo Rd,,,,,,
Yap Ro-Ro Port,5.0,(1),,,,,,,,
Cadiz Viejo port,,,Port authority,Cadiz Viejo,,,,,,
Brgy Panaytayon Fish Port,4.0,(2),Port,Panaytayon Brgy. Rd,,,,,,
Ormoc Port Terminal,4.2,(114),Cruise terminal,,,,,,,
Liloan Port,4.1,(584),Port,,,0922 428 9497,,,,