web-scraper-order,web-scraper-start-url,name,name-href,title,pages,pages-href
"1591014145-1921","https://www.yelp.com/search?find_desc=Restaurants&find_loc=Cebu+City%2C+Cebu%2C+Philippines","Treat Street Cafe","https://www.yelp.com/biz/treat-street-cafe-cebu-city?osq=Restaurants","Treat Street Cafe","8","https://www.yelp.com/search?find_desc=Restaurants&find_loc=Cebu%20City%2C%20Cebu%2C%20Philippines&start=210"
"1591014084-1906","https://www.yelp.com/search?find_desc=Restaurants&find_loc=Cebu+City%2C+Cebu%2C+Philippines","McDonald’s","https://www.yelp.com/biz/mcdonalds-cebu-city?osq=Restaurants","McDonald's","9","https://www.yelp.com/search?find_desc=Restaurants&find_loc=Cebu%20City%2C%20Cebu%2C%20Philippines&start=240"
"1591014122-1915","https://www.yelp.com/search?find_desc=Restaurants&find_loc=Cebu+City%2C+Cebu%2C+Philippines","Dimsum Break","https://www.yelp.com/biz/dimsum-break-cebu-city-2?osq=Restaurants","Dimsum Break","8","https://www.yelp.com/search?find_desc=Restaurants&find_loc=Cebu%20City%2C%20Cebu%2C%20Philippines&start=210"
"1591014173-1927","https://www.yelp.com/search?find_desc=Restaurants&find_loc=Cebu+City%2C+Cebu%2C+Philippines","The Social","https://www.yelp.com/biz/the-social-cebu-city?osq=Restaurants","The Social","7","https://www.yelp.com/search?find_desc=Restaurants&find_loc=Cebu%20City%2C%20Cebu%2C%20Philippines&start=180"
"1591014080-1905","https://www.yelp.com/search?find_desc=Restaurants&find_loc=Cebu+City%2C+Cebu%2C+Philippines","Naruto Tukemen Tokyo Noodle","https://www.yelp.com/biz/naruto-tukemen-tokyo-noodle-mabolo?osq=Restaurants","Naruto Tukemen Tokyo Noodle","9","https://www.yelp.com/search?find_desc=Restaurants&find_loc=Cebu%20City%2C%20Cebu%2C%20Philippines&start=240"
"1591014153-1923","https://www.yelp.com/search?find_desc=Restaurants&find_loc=Cebu+City%2C+Cebu%2C+Philippines","Blackbeard’s Seafood Island","https://www.yelp.com/biz/blackbeards-seafood-island-cebu-city?osq=Restaurants","Blackbeard's Seafood Island","8","https://www.yelp.com/search?find_desc=Restaurants&find_loc=Cebu%20City%2C%20Cebu%2C%20Philippines&start=210"
"1591014126-1916","https://www.yelp.com/search?find_desc=Restaurants&find_loc=Cebu+City%2C+Cebu%2C+Philippines","Timeout Sports Bar & Resto","https://www.yelp.com/biz/timeout-sports-bar-and-resto-cebu-city?osq=Restaurants","Timeout Sports Bar & Resto","8","https://www.yelp.com/search?find_desc=Restaurants&find_loc=Cebu%20City%2C%20Cebu%2C%20Philippines&start=210"
"1591014115-1913","https://www.yelp.com/search?find_desc=Restaurants&find_loc=Cebu+City%2C+Cebu%2C+Philippines","Cafe Racer","https://www.yelp.com/biz/cafe-racer-mandaue-city?osq=Restaurants","Cafe Racer","8","https://www.yelp.com/search?find_desc=Restaurants&find_loc=Cebu%20City%2C%20Cebu%2C%20Philippines&start=210"
"1591014164-1926","https://www.yelp.com/search?find_desc=Restaurants&find_loc=Cebu+City%2C+Cebu%2C+Philippines","Jollibee","https://www.yelp.com/biz/jollibee-cebu-city?osq=Restaurants","Jollibee","8","https://www.yelp.com/search?find_desc=Restaurants&find_loc=Cebu%20City%2C%20Cebu%2C%20Philippines&start=210"
"1591014142-1920","https://www.yelp.com/search?find_desc=Restaurants&find_loc=Cebu+City%2C+Cebu%2C+Philippines","Sans Rival","https://www.yelp.com/biz/sans-rival-cebu-city?osq=Restaurants","Sans Rival","8","https://www.yelp.com/search?find_desc=Restaurants&find_loc=Cebu%20City%2C%20Cebu%2C%20Philippines&start=210"
"1591014160-1925","https://www.yelp.com/search?find_desc=Restaurants&find_loc=Cebu+City%2C+Cebu%2C+Philippines","Dimsum Express","https://www.yelp.com/biz/dimsum-express-cebu-city?osq=Restaurants","Dimsum Express","8","https://www.yelp.com/search?find_desc=Restaurants&find_loc=Cebu%20City%2C%20Cebu%2C%20Philippines&start=210"
"1591014072-1903","https://www.yelp.com/search?find_desc=Restaurants&find_loc=Cebu+City%2C+Cebu%2C+Philippines","Bo’s Coffee","https://www.yelp.com/biz/bos-coffee-cebu-city-2?osq=Restaurants","Bo's Coffee","9","https://www.yelp.com/search?find_desc=Restaurants&find_loc=Cebu%20City%2C%20Cebu%2C%20Philippines&start=240"
"1591014111-1912","https://www.yelp.com/search?find_desc=Restaurants&find_loc=Cebu+City%2C+Cebu%2C+Philippines","Mr. Griddle","https://www.yelp.com/biz/mr-griddle-cebu-city?osq=Restaurants","Mr. Griddle","8","https://www.yelp.com/search?find_desc=Restaurants&find_loc=Cebu%20City%2C%20Cebu%2C%20Philippines&start=210"
"1591014130-1917","https://www.yelp.com/search?find_desc=Restaurants&find_loc=Cebu+City%2C+Cebu%2C+Philippines","Cardinal Coffea","https://www.yelp.com/biz/cardinal-coffea-cebu-city?osq=Restaurants","Cardinal Coffea","8","https://www.yelp.com/search?find_desc=Restaurants&find_loc=Cebu%20City%2C%20Cebu%2C%20Philippines&start=210"
"1591014057-1899","https://www.yelp.com/search?find_desc=Restaurants&find_loc=Cebu+City%2C+Cebu%2C+Philippines","Cafe Dessart","https://www.yelp.com/biz/cafe-dessart-cebu-city?osq=Restaurants","Cafe Dessart","9","https://www.yelp.com/search?find_desc=Restaurants&find_loc=Cebu%20City%2C%20Cebu%2C%20Philippines&start=240"
"1591014138-1919","https://www.yelp.com/search?find_desc=Restaurants&find_loc=Cebu+City%2C+Cebu%2C+Philippines","Mitsuyado Sei-Men","https://www.yelp.com/biz/mitsuyado-sei-men-cebu-city?osq=Restaurants","Mitsuyado Sei-Men","8","https://www.yelp.com/search?find_desc=Restaurants&find_loc=Cebu%20City%2C%20Cebu%2C%20Philippines&start=210"
"1591014050-1897","https://www.yelp.com/search?find_desc=Restaurants&find_loc=Cebu+City%2C+Cebu%2C+Philippines","Ice Castle","https://www.yelp.com/biz/ice-castle-cebu-city?osq=Restaurants","Ice Castle","9","https://www.yelp.com/search?find_desc=Restaurants&find_loc=Cebu%20City%2C%20Cebu%2C%20Philippines&start=240"
"1591014065-1901","https://www.yelp.com/search?find_desc=Restaurants&find_loc=Cebu+City%2C+Cebu%2C+Philippines","Sunburst Chicken","https://www.yelp.com/biz/sunburst-chicken-cebu-city?osq=Restaurants","Sunburst Chicken","9","https://www.yelp.com/search?find_desc=Restaurants&find_loc=Cebu%20City%2C%20Cebu%2C%20Philippines&start=240"
"1591014097-1910","https://www.yelp.com/search?find_desc=Restaurants&find_loc=Cebu+City%2C+Cebu%2C+Philippines","Harbour City Dim Sum","https://www.yelp.com/biz/harbour-city-dim-sum-cebu-city?osq=Restaurants","Harbour City Dim Sum","9","https://www.yelp.com/search?find_desc=Restaurants&find_loc=Cebu%20City%2C%20Cebu%2C%20Philippines&start=240"
"1591014118-1914","https://www.yelp.com/search?find_desc=Restaurants&find_loc=Cebu+City%2C+Cebu%2C+Philippines","Cafe Sarree","https://www.yelp.com/biz/cafe-sarree-cebu-city?osq=Restaurants","Cafe Sarree","8","https://www.yelp.com/search?find_desc=Restaurants&find_loc=Cebu%20City%2C%20Cebu%2C%20Philippines&start=210"
"1591014094-1909","https://www.yelp.com/search?find_desc=Restaurants&find_loc=Cebu+City%2C+Cebu%2C+Philippines","168 Ramen","https://www.yelp.com/biz/168-ramen-cebu-city?osq=Restaurants","168 Ramen","9","https://www.yelp.com/search?find_desc=Restaurants&find_loc=Cebu%20City%2C%20Cebu%2C%20Philippines&start=240"
"1591014149-1922","https://www.yelp.com/search?find_desc=Restaurants&find_loc=Cebu+City%2C+Cebu%2C+Philippines","Port Restaurant","https://www.yelp.com/biz/port-restaurant-cebu-city?osq=Restaurants","Port Restaurant","8","https://www.yelp.com/search?find_desc=Restaurants&find_loc=Cebu%20City%2C%20Cebu%2C%20Philippines&start=210"
"1591014090-1908","https://www.yelp.com/search?find_desc=Restaurants&find_loc=Cebu+City%2C+Cebu%2C+Philippines","Chowking","https://www.yelp.com/biz/chowking-mandaue-city?osq=Restaurants","Chowking","9","https://www.yelp.com/search?find_desc=Restaurants&find_loc=Cebu%20City%2C%20Cebu%2C%20Philippines&start=240"
"1591014069-1902","https://www.yelp.com/search?find_desc=Restaurants&find_loc=Cebu+City%2C+Cebu%2C+Philippines","Micky’s Cafe","https://www.yelp.com/biz/micky-s-cafe-cebu-city?osq=Restaurants","Micky’s Cafe","9","https://www.yelp.com/search?find_desc=Restaurants&find_loc=Cebu%20City%2C%20Cebu%2C%20Philippines&start=240"
"1591014087-1907","https://www.yelp.com/search?find_desc=Restaurants&find_loc=Cebu+City%2C+Cebu%2C+Philippines","Jollibee","https://www.yelp.com/biz/jollibee-banawa?osq=Restaurants","Jollibee","9","https://www.yelp.com/search?find_desc=Restaurants&find_loc=Cebu%20City%2C%20Cebu%2C%20Philippines&start=240"
"1591014076-1904","https://www.yelp.com/search?find_desc=Restaurants&find_loc=Cebu+City%2C+Cebu%2C+Philippines","Cafe Chips","https://www.yelp.com/biz/cafe-chips-mandaue-city?osq=Restaurants","Cafe Chips","9","https://www.yelp.com/search?find_desc=Restaurants&find_loc=Cebu%20City%2C%20Cebu%2C%20Philippines&start=240"
"1591014156-1924","https://www.yelp.com/search?find_desc=Restaurants&find_loc=Cebu+City%2C+Cebu%2C+Philippines","Hwang Gung Korean Restaurant","https://www.yelp.com/biz/hwang-gung-korean-restaurant-cebu-city?osq=Restaurants","Hwang Gung Korean Restaurant","8","https://www.yelp.com/search?find_desc=Restaurants&find_loc=Cebu%20City%2C%20Cebu%2C%20Philippines&start=210"
"1591014054-1898","https://www.yelp.com/search?find_desc=Restaurants&find_loc=Cebu+City%2C+Cebu%2C+Philippines","Pink Heaven","https://www.yelp.com/biz/pink-heaven-cebu-city?osq=Restaurants","Pink Heaven","9","https://www.yelp.com/search?find_desc=Restaurants&find_loc=Cebu%20City%2C%20Cebu%2C%20Philippines&start=240"
"1591014061-1900","https://www.yelp.com/search?find_desc=Restaurants&find_loc=Cebu+City%2C+Cebu%2C+Philippines","Manila Foodshoppe","https://www.yelp.com/biz/manila-foodshoppe-no-title?osq=Restaurants","Manila Foodshoppe","9","https://www.yelp.com/search?find_desc=Restaurants&find_loc=Cebu%20City%2C%20Cebu%2C%20Philippines&start=240"
"1591014101-1911","https://www.yelp.com/search?find_desc=Restaurants&find_loc=Cebu+City%2C+Cebu%2C+Philippines","Coffee Prince Cebu","https://www.yelp.com/biz/coffee-prince-cebu-cebu-city?osq=Restaurants","Coffee Prince Cebu","9","https://www.yelp.com/search?find_desc=Restaurants&find_loc=Cebu%20City%2C%20Cebu%2C%20Philippines&start=240"
"1591014134-1918","https://www.yelp.com/search?find_desc=Restaurants&find_loc=Cebu+City%2C+Cebu%2C+Philippines","Vibes","https://www.yelp.com/biz/vibes-cebu-city?osq=Restaurants","Vibes","8","https://www.yelp.com/search?find_desc=Restaurants&find_loc=Cebu%20City%2C%20Cebu%2C%20Philippines&start=210"
