section-result-title,cards-rating-score,section-result-num-ratings,section-result-cost,section-result-details,section-result-location,section-result-description,e0HygkTYhQy__attribute-content,section-result-info,section-result-info 2
KFC Fuente Osmeña,3.8,(336),₱,Fast Food,"Doña Luisa Building, G/F, Fuente Osmeña Cir",Fast-food fried chicken chain,Delivery,Open until 8:00 pm,Temporarily closed
Burger King,2.6,(13),,Fast Food,Mactan Cebu International Airport Terminal 2,Fast-food chain with Filipino flavors,Delivery · Takeaway,Open until 9:00 pm,
Mang Inasal,4.0,(7),,Fast Food,"Gaisano Fiesta Mall, South National Highway",Fast-food chain with Filipino flavors,Delivery,Open until 9:00 pm,
KFC Mandaue,4.0,(421),₱,Fast Food,"RAMCAR Building, M. C. Briones Avenue, Maguikay Mandaue",Fast-food fried chicken chain,Delivery,Open until 10:00 pm,
McDonald's,4.1,(534),₱,Fast Food,Cebu N Rd,Iconic fast-food burger & fries chain,Delivery · Takeaway,Open until 8:00 pm,
Jollibee,3.9,(23),₱,Fast Food,"G/F SM City Consolacion, Cebu North Road, Barangay Lamac National Highway",Fast-food chain with Filipino flavors,Delivery · Takeaway,Open until 7:00 pm,
McDonald's,4.1,(276),₱,Fast Food,Natalio B. Bacalso S National Hwy,Iconic fast-food burger & fries chain,Delivery · Takeaway,Open until 11:30 pm,Temporarily closed
Goldilocks Bakeshop,3.0,(2),₱₱,Fast Food,"Tisa Street, Labangon",Quick stop for familiar Chinese fare,Delivery,Open until 9:00 pm,Temporarily closed
KFC,4.3,(3),₱,Fast Food,SM,Fast-food chain with Filipino flavors,Delivery · Takeaway,Open until 9:00 pm,Temporarily closed
KFC E Bloc 3,3.9,(50),₱,Fast Food,"eBloc 3 Tower, Stall 109 Level 1, G/F",Fast-food fried chicken chain,Delivery,Open until 9:00 pm,
Jollibee,4.1,(300),₱,Fast Food,Cebu N Rd,Fast-food chain with Filipino flavors,Delivery · Takeaway,Open until 8:00 pm,Closed
KFC Parkmall,3.7,(75),₱,Fast Food,168 Park Mall Dr,Fast-food fried chicken chain,Delivery,Open until 10:00 pm,
ArmyNavy Burger + Burrito,4.2,(16),₱₱,Fast Food,"Ayala Center, 176 Archbishop Reyes Ave",Fast-food chain with Filipino flavors,Delivery,Open until 11:00 pm,
Cebu Lumpia House,4.0,(56),,Fast Food,262 Manalili St,Fast-food chain with Filipino flavors,Delivery · Takeaway,Open until 5:30 pm,
KFC Cebu IT Park,3.9,(67),₱,Fast Food,G/F i2 & i3 Building Asia Town IT Park Apas,Fast-food fried chicken chain,Delivery,Open until 10:00 pm,
KFC Redemptorist,3.8,(141),₱,Fast Food,"Redemptorist Plaza, 15-C Queen's Rd",Fast-food fried chicken chain,Delivery,Open until 9:00 pm,Temporarily closed
Senen's Fastfood Catering Service,5.0,(1),,Caterer,6000 M. J. Cuenco Ave,Korean fried chicken specialist,Delivery,Closing soon: 4:00 pm,
The Burger Joint,4.5,(721),,Hamburger,"The Gallery, Pope John Paul II Avenue, Golam Dr",Quick stop for familiar Chinese fare,Delivery,Open until 6:00 pm,Temporarily closed
New Found Burger,4.6,(137),,Restaurant,E. Sabellano Street,Fast-food chain with Filipino flavors,Delivery,Open until 10:00 pm,Temporarily closed
Alzen's Food station,2.3,(3),,Restaurant,236-230 Tres de Abril St,Quick stop for familiar Chinese fare,Delivery,Open until 10:00 pm,Temporarily closed
Tokyo Tokyo,3.3,(8),₱₱,Japanese,"SM Seaside, F Vestil St Cor SRP",Fast-food fried chicken chain,Delivery,Open until 9:00 pm,Temporarily closed
Kenny Rogers Roasters,4.2,(38),₱₱,Chicken,"ayala center cebu, Archbishop Reyes Ave Cebu Business Park",Fast-food chain with Filipino flavors,Delivery · Takeaway,Open until 10:00 pm,
KFC Ayala Cebu 2,2.6,(31),₱,Fast Food,"Archbishop Reyes Cebu, 3rd level, Ayala Center Cebu, Cebu Business Park",Fast-food chain with Filipino flavors,Delivery,Open until 10:00 pm,
McDonald's Paseo Arcenas,4.4,(396),₱,Restaurant,Salvador St,Iconic fast-food burger & fries chain,Delivery,Open until 6:00 pm,
Bonchon Chicken,4.1,(118),₱₱,Chicken,"Ayala Center Cebu, Bohol Ave, The Terraces",Korean fried chicken specialist,Delivery · Takeaway,Open until 10:30 pm,
Kikomeister's,3.9,(23),,Takeout Restaurant,86 F. Ramos St,Fast-food chain with Filipino flavors,Takeaway,Open until 8:00 pm,
Burger King,4.2,(713),₱₱,Fast Food,F. Cabahug St,Fast-food chain for grilled burgers,Delivery · Takeaway,Open until 5:00 pm,Temporarily closed
Tan - Awan Fast Foods & Music Lounge,4.2,(27),,Fast Food,Carcar - Barili Rd,Quick stop for familiar Chinese fare,Delivery,Open until 9:00 pm,Temporarily closed
Jollibee P. Del Rosario (USC),4.2,(583),₱,Fast Food,"P. Del Rosario St., corner Pelaez, R. Landon Ext",Fast-food chain with Filipino flavors,Delivery,Open until 9:00 pm,Temporarily closed
McDonald's,4.1,(186),₱,Fast Food,V.Albano,Iconic fast-food burger & fries chain,Delivery,Open until 9:00 pm,
Triple V Express Fastfood,4.1,(300),,Fast Food,,Fast-food chain with Filipino flavors,Delivery · Takeaway,Open until 8:00 pm,Closed
Cebu Fastfood,3.7,(75),,Fast Food,,Fast-food fried chicken chain,Delivery,Open until 10:00 pm,
McDonald's,4.0,(57),₱,Fast Food,"E-Mall, Sanciangko St",Iconic fast-food burger & fries chain,Delivery,Open until 8:00 pm,
Burger King,4.1,(261),₱₱,Fast Food,"Cebu Business Park, Cebu Ayala, Level 4, Ayala Center, Archbishop Reyes Ave",Fast-food chain for grilled burgers,Delivery · Takeaway,Open until 5:30 pm,
McDonald's,4.0,(576),₱,Fast Food,"Hi-Way, M.L. Quezon National Highway",Iconic fast-food burger & fries chain,Delivery,Open until 10:00 pm,
McDonald's,3.9,(418),₱,Fast Food,"The Walk, Abad St",Iconic fast-food burger & fries chain,Delivery,Open until 9:00 pm,Temporarily closed
McDonald's,4.0,(277),₱,Fast Food,"JY Square Mall, G/F, 1 Salinas Dr",Iconic fast-food burger & fries chain,Delivery · Takeaway,Closing soon: 4:00 pm,
Abeth's Fastfood,3.0,(2),,Fast Food,,Quick stop for familiar Chinese fare,Delivery,Open until 5:00 pm,Temporarily closed
Shevan Fast Food,4.5,(2),,Fast Food,122 Junquera Ext,Fast-food chain with Filipino flavors,Delivery,Open until 10:00 pm,Temporarily closed
McDonald's,4.1,(215),₱,Fast Food,Colon St,Iconic fast-food burger & fries chain,Delivery,Open until 10:00 pm,Temporarily closed
McDonald's,4.1,(417),₱,Fast Food,"Ma. Christina Building, Fuente Osmeña Cir",Iconic fast-food burger & fries chain,Delivery,Open until 9:00 pm,Temporarily closed
McDonald's,4.3,(46),₱,Fast Food,Basak-Marigondon Rd,Iconic fast-food burger & fries chain,Delivery · Takeaway,Open until 10:00 pm,
Chowking,4.2,(80),₱,Fast Food,"Ground Floor, Elizabeth Mall, Leon Kilat St cor. South SuperHighway",Fast-food chain with Filipino flavors,Delivery,Open until 10:00 pm,Temporarily closed
McDonald's,4.1,(534),₱,Fast Food,Cebu N Rd,Iconic fast-food burger & fries chain,Delivery · Takeaway,Open until 6:00 pm,
McDonald's,4.2,(437),₱,Fast Food,Ouano Avenue,Iconic fast-food burger & fries chain,Delivery,Open until 10:30 pm,
McDonald's,3.7,(202),₱,Fast Food,"Cebu IT Tower, 1,Arch, G/F Archbishop Reyes Ave",Iconic fast-food burger & fries chain,Delivery · Takeaway,Open until 8:00 pm,
Burger King,4.2,(713),₱₱,Fast Food,F. Cabahug St,Fast-food chain for grilled burgers,Delivery · Takeaway,Open until 5:00 pm,Temporarily closed
Tan - Awan Fast Foods & Music Lounge,4.2,(27),,Fast Food,Carcar - Barili Rd,Quick stop for familiar Chinese fare,Delivery,Open until 9:00 pm,Temporarily closed
Jollibee P. Del Rosario (USC),4.2,(583),₱,Fast Food,"P. Del Rosario St., corner Pelaez, R. Landon Ext",Fast-food chain with Filipino flavors,Delivery,Open until 9:00 pm,Temporarily closed
McDonald's,4.1,(186),₱,Fast Food,V.Albano,Iconic fast-food burger & fries chain,Delivery,Open until 9:00 pm,
Triple V Express Fastfood,4.1,(300),,Fast Food,,Fast-food chain with Filipino flavors,Delivery · Takeaway,Open until 8:00 pm,Closed
Cebu Fastfood,3.7,(75),,Fast Food,,Fast-food fried chicken chain,Delivery,Open until 10:00 pm,
McDonald's,4.0,(57),₱,Fast Food,"E-Mall, Sanciangko St",Iconic fast-food burger & fries chain,Delivery,Open until 8:00 pm,
Burger King,4.1,(261),₱₱,Fast Food,"Cebu Business Park, Cebu Ayala, Level 4, Ayala Center, Archbishop Reyes Ave",Fast-food chain for grilled burgers,Delivery · Takeaway,Open until 5:30 pm,
McDonald's,4.0,(576),₱,Fast Food,"Hi-Way, M.L. Quezon National Highway",Iconic fast-food burger & fries chain,Delivery,Open until 10:00 pm,
McDonald's,4.0,(295),₱,Fast Food,"Gaisano Fiesta Mall, Cebu S Rd",Iconic fast-food burger & fries chain,Delivery · Takeaway,Open until 11:30 pm,Temporarily closed
Bon Chon Chicken,4.1,(15),₱₱,Fast Food,"SM City Cebu, Cebu Port Center, uan Luna Ave.",Korean fried chicken specialist,Delivery · Takeaway,Open until 9:00 pm,
McDonald's,4.1,(477),₱,Fast Food,N Escario St,Iconic fast-food burger & fries chain,Delivery · Takeaway,Open until 5:00 pm,Temporarily closed
Jollibee,4.2,(143),₱,Fast Food,General Maxilom Ave,Fast-food chain with Filipino flavors,Delivery,Open until 12:00 am,Temporarily closed
McDonald's,4.1,(233),₱,Fast Food,Osmeña Blvd,Iconic fast-food burger & fries chain,Delivery,Open until 10:00 pm,Temporarily closed
Jollibee,4.1,(686),₱,Fast Food,"Hanson, 231 Dionisio Jakosalem St",Fast-food chain with Filipino flavors,Delivery,Open until 9:00 pm,Temporarily closed
Bayadpo Delivery And Services,4.3,(46),,Fast Food,"Corner Plaridel Street, Ac Cortes Avenue",Iconic fast-food burger & fries chain,Delivery · Takeaway,Open until 10:00 pm,
Jollibee,4.2,(281),₱,Fast Food,Gov. M. Roa Avenue,Fast-food chain with Filipino flavors,Delivery,Open until 12:00 am,Temporarily closed
Burger King,4.2,(552),,Fast Food,"Gen Maxilom Avenue, Cor Juana Osmeña St",Iconic fast-food burger & fries chain,Delivery · Takeaway,Open until 5:00 pm,
Chowking,4.0,(41),₱,Fast Food,"Colon Development Bldg. Osmeña cor. Zamora, Cebu City",Iconic fast-food burger & fries chain,Delivery,Open until 10:30 pm,Temporarily closed
Back Yard Burgers,3.0,(1),,Fast Food,ParkMall Cebu,Chain with creative burgers & shakes,Delivery · Takeaway,Open until 8:00 pm,
McDonald's,4.1,(314),₱,Fast Food,P. Burgos St,Iconic fast-food burger & fries chain,Delivery,Open until 5:00 pm,Temporarily closed
Burger King,4.2,(713),₱₱,Fast Food,F. Cabahug St,Fast-food chain for grilled burgers,Delivery,Open until 5:00 pm,Temporarily closed
Jollibee P. Del Rosario (USC),4.2,(583),₱,Fast Food,"P. Del Rosario St., corner Pelaez, R. Landon Ext",Fast-food chain with Filipino flavors,Delivery,Open until 9:00 pm,Temporarily closed
Triple V Express Fastfood,4.0,(128),,Fast Food,,Fast-food chain with Filipino flavors,Delivery,Open until 9:00 pm,
Cebu Fastfood,4.2,(11),,Fast Food,,Fast-food chain with Filipino flavors,Delivery,Open until 9:00 pm,Closed
McDonald's,4.1,(186),₱,Fast Food,V.Albano,Iconic fast-food burger & fries chain,Delivery,Open until 11:30 pm,
Burger King,4.1,(261),₱₱,Fast Food,"Cebu Business Park, Cebu Ayala, Level 4, Ayala Center, Archbishop Reyes Ave",Fast-food chain for grilled burgers,Delivery,Open until 8:00 pm,
McDonald's,4.0,(57),₱,Fast Food,"E-Mall, Sanciangko St",Iconic fast-food burger & fries chain,Delivery · Takeaway,Open until 8:00 pm,
McDonald's,4.0,(576),₱,Fast Food,"Hi-Way, M.L. Quezon National Highway",Iconic fast-food burger & fries chain,Delivery,Open until 10:00 pm,
McDonald's,3.9,(418),₱,Fast Food,"The Walk, Abad St",Iconic fast-food burger & fries chain,Delivery,Open until 11:30 pm,Temporarily closed
McDonald's,4.0,(277),₱,Fast Food,"JY Square Mall, G/F, 1 Salinas Dr",Iconic fast-food burger & fries chain,Delivery · Takeaway,Open until 9:00 pm,
Shevan Fast Food,4.5,(2),,Fast Food,122 Junquera Ext,Iconic fast-food burger & fries chain,Delivery · Takeaway,Open until 10:00 pm,Temporarily closed
McDonald's,4.1,(215),₱,Fast Food,Colon St,Iconic fast-food burger & fries chain,Delivery,Open until 12:00 am,Temporarily closed
McDonald's,4.1,(417),₱,Fast Food,"Ma. Christina Building, Fuente Osmeña Cir",Iconic fast-food burger & fries chain,Delivery,Open until 10:00 pm,Temporarily closed
McDonald's,4.3,(46),₱,Fast Food,Basak-Marigondon Rd,Iconic fast-food burger & fries chain,Delivery,Open until 9:00 pm,Temporarily closed
Chowking,4.2,(80),₱,Fast Food,"Ground Floor, Elizabeth Mall, Leon Kilat St cor. South SuperHighway",Iconic fast-food burger & fries chain,Delivery · Takeaway,Open until 10:00 pm,Temporarily closed
McDonald's,4.2,(437),₱,Fast Food,Ouano Avenue,Iconic fast-food burger & fries chain,Delivery,Open until 12:00 am,Temporarily closed
McDonald's,3.7,(202),₱,Fast Food,"Cebu IT Tower, 1,Arch, G/F Archbishop Reyes Ave",Iconic fast-food burger & fries chain,Delivery · Takeaway,Open until 5:00 pm,
Jollibee,4.2,(362),₱,Fast Food,"Pueblo Verde, Mepz 2",Fast-food chain with Filipino flavors,Delivery,Open until 10:30 pm,Temporarily closed
McDonald's,4.1,(561),₱,Fast Food,"NH1, National Hwy",Iconic fast-food burger & fries chain,Delivery · Takeaway,Open until 8:00 pm,
ESKINA Fastfood,4.1,(314),,Fast Food,"Room 208, Rivergate Building, Mango Avenue",Iconic fast-food burger & fries chain,Delivery,Open until 5:00 pm,Temporarily closed
Jollibee,4.2,(429),₱,Fast Food,,Fast-food chain with Filipino flavors,Delivery · Takeaway,Open until 11:00 pm,Temporarily closed
Jollibee,4.0,(128),₱,Fast Food,A. Borromeo St,Fast-food chain with Filipino flavors,Delivery,Open until 9:00 pm,Temporarily closed
Jollibee,4.2,(11),₱,Fast Food,Santo Niño St,Fast-food chain with Filipino flavors,Delivery,Open until 9:00 pm,
McDonald's,4.1,(276),₱,Fast Food,Natalio B. Bacalso S National Hwy,Iconic fast-food burger & fries chain,Delivery · Takeaway,Open until 11:30 pm,Closed
Chick N' Fries,4.1,(186),,Fast Food,174 Gov. M. Roa St,Iconic fast-food burger & fries chain,Delivery,Open until 11:30 pm,
Burger King,4.1,(395),,Fast Food,"Vibo Place, Cebu Escario, Axis Entertainment Avenue, N Escario St",Fast-food chain for grilled burgers,Delivery,Open until 5:00 pm,
Burger King,4.1,(61),₱₱,Fast Food,"Cebu SM Seaside, Lower Ground Floor, SM Seaside City Cebu, South Coastal Road corner Mambaling Extension, South Road Properties",Fast-food chain for grilled burgers,Delivery · Takeaway,Open until 8:00 pm,
McDonald's,4.0,(295),₱,Fast Food,"Gaisano Fiesta Mall, Cebu S Rd",Iconic fast-food burger & fries chain,Delivery · Takeaway,Open until 11:30 pm,
Bon Chon Chicken,4.1,(15),₱₱,Fast Food,"SM City Cebu, Cebu Port Center, uan Luna Ave.",Korean fried chicken specialist,Delivery,Open until 9:00 pm,Temporarily closed
McDonald's,4.1,(477),₱,Fast Food,N Escario St,Iconic fast-food burger & fries chain,Delivery · Takeaway,Open until 9:00 pm,
Jollibee,4.2,(143),₱,Fast Food,General Maxilom Ave,Fast-food chain with Filipino flavors,Delivery,Open until 12:00 am,Temporarily closed
McDonald's,4.1,(233),₱,Fast Food,Osmeña Blvd,Iconic fast-food burger & fries chain,Delivery,Open until 12:00 am,Temporarily closed
Jollibee,4.1,(686),₱,Fast Food,"Hanson, 231 Dionisio Jakosalem St",Fast-food chain with Filipino flavors,Delivery,Open until 10:00 pm,Temporarily closed
Bayadpo Delivery And Services,4.3,(46),,Fast Food,"Corner Plaridel Street, Ac Cortes Avenue",Iconic fast-food burger & fries chain,Delivery,Open until 9:00 pm,Temporarily closed
Jollibee,4.2,(281),₱,Fast Food,Gov. M. Roa Avenue,Fast-food chain with Filipino flavors,Delivery,Open until 12:00 am,Temporarily closed
Burger King,4.2,(552),,Fast Food,"Gen Maxilom Avenue, Cor Juana Osmeña St",Iconic fast-food burger & fries chain,Delivery,Open until 5:00 pm,Temporarily closed
Chowking,4.0,(41),₱,Fast Food,"Colon Development Bldg. Osmeña cor. Zamora, Cebu City",Iconic fast-food burger & fries chain,Delivery · Takeaway,Open until 5:00 pm,Temporarily closed
Back Yard Burgers,3.0,(1),,Fast Food,ParkMall Cebu,Chain with creative burgers & shakes,Delivery,Open until 10:30 pm,Temporarily closed
Jollibee,4.1,(434),₱,Fast Food,F. Cabahug St,Fast-food chain with Filipino flavors,Delivery · Takeaway,Open until 8:00 pm,
Chowking,4.5,(12),₱,Fast Food,"G/F, SM Seaside Cebu, Cebu South Coastal Rd, Cebu City, Cebu",Iconic fast-food burger & fries chain,Delivery,Open until 5:00 pm,Temporarily closed
Jollibee,4.0,(60),₱,Fast Food,"J Centre Mall Building, A. S. Fortuna St",Fast-food chain with Filipino flavors,Delivery,Open until 10:00 pm,Temporarily closed
Jollibee,3.6,(53),₱,Fast Food,Aéroport international de Mactan-Cebu,Fast-food chain with Filipino flavors,Delivery,Open until 9:00 pm,Temporarily closed
Orange Brutus,3.9,(10),,Fast Food,"Cinco Centrum, Puente Osmena",Fast-food chain with Filipino flavors,Delivery,Open until 9:00 pm,
Chowabungga,4.4,(230),,Fast Food,"GF i1 Building, Jose Maria del Mar St",Iconic fast-food burger & fries chain,Delivery · Takeaway,Opens at 5:00 pm,Closed
McDonald's,4.2,(93),₱,Fast Food,,Iconic fast-food burger & fries chain,Delivery,Open until 10:00 pm,
KFC,4.2,(95),₱,Fast Food,"17-C Barba Press Bldg., Jones Ave., Cebu City, Cebu",Fast-food fried chicken chain,Delivery,Open until 10:00 pm,
Jollibee,4.4,(157),₱,Fast Food,"E-Mall, N. Bacalso Ave Leon Kilat St",Fast-food chain with Filipino flavors,Delivery,Open until 8:00 pm,
Jollibee,4.2,(361),₱,Fast Food,Cebu S Rd,Fast-food chain with Filipino flavors,Takeaway,Open until 11:30 pm,
Jollibee,4.2,(659),₱,Fast Food,"National Highway, A. S. Fortuna St",Fast-food chain with Filipino flavors,Delivery,Open until 9:00 pm,Temporarily closed
McDonald's,4.1,(480),₱,Fast Food,Hernan Cortes St. Cor. A.S. Fortuna St.,Iconic fast-food burger & fries chain,Delivery,Open until 9:00 pm,
Mergies' Budget Meal,2.0,(2),,Fast Food,12 C. Rodriguez Street,Fast-food chain with Filipino flavors,Delivery,Open until 11:30 pm,Temporarily closed
Jollibee,4.1,(350),₱,Fast Food,M. C. Briones St,Fast-food chain with Filipino flavors,Delivery,Open until 12:00 am,Temporarily closed
Jollibee,4.1,(20),₱,Fast Food,"Robinsons Fuente, Fuente Osmeña Cir",Fast-food chain with Filipino flavors,Delivery,Open until 9:30 pm,Temporarily closed
"Remros Food, Inc.",4.3,(46),,Fast Food,Cebu Business Park,Iconic fast-food burger & fries chain,Delivery,Open until 9:00 pm,Temporarily closed
Aikasarap Food Station,4.2,(281),,Fast Food,Don Jose Avila Street,Fast-food chain with Filipino flavors,Delivery,Open until 12:00 am,Temporarily closed
Jollibee,4.5,(78),₱,Fast Food,,Fast-food chain with Filipino flavors,Delivery,Open until 5:00 pm,Temporarily closed
Jollibee,4.2,(17),₱,Fast Food,U.N. Ave,Fast-food chain with Filipino flavors,Delivery,Open until 5:00 pm,Temporarily closed
80'S Cook-Out Restaurant,3.0,(1),,Fast Food,131-a Rahmann St,Chain with creative burgers & shakes,Delivery,Open until 10:30 pm,Temporarily closed
McDonald's,4.1,(505),₱,Fast Food,"EMSU Building, 24 Osmeña Blvd",Iconic fast-food burger & fries chain,Delivery,Open until 8:00 pm,
Jollibee,4.0,(151),₱,Fast Food,"Grand Mall, Basak-Sisi-Agus Rd",Fast-food chain with Filipino flavors,Delivery,Open until 9:00 pm,Temporarily closed
Sinangag Station,4.0,(104),,Fast Food,N Escario St,Fast-food chain with Filipino flavors,Delivery,Open until 10:00 pm,Temporarily closed
RichJim's Food Avenue,3.6,(53),,Fast Food,V-1 Gov. M. Cuenco Ave,Fast-food chain with Filipino flavors,Delivery,Open until 7:00 pm,Temporarily closed
Jollibee,4.2,(84),₱,Fast Food,,Fast-food chain with Filipino flavors,Delivery,Open until 9:00 pm,
Hi-Flyers Food Incorporated,4.4,(230),,Fast Food,"3rd Floor, Paseo Verde, Archbishop Reyes Avenue, Cebu Business Park",Iconic fast-food burger & fries chain,Delivery · Takeaway,Opens at 5:00 pm,Closed
XiongSohn,4.0,(40),,Fast Food,Maximo V. Patalinghug Jr. Avenue,Iconic fast-food burger & fries chain,Delivery,Open until 9:00 pm,
Jollibee,3.8,(210),₱,Fast Food,"L1, SKYRISE Beta, Samar Loop",Fast-food chain with Filipino flavors,Delivery,Open until 10:00 pm,
Lea's Home Meals,4.4,(157),,Fast Food,"A. S Fortuna Street, 6014",Fast-food chain with Filipino flavors,Delivery,Open until 8:00 pm,
Army Navy Burger + Burrito,4.2,(174),₱₱,Fast Food,"Metro, W Geonzon St",Fast-food chain with Filipino flavors,Takeaway,Open until 11:30 pm,
Jollibee,4.2,(153),₱,Fast Food,"2/F Gaisano Mactan Island Mall, M.L. Quezon National Highway",Fast-food chain with Filipino flavors,Delivery,Open until 10:00 pm,Temporarily closed
Wild Rice Food Express,5.0,(4),,Fast Food,"13, St. John Road, Sacred Heart Village Banawa",Iconic fast-food burger & fries chain,Delivery,Open until 9:00 pm,
McDonald's,3.8,(132),₱,Fast Food,M.L. Quezon National Highway,Iconic fast-food burger & fries chain,Delivery,Open until 11:30 pm,Temporarily closed
Food 4 Az All,4.1,(350),,Fast Food,"Second Floor JY Square Mall, No. 1 Salinas Drive, Lahug",Fast-food chain with Filipino flavors,Delivery,Open until 12:00 am,Temporarily closed
Chowking,3.9,(21),₱,Fast Food,"Upper Ground Floor., SM City Cebu, Cebu City",Fast-food chain with Filipino flavors,Delivery,Open until 9:30 pm,Temporarily closed
Jollibee SM L3,4.1,(178),₱,Fast Food,"114 Third Level, SM City North Reclamation Area, Juan Luna Extension, Kaohsiung St",Fast-food chain with Filipino flavors,Delivery,Open until 9:00 pm,Temporarily closed
Jollibee,4.2,(148),₱,Fast Food,"Gaisano Fiesta Mall, South National Highway",Fast-food chain with Filipino flavors,Delivery · Takeaway,Open until 8:00 pm,Temporarily closed
Lotching's Chinese Ngohiong,4.5,(11),,Fast Food,Tojong St,Fast-food chain with Filipino flavors,Delivery,Open until 7:30 pm,Temporarily closed
Jollibee,4.1,(277),₱,Fast Food,"President Osmeña Blvd, Corner Arlington Pond St",Fast-food chain with Filipino flavors,Delivery · Takeaway,Open until 5:00 pm,Temporarily closed
