section-result-title,cards-rating-score,section-result-num-ratings,section-result-details,section-result-description,GLOBAL__gm2-caption,GLOBAL__gm2-caption 2,section-result-header-container,section-result-info,section-result-location
Waterfront Airport Hotel & Casino Mactan,4.0,"(1,433)",4-star hotel,High-end airport hotel with a casino,Pool,Free parking,,,
C-Suites,4.0,(167),3-star hotel,Refined apartment hotel with a pool,Spa,Free Wi-Fi,,,
GV Tower Hotel,3.5,(388),3-star hotel,,Free parking,Free Wi-Fi,₱849,Temporarily closed,
Go Land Pension House,4.2,(14),2-star hotel,,,,,Temporarily closed,
Cozy Inn Mactan,4.2,(50),Hotel,Humble budget hotel near Cebu IT Park,Free parking,Free Wi-Fi,"₱1,266",Temporarily closed,
New Era Pension Inn,3.7,(107),2-star hotel,,Free parking,Free Wi-Fi,"₱1,212",Temporarily closed,
Mactan Pension House,3.1,(126),2-star hotel,,Free Wi-Fi,,"₱1,034",Temporarily closed,
Doña Mercedes Hostel - 1.5 Star,3.4,(26),Hostel,,,,₱724,Temporarily closed,
Dragon Home Inn,3.8,(184),2-star hotel,Unassuming budget hotel with a cafe,Free parking,Free Wi-Fi,₱587,Temporarily closed,
OYO 428 Cebu Hilltop Hotel,3.8,(135),3-star hotel,,Pool,Free parking,,Temporarily closed,
Pensionne la Florentina,3.8,(62),2-star hotel,,Free Wi-Fi,,,Temporarily closed,
Nomads Hub Coliving Hostel Cebu,4.7,(45),Hostel,,Free parking,Free Wi-Fi,,Temporarily closed,
Alicia Tower Residences,3.9,(227),2-star hotel,Laid-back hostel with a cafeteria,Free parking,Free Wi-Fi,,Temporarily closed,
The Ancestors Pension,3.8,(81),2-star hotel,,,,,Temporarily closed,
Tropical Hostel Cebu Center,3.6,(64),2-star hotel,Simple budget hotel with dining,,,₱477,Temporarily closed,
Food District Hostel Cebu Central,4.2,(83),Hostel,,,,,Temporarily closed,
Elegant Circle Inn,3.7,(299),3-star hotel,,Free parking,Free Wi-Fi,₱853,Temporarily closed,
Skyblue Hotel - 2 Star,3.3,(120),3-star hotel,,Spa,Free parking,,Temporarily closed,
Cebu Hostel & Glamping,4.5,(2),Hostel,,,,,Temporarily closed,
7 Days Inn,3.6,(16),3-star hotel,Unassuming budget hotel with a cafe,Free parking,Free Wi-Fi,₱500,Temporarily closed,
GV Hotel Lapulapu,3.3,(148),2-star hotel,,Free parking,Free Wi-Fi,,Temporarily closed,
Flory's Inn,3.3,(6),1-star hotel,,,,₱965,Temporarily closed,
Amethyst Boutique Hotel Cebu,4.6,(69),3-star hotel,Casual hotel with dining & event space,Free parking,Free Wi-Fi,,,
Well Hotel,3.9,(138),2-star hotel,Low-key hotel with free breakfast,Free parking,Free Wi-Fi,,,
Friendly's Guesthouse Hostel - 1.5 Star,3.1,(75),2-star hotel,,Free parking,Free Wi-Fi,₱849,Temporarily closed,
Sugbutel Family Hotel,4.0,(686),2-star hotel,,Free Wi-Fi,,,Temporarily closed,
Citi Circle Guesthouse Hostel - 1.5 Star,3.7,(92),2-star hotel,,Free parking,Free Wi-Fi,,Temporarily closed,
RedDoorz Plus near Talisay Town Center,2.8,(92),Apartment building,,,,,Temporarily closed,
Taro hometel,3.8,(12),Hotel,,,,₱700,Temporarily closed,
cebu leisure lodge,3.7,(71),2-star hotel,,Spa,Free parking,,Temporarily closed,
OYO 465 Ford's Inn,3.8,(88),3-star hotel,Unassuming budget hotel with a cafe,Spa,Free parking,,Temporarily closed,
Westview Pension,3.5,(41),2-star hotel,,,,,Temporarily closed,
RedDoorz @ Bonifacio St Cebu,3.4,(58),2-star hotel,,Free Wi-Fi,,,Temporarily closed,
AllSon's Inn,3.7,(351),2-star hotel,,Free parking,Free Wi-Fi,,Temporarily closed,
RedDoorz near UV Mandaue Cebu,3.9,(39),Hotel,,Free Wi-Fi,,,Temporarily closed,
OYO 556 3j's And K Apartment,3.8,(12),Hotel,,,,,Temporarily closed,
Honey Hunt House Pension,3.5,(155),2-star hotel,Simple budget hotel with dining,Pool,Free parking,,Temporarily closed,
Abisha B＆B,4.8,(18),Lodging,,,,,Temporarily closed,
The Flying Fish Boutique Hostel Cebu,3.9,(34),Hostel,,Pool,Free parking,,Temporarily closed,
OYO 208 Anika Suites,4.3,(52),Hotel,,Free Wi-Fi,,,Temporarily closed,
OYO 140 Jcad Hotel,3.6,(80),Hotel,,,,,Temporarily closed,
Cebu Guest Inn,4.1,(65),2-star hotel,Unassuming budget hotel with a cafe,Free parking,Free Wi-Fi,₱587,Temporarily closed,
The Stopover Hostel,3.6,(55),2-star hotel,,Free Wi-Fi,,,Temporarily closed,
The Seven Archangels Pension House,3.7,(16),Hostel,,,,,Temporarily closed,
Dragon Home Inn,3.8,(184),2-star hotel,Low-key hotel with dining & free parking,Free parking,Free Wi-Fi,,,
Alpa City Suites,4.1,(505),3-star hotel,Relaxed hotel with a restaurant,Free parking,Free Wi-Fi,,,
RedDoorz @ Bankal Lapulapu,2.6,(5),Apartment building,,,,₱849,Temporarily closed,
Naps & Maps,4.0,(180),2-star hotel,,Free Wi-Fi,Free breakfast,,Temporarily closed,
RedDoorz Hernan Cortes,4.3,(20),2-star hotel,,Pool,Free parking,,Temporarily closed,
"La Maria, Pension & Tourist Inn Hotel‎",3.8,(90),2-star hotel,,Free parking,Free Wi-Fi,,Temporarily closed,
Shejoje Poshtel Hostel - 2 Star,4.5,(146),2-star hotel,,Free Wi-Fi,,₱700,Temporarily closed,
RedDoorz near The Persimmon Cebu,3.6,(28),2-star hotel,,Free Wi-Fi,,₱724,Temporarily closed,
Mayflower Inn,3.9,(230),2-star hotel,Unassuming budget hotel with a cafe,Free parking,Free Wi-Fi,₱587,Temporarily closed,
Dynasty Tourist Inn,3.5,(203),3-star hotel,,Free parking,Free Wi-Fi,,Temporarily closed,
Mactan-Cebu Airport Budget HoteL,4.2,(5),Hotel,,Free parking,Free Wi-Fi,,Temporarily closed,
RedDoorz @ Climaco Street Cebu,3.6,(12),Hotel,,Free parking,Free Wi-Fi,,Temporarily closed,
Hostel 7 Cebu,4.3,(186),Hotel,Laid-back hostel with open-air dining,,,,Temporarily closed,
RedDoorz @ MJ Cuenco Avenue Cebu,3.3,(27),Apartment rental agency,,Free parking,Free Wi-Fi,,Temporarily closed,
8th Street Guesthouse,3.4,(112),2-star hotel,Simple budget hotel with dining,Free Wi-Fi,,,Temporarily closed,
Bee-Force Backpackers Inn-Cebu,3.5,(2),Bed & breakfast,,Free parking,Free Wi-Fi,,Temporarily closed,
VG Pension House,5.0,(2),Inn,,,,,Temporarily closed,
Skypark Pensionne,3.9,(278),2-star hotel,,Spa,Free parking,,Temporarily closed,
WJV Inn,3.6,(31),Hotel,,Free parking,Free Wi-Fi,,Temporarily closed,
OYO 517 Jcad Hotel Lahug,3.0,(8),Hotel,Unassuming budget hotel with a cafe,,,₱587,Temporarily closed,
OYO 485 The Rooms By Alinace,3.7,(25),Hotel,,Free parking,Free Wi-Fi,,Temporarily closed,
RedDoorz near Baclay Drive Super Metro,3.7,(16),Hotel,,,,,Temporarily closed,
Dragon Home Inn,3.8,(184),2-star hotel,Low-key hotel with dining & free parking,Free parking,Free Wi-Fi,,,
Alpa City Suites,4.1,(505),3-star hotel,Relaxed hotel with a restaurant,Free parking,Free Wi-Fi,,,
RedDoorz @ Bankal Lapulapu,2.6,(5),Apartment building,,,,₱849,Temporarily closed,
Naps & Maps,4.0,(180),2-star hotel,,Free Wi-Fi,Free breakfast,,Temporarily closed,
RedDoorz Hernan Cortes,4.3,(20),2-star hotel,,Pool,Free parking,,Temporarily closed,
"La Maria, Pension & Tourist Inn Hotel‎",3.8,(90),2-star hotel,,Free parking,Free Wi-Fi,,Temporarily closed,
Shejoje Poshtel Hostel - 2 Star,4.5,(146),2-star hotel,,Free Wi-Fi,,₱700,Temporarily closed,
RedDoorz near The Persimmon Cebu,3.6,(28),2-star hotel,,Free Wi-Fi,,₱724,Temporarily closed,
Mayflower Inn,3.9,(230),2-star hotel,Unassuming budget hotel with a cafe,Free parking,Free Wi-Fi,₱587,Temporarily closed,
Dynasty Tourist Inn,3.5,(203),3-star hotel,,Free parking,Free Wi-Fi,,Temporarily closed,
Mactan-Cebu Airport Budget HoteL,4.2,(5),Hotel,,Free parking,Free Wi-Fi,,Temporarily closed,
RedDoorz @ Climaco Street Cebu,3.6,(12),Hotel,,Free parking,Free Wi-Fi,,Temporarily closed,
Hostel 7 Cebu,4.3,(186),Hotel,Laid-back hostel with open-air dining,,,,Temporarily closed,
RedDoorz @ MJ Cuenco Avenue Cebu,3.3,(27),Apartment rental agency,,Free parking,Free Wi-Fi,,Temporarily closed,
8th Street Guesthouse,3.4,(112),2-star hotel,Simple budget hotel with dining,Free Wi-Fi,,,Temporarily closed,
Bee-Force Backpackers Inn-Cebu,3.5,(2),Bed & breakfast,,Free parking,Free Wi-Fi,,Temporarily closed,
VG Pension House,5.0,(2),Inn,,,,,Temporarily closed,
Skypark Pensionne,3.9,(278),2-star hotel,,Spa,Free parking,,Temporarily closed,
WJV Inn,3.6,(31),Hotel,,Free parking,Free Wi-Fi,,Temporarily closed,
OYO 517 Jcad Hotel Lahug,3.0,(8),Hotel,Unassuming budget hotel with a cafe,,,₱587,Temporarily closed,
OYO 485 The Rooms By Alinace,3.7,(25),Hotel,,Free parking,Free Wi-Fi,,Temporarily closed,
Hotel San Francisco,2.7,(91),1-star hotel,,,,₱965,Temporarily closed,
Citadines Cebu City,4.8,(35),3-star hotel,Polished apartment hotel with dining,Pool,Free parking,,,
Eastland Hotel and Residences,4.2,(39),3-star hotel,"Simple rooms & suites, plus dining",Free parking,Free Wi-Fi,,,
HEDDA HOTEL CEBU,4.1,(11),Hotel,,Free parking,Free Wi-Fi,₱849,Temporarily closed,
HQ Hostel Cebu,5.0,(25),Hostel,,Spa,Free parking,,Temporarily closed,
OYO 442 Ipark Hotel,3.8,(31),Hotel,Humble budget hotel near Cebu IT Park,,,,Temporarily closed,
Sterling Touch Inn 3,4.5,(4),Inn,,,,"₱1,212",Temporarily closed,
La Place Guesthouse,4.3,(18),,,,,,Temporarily closed,
Cebu Courtyard,3.1,(314),2-star hotel,,Free parking,Free Wi-Fi,₱724,Temporarily closed,
Metro Park Hotel - Mandaue,3.8,(153),2-star hotel,Unassuming budget hotel with a cafe,Free parking,Free Wi-Fi,₱587,Temporarily closed,
Peach Haven,3.6,(11),Hostel,,,,,Temporarily closed,
RedDoorz Plus @ AS Fortuna Cebu,3.9,(37),2-star hotel,,Free parking,Free Wi-Fi,,Temporarily closed,
Pe're Aristo Guesthouse - 1.5 Star,3.6,(61),1-star hotel,,,,,Temporarily closed,
Glogette Guest House - 1 Star,2.7,(3),Hostel,Laid-back hostel with open-air dining,,,₱603,Temporarily closed,
RedDoorz Plus @ Jones Avenue Cebu,3.3,(68),Hotel,,Pool,Free parking,,Temporarily closed,
OYO 157 Casa Venna Pension House,3.2,(25),3-star hotel,Simple budget hotel with dining,Free parking,,₱477,Temporarily closed,
Copenhagen East Residence,3.9,(84),Hotel,,,,,Temporarily closed,
Chambre Hotel Mactan,3.8,(304),2-star hotel,,Pool,Free parking,₱853,Temporarily closed,
Golden Valley Hotel,3.8,(168),3-star hotel,,Free parking,Free Wi-Fi,,Temporarily closed,
Caza Cebu,4.5,(2),Lodging,,,,,Temporarily closed,
RJC HOSTEL AND KARAOKE BAR,5.0,(2),,Unassuming budget hotel with a cafe,,,,Temporarily closed,
Mactan Cebu Waiting Lounge,3.7,(25),Hotel,,,,,Temporarily closed,
magabelle guesthouse - 2 Star,4.3,(38),Bed & breakfast,,Free parking,Free Wi-Fi,₱965,Temporarily closed,
GV Tower Hotel,3.5,(388),3-star hotel,,Free parking,Free Wi-Fi,₱849,Temporarily closed,
Go Land Pension House,4.2,(14),2-star hotel,,,,,Temporarily closed,
Cozy Inn Mactan,4.2,(50),Hotel,Humble budget hotel near Cebu IT Park,Free parking,Free Wi-Fi,"₱1,266",Temporarily closed,
New Era Pension Inn,3.7,(107),2-star hotel,,Free parking,Free Wi-Fi,"₱1,212",Temporarily closed,
Mactan Pension House,3.1,(126),2-star hotel,,Free Wi-Fi,,"₱1,034",Temporarily closed,
Doña Mercedes Hostel - 1.5 Star,3.4,(26),Hostel,,,,₱724,Temporarily closed,
Dragon Home Inn,3.8,(184),2-star hotel,Unassuming budget hotel with a cafe,Free parking,Free Wi-Fi,₱587,Temporarily closed,
OYO 428 Cebu Hilltop Hotel,3.8,(135),3-star hotel,,Pool,Free parking,,Temporarily closed,
Pensionne la Florentina,3.8,(62),2-star hotel,,Free Wi-Fi,,,Temporarily closed,
Nomads Hub Coliving Hostel Cebu,4.7,(45),Hostel,,Free parking,Free Wi-Fi,,Temporarily closed,
Alicia Tower Residences,3.9,(227),2-star hotel,Laid-back hostel with a cafeteria,Free parking,Free Wi-Fi,,Temporarily closed,
The Ancestors Pension,3.8,(81),2-star hotel,,,,,Temporarily closed,
Tropical Hostel Cebu Center,3.6,(64),2-star hotel,Simple budget hotel with dining,,,₱477,Temporarily closed,
Food District Hostel Cebu Central,4.2,(83),Hostel,,,,,Temporarily closed,
Elegant Circle Inn,3.7,(299),3-star hotel,,Free parking,Free Wi-Fi,₱853,Temporarily closed,
Skyblue Hotel - 2 Star,3.3,(120),3-star hotel,,Spa,Free parking,,Temporarily closed,
Cebu Hostel & Glamping,4.5,(2),Hostel,,,,,Temporarily closed,
7 Days Inn,3.6,(16),3-star hotel,Unassuming budget hotel with a cafe,Free parking,Free Wi-Fi,₱500,Temporarily closed,
GV Hotel Lapulapu,3.3,(148),2-star hotel,,Free parking,Free Wi-Fi,,Temporarily closed,
Flory's Inn,3.3,(6),1-star hotel,,,,₱965,Temporarily closed,
Transit Point Mactan Hostel - 1 Star,3.6,(83),2-star hotel,,Free parking,Free Wi-Fi,₱849,Temporarily closed,
Well Hotel,3.9,(138),2-star hotel,,Free parking,Free Wi-Fi,,Temporarily closed,
Chiasti Capsule Hostel,1.0,(1),Hostel,Humble budget hotel near Cebu IT Park,,,"₱1,266",Temporarily closed,
Casa Rosario Hotel,4.0,(68),3-star hotel,,Free parking,Free Wi-Fi,"₱1,212",Temporarily closed,
ZEN Premium Banilad,4.0,(14),3-star hotel,Relaxed budget hotel with a gym,Spa,,,Temporarily closed,
@HOME,3.4,(26),Hostel,,,,₱724,Temporarily closed,
Murals Mactan,4.4,(37),Hostel,Unassuming budget hotel with a cafe,,,₱587,Temporarily closed,
Anri Pension House,3.9,(157),2-star hotel,,Free parking,Free Wi-Fi,,Temporarily closed,
호텔 켈리포니아(Hotel California),3.1,(77),2-star hotel,,,,,Temporarily closed,
MB's Garden Inn,4.2,(186),3-star hotel,,Pool,Free parking,,Temporarily closed,
1521 Hostel,4.4,(68),2-star hotel,Laid-back hostel with a cafeteria,Spa,Free parking,₱765,Temporarily closed,
Park Hill Hotel Mactan,3.1,(313),2-star hotel,Casual hotel with a restaurant & Wi-Fi,Free parking,Free Wi-Fi,,Temporarily closed,
Titan Residence at Mactan Cebu,2.5,(2),Hotel,Simple budget hotel with dining,,,₱477,Temporarily closed,
Express Inn - Osmeña,3.8,(197),3-star hotel,,Pool,Free parking,,Temporarily closed,
RedDoorz Premium @ Wireless Mandaue Cebu,4.2,(103),3-star hotel,,Pool,,₱853,Temporarily closed,
Hotel One,4.3,(8),Hotel,,,,,Temporarily closed,
Elicon House,3.8,(218),Cafe,,,,,Temporarily closed,
Crown Port View Hotel,3.5,(102),2-star hotel,Unassuming budget hotel with a cafe,Free parking,Free Wi-Fi,₱500,Temporarily closed,
Alpa City Suites,4.1,(505),3-star hotel,,Free parking,Free Wi-Fi,,Temporarily closed,
Mactan Condo,3.3,(6),Lodging,,,,₱965,Temporarily closed,
Canberry Hotel,3.8,(180),3-star hotel,,Free parking,Free Wi-Fi,₱849,Temporarily closed,
Rumah Highlands Hotel,4.3,(421),3-star hotel,,Pool,Spa,,Temporarily closed,
OYO 540 Verovino Suites,1.0,(1),Hotel,Humble budget hotel near Cebu IT Park,,,,Temporarily closed,
18 Suites Cebu,4.6,(115),Hotel,Unassuming hotel with free Wi-Fi,Free parking,Free Wi-Fi,,Temporarily closed,
Storyshare Apas,4.0,(26),2-star hotel,Relaxed budget hotel with a gym,Free parking,Free Wi-Fi,,Temporarily closed,
Murals Sleepbox,4.4,(15),Hostel,,,,₱724,Temporarily closed,
Pantawan Guest House - 2 Star,4.2,(34),Hotel,Unassuming budget hotel with a cafe,,,₱587,Temporarily closed,
Mad Monkey Hostel Cebu City,4.6,(501),Hostel,,Pool,Spa,,Temporarily closed,
Palazzo Pensionne - 2.5 Star,4.2,(163),2-star hotel,Low-key hotel with free breakfast,Free parking,Free Wi-Fi,,Temporarily closed,
Cityscape,4.1,(11),3-star hotel,,,,,Temporarily closed,
Island Breeze Hostel - Cebu Central - 1 Star,3.7,(55),2-star hotel,Laid-back hostel with a cafeteria,Free parking,Free Wi-Fi,₱765,Temporarily closed,
The Center Suites,4.0,(270),2-star hotel,Simple budget hotel with a chapel,Free parking,Free Wi-Fi,,Temporarily closed,
Big Dreams Residences,4.4,(58),2-star hotel,Simple budget hotel with dining,Free parking,Free Wi-Fi,₱477,Temporarily closed,
Europa Mansionette Inn - 2 Star,3.7,(104),3-star hotel,,Free breakfast,,,Temporarily closed,
ZEN Rooms M. Velez Street,4.0,(40),3-star hotel,,Free parking,Free Wi-Fi,₱853,Temporarily closed,
Sunday Hostel,3.5,(39),2-star hotel,,Free breakfast,,,Temporarily closed,
Oftana Suites,3.7,(33),2-star hotel,,,,"₱1,143",Temporarily closed,
The Partridge Guesthouse - 2.5 Star,4.3,(16),2-star hotel,Unassuming budget hotel with a cafe,,,₱500,Temporarily closed,
Richmond Plaza Hotel,3.2,(176),3-star hotel,,Free parking,Free Wi-Fi,,Temporarily closed,
Bugoy Bikers Hostel,4.3,(66),2-star hotel,,Free Wi-Fi,,₱965,Temporarily closed,
Sabina Suites,3.7,(20),2-star hotel,,Free parking,Free Wi-Fi,₱849,Temporarily closed,
Cebu Northwinds Hotel,3.8,(287),3-star hotel,"Unassuming rooms, plus free breakfast",Free parking,Free Wi-Fi,,Temporarily closed,
RedDoorz Plus @ Mabolo Cebu,4.0,(59),3-star hotel,Humble budget hotel near Cebu IT Park,Pool,,₱938,Temporarily closed,
Lylie Hotel,3.9,(86),2-star hotel,Low-key budget lodging with free Wi-Fi,Free parking,Free Wi-Fi,,Temporarily closed,
Centro Mactan Suites,4.3,(111),2-star hotel,Modest hotel with free breakfast & Wi-Fi,Free parking,Free Wi-Fi,,Temporarily closed,
Cebu City Center Inn - IT Park,4.1,(9),2-star hotel,,Free parking,Free Wi-Fi,₱724,Temporarily closed,
Cinfandel Suites - 2 Star,3.8,(66),3-star hotel,Unassuming budget hotel with a cafe,Free Wi-Fi,,₱587,Temporarily closed,
