section-result-title,cards-rating-score,section-result-num-ratings,section-result-details,section-result-description,GLOBAL__gm2-caption,GLOBAL__gm2-caption 2,section-result-header-container,section-result-info,section-result-location
Hotel Le Carmen,4.3,(12),Hotel,,,,,Temporarily closed,
Joyful Island Hostel Cebu City,4.0,(7),2-star hotel,Low-key lodging with dining & Wi-Fi,Free Wi-Fi,,,Temporarily closed,
Adelfa Hotel,4.0,(217),2-star hotel,,Free parking,Free Wi-Fi,,Temporarily closed,
La Gloria Residence Inn,3.3,(64),3-star hotel,Laid-back hostel with a cafeteria,Pool,Free parking,₱765,Temporarily closed,
Murals Hostel & Cafe - 2.5 Star,4.6,(124),Hostel,Simple budget hotel with a chapel,,,"₱1,132",Temporarily closed,
CEBU BUDGETEL - IT PARK CITY CENTER,3.4,(7),2-star hotel,Simple budget hotel with dining,,,₱477,Temporarily closed,
One Central Hotel - 3 Star,4.2,(629),3-star hotel,,Pool,Spa,,Temporarily closed,
Cebu Backpackers' Place,4.7,(7),2-star hotel,,Pool,Free Wi-Fi,₱853,Temporarily closed,
1st Avenue Apartelle,3.5,(104),Inn,,,,,Temporarily closed,
NS Royal Hotel,3.6,(198),2-star hotel,Casual hotel with a cafe & city views,Free parking,Free Wi-Fi,,Temporarily closed,
Express Inn Lapu-Lapu,3.3,(425),3-star hotel,Unassuming budget hotel with a cafe,Free parking,Free Wi-Fi,₱500,Temporarily closed,
Crowne Garden Hotel,3.7,(199),2-star hotel,Unassuming lodging with a restaurant,Free parking,Free Wi-Fi,,Temporarily closed,
Manora Apartments and Guest House,4.1,(67),2-star hotel,Laid-back hotel with free breakfast,Free parking,Free Wi-Fi,,Temporarily closed,
B N T Inn,3.2,(19),2-star hotel,,,,₱849,Temporarily closed,Maximo V. Patalinghug Jr. Avenue
The Teepee Place Hostel & Residence Inn,4.0,(3),Hostel,"Unassuming rooms, plus free breakfast",,,"₱1,530",Temporarily closed,
Guest house nodoka ゲストハウスのどか,4.6,(48),2-star hotel,Humble budget hotel near Cebu IT Park,,,₱938,Temporarily closed,309 A. S. Fortuna St
Hotel Pier Cuatro,3.7,(502),2-star hotel,Low-key budget lodging with free Wi-Fi,,,"₱1,107",Temporarily closed,3rd Ave
Hotel Fortuna,4.0,(144),3-star hotel,Modest hotel with free breakfast & Wi-Fi,,,"₱1,150",Temporarily closed,26 A. Borromeo St
Metro Park Hotel - Cebu City,3.2,(56),2-star hotel,,,,₱724,Temporarily closed,"Saint Lawrence Street, La Guardia St"
Oftana Suites,3.9,(13),3-star hotel,Unassuming budget hotel with a cafe,,,₱587,Temporarily closed,P.Remedio St
Hotel Stella,3.3,(268),3-star hotel,,,,,Temporarily closed,Don Gil Garcia St
Mactan District Budgetel-Lapu-Lapu Cebu,2.6,(8),2-star hotel,Low-key lodging with dining & Wi-Fi,,,"₱1,284",Temporarily closed,5 Mustang Rd
Azia Suites & Residences,4.0,(328),3-star hotel,,,,,Temporarily closed,8 Rahmann Extension
Fuente Oro Business Suites,3.9,(187),3-star hotel,Laid-back hostel with a cafeteria,,,₱765,Temporarily closed,Gov. M. Roa St
Sebastien Hotel - Mactan,4.0,(256),3-star hotel,Simple budget hotel with a chapel,,,"₱1,132",Temporarily closed,"M.L. Quezon Higway, Ibabao - Gisi - Agus Rd"
Holiday Spa Hotel,3.9,(274),3-star hotel,Simple budget hotel with dining,,,₱477,Temporarily closed,Gov. M. Cuenco Ave
Toyoko Inn Cebu,4.0,"(1,680)",3-star hotel,Simple hotel offering free breakfast,,,,Temporarily closed,"Jcentre Mall, 165 A. S. Fortuna St"
Crown Regency Residences Cebu,3.5,(318),3-star hotel,,,,₱853,Temporarily closed,"Guadalupe, V Rama Ave"
OYO 182 Countess Pension House,4.0,(53),2-star hotel,,,,,Temporarily closed,"0, North Road, Liloan"
Felix Residences,4.1,(132),Hotel,Casual hotel with a cafe & city views,,,"₱1,437",Temporarily closed,
Verbena Hotel,4.0,(141),2-star hotel,Unassuming budget hotel with a cafe,,,₱500,Temporarily closed,584 Don Gil Garcia St
Holiday Plaza Hotel,3.6,(216),3-star hotel,Relaxed lodging with low-key dining,,,"₱1,162",Temporarily closed,F. Ramos St
Mezzo Hotel,4.0,(456),4-star hotel,Laid-back hotel with free breakfast,,,"₱1,220",Temporarily closed,"F. Cabahug, Pres. Quezon St"
Travelbee Capitol Inn,3.7,(43),2-star hotel,,,,₱849,Temporarily closed,
Escario Central Hotel,4.2,(184),2-star hotel,"Unassuming rooms, plus free breakfast",Free parking,Free Wi-Fi,"₱1,530",Temporarily closed,
WJV inn Basak Mandaue,4.6,(48),Hotel,Humble budget hotel near Cebu IT Park,,,₱938,Temporarily closed,
Guest House Nodoka,5.0,(3),Hotel,Low-key budget lodging with free Wi-Fi,Pool,Free Wi-Fi,"₱1,107",Temporarily closed,
Andy Hotel,3.8,(467),2-star hotel,Modest hotel with free breakfast & Wi-Fi,Free parking,Free Wi-Fi,"₱1,150",Temporarily closed,
Gratitude Pension House,3.7,(163),Inn,,Free Wi-Fi,,₱724,Temporarily closed,
The Beverly Boutique Business Hotel,4.1,(165),3-star hotel,Unassuming budget hotel with a cafe,Free parking,Free Wi-Fi,₱587,Temporarily closed,
Balai Flordeliza Guest House,3.3,(268),Lodging,,,,,Temporarily closed,
Leope Hotel,4.0,(329),3-star hotel,Low-key lodging with dining & Wi-Fi,Free parking,Free Wi-Fi,"₱1,284",Temporarily closed,
Cityscape Hotel Cebu and Mandaue (Official),3.6,(220),3-star hotel,,Pool,Free parking,,Temporarily closed,
Hamersons Hotel - Best Affordable Hotel Near Fuente Osmeña Circle,4.0,(233),3-star hotel,Laid-back hostel with a cafeteria,Free parking,Free Wi-Fi,₱765,Temporarily closed,
Honeybee Royal Inn,3.8,(11),2-star hotel,Simple budget hotel with a chapel,Free Wi-Fi,Free breakfast,"₱1,132",Temporarily closed,
The Orchard Cebu,3.4,(178),3-star hotel,Simple budget hotel with dining,Spa,Free parking,₱477,Temporarily closed,
ZEN Rooms Zapatera,5.0,(2),2-star hotel,Simple hotel offering free breakfast,,,,Temporarily closed,
Southpole Central Hotel,3.8,(194),3-star hotel,,Spa,Free parking,₱853,Temporarily closed,
VIVIEN'S HOTEL,4.4,(75),Hotel,,Free parking,Free Wi-Fi,,Temporarily closed,
Rublin Hotel Cebu,3.8,(93),Hotel,Casual hotel with a cafe & city views,Free parking,Free Wi-Fi,"₱1,437",Temporarily closed,
Cebuview Tourist Inn,3.8,(124),2-star hotel,Unassuming budget hotel with a cafe,Pool,Free Wi-Fi,₱500,Temporarily closed,
Amaris Bed & Breakfast,4.4,(203),3-star hotel,Relaxed lodging with low-key dining,Free Wi-Fi,Free breakfast,"₱1,162",Temporarily closed,
Amethyst Boutique Hotel Cebu,4.6,(69),3-star hotel,Casual hotel with dining & event space,Free parking,Free Wi-Fi,,Temporarily closed,
Allure Hotel & Suites,3.9,(295),3-star hotel,,,,₱849,Temporarily closed,
Mactan Backpackers Inn,4.1,(24),2-star hotel,"Unassuming rooms, plus free breakfast",,,"₱1,530",Temporarily closed,"Tiangue Rd Babag-Looc Road,"
ACE Penzionne,3.7,(115),3-star hotel,Humble budget hotel near Cebu IT Park,,,₱938,Temporarily closed,"Behik Building, 2483 M.L. Quezon National Highway"
Uncle Tom's Cabin Hotel,4.2,(484),3-star hotel,Low-key budget lodging with free Wi-Fi,,,"₱1,107",Temporarily closed,M. P. Yap St
RedDoorz Plus near Mango Avenue Cebu,3.9,(16),Hotel,Modest hotel with free breakfast & Wi-Fi,,,"₱1,150",Temporarily closed,Juana Osmeña St
Paragon Suites,3.8,(95),3-star hotel,,,,₱724,Temporarily closed,91 Juana Osmeña St
Diamond Suites and Residences,3.7,(440),3-star hotel,Unassuming budget hotel with a cafe,,,₱587,Temporarily closed,8 Apitong St
The Maxwell Hotel,3.8,(310),3-star hotel,,,,,Temporarily closed,N Escario St
New Era Mandaue Budget Hotel,3.8,(213),2-star hotel,Low-key lodging with dining & Wi-Fi,,,"₱1,284",Temporarily closed,"J.L. Briones St. (known as Plaridel St.), Purok Mangga, Cambaro"
Archer's Field Inn,3.5,(48),Inn,,,,,Temporarily closed,Kulo
Palm Grass The Cebu Heritage Hotel,4.1,(379),3-star hotel,Down-to-earth lodging with a rooftop bar,,,₱765,Temporarily closed,"Barangay Kalubihan 68 General, Junquera St"
Eloisa Royal Suites,4.0,(530),3-star hotel,Simple budget hotel with a chapel,,,"₱1,132",Temporarily closed,Maximo V. Patalinghug Jr. Avenue
Harolds,4.6,(9),4-star hotel,Simple budget hotel with dining,,,₱477,Temporarily closed,Gonordo Ave
Coconut Pension House,3.9,(164),3-star hotel,Simple hotel offering free breakfast,,,,Temporarily closed,"Bagumbayan Uno, Maribago"
Alicia Apartelle,4.2,(377),3-star hotel,,,,₱853,Temporarily closed,Gov. M. Cuenco Ave
JRM (Mariner's)Travellers Inn,4.4,(75),Inn,,,,,Temporarily closed,"Barangay Suba, Samboan"
WJV inn Consolacion,4.0,(2),Hotel,Casual hotel with a cafe & city views,,,"₱1,437",Temporarily closed,back of city mall
OYO 569 Alt Complex,3.8,(124),Hotel,Unassuming budget hotel with a cafe,,,₱500,Temporarily closed,Kinalumsan street Gun-ob Lapu-lapu city
Frankfurter Deluxe Inn,4.3,(85),2-star hotel,Relaxed lodging with low-key dining,,,"₱1,162",Temporarily closed,Imus Ave
Pillows Hotel,4.0,(385),3-star hotel,Laid-back lodging with a cafe & a gym,,,"₱1,520",Temporarily closed,"6000, 208 Gov. M. Roa St"
Wellcome Hotel,3.9,(585),3-star hotel,,,,₱849,Temporarily closed,18 Molave St
Alfheim resort,3.9,(66),3-star hotel,"Unassuming rooms, plus free breakfast",,,"₱1,530",Temporarily closed,
Lapu-Lapu Cottages & Restaurant,4.2,(125),,Humble budget hotel near Cebu IT Park,,,₱938,Temporarily closed,
Asia Light Hotel,4.0,(67),3-star hotel,Low-key budget lodging with free Wi-Fi,,,"₱1,107",Temporarily closed,79 Don Gil Garcia St
Apartelle De Arcenas,4.0,(16),2-star hotel,Modest hotel with free breakfast & Wi-Fi,,,"₱1,150",Temporarily closed,Coast Pacific Rd
MJ Hotel & Suites,4.0,(199),3-star hotel,,,,₱724,Temporarily closed,80 Apitong St
M Citi Suites,3.9,(169),3-star hotel,Unassuming budget hotel with a cafe,,,₱587,Temporarily closed,J. Llorente St
RedDoorz Plus near Cebu Capitol,3.9,(46),3-star hotel,,,,,Temporarily closed,N Escario St
V&F Travelers Inn,4.3,(3),Inn,Low-key lodging with dining & Wi-Fi,,,"₱1,284",Temporarily closed,Purok Gumamela 1 Corner St. Joseph Parish Church
Jo-Cris Apartelle,3.7,(11),2-star hotel,,,,,Temporarily closed,"Kainsong Street, Barangay Basak, Lapu-Lapu City, Cebu"
Alto Pension House,3.5,(2),Hotel,Down-to-earth lodging with a rooftop bar,,,₱765,Temporarily closed,Dionisio Jakosalem St
S Hotel & Residence,4.2,(274),3-star hotel,Simple budget hotel with a chapel,,,"₱1,132",Temporarily closed,827 M. Velez St
Castle Peak Hotel,4.0,"(1,073)",3-star hotel,Simple budget hotel with dining,,,₱477,Temporarily closed,F. Cabahug St
Crown Regency Hotel & Towers,3.8,"(2,187)",4-star hotel,Simple hotel offering free breakfast,,,,Temporarily closed,Osmeña Blvd
Allsons Inn,2.9,(7),3-star hotel,Unpretentious hotel with a rooftop deck,,,₱853,Temporarily closed,
Flory's Inn Cebu,5.0,(1),,,,,,Temporarily closed,"Nara Street, Tayud Liloan, Cebu"
Goldberry Suites and Hotel,4.0,(466),3-star hotel,Casual hotel with a cafe & city views,,,"₱1,437",Temporarily closed,M.L. Quezon National Highway
Eastland Hotel and Residences,4.2,(39),3-star hotel,Unassuming budget hotel with a cafe,,,₱500,Temporarily closed,#43 Pres. Roxas St
Travel Bee Inn,4.2,(9),2-star hotel,Relaxed lodging with low-key dining,,,"₱1,162",Temporarily closed,297 Don Gil Garcia St
San's Inn Mactan - 3 Star,3.5,(101),2-star hotel,Laid-back lodging with a cafe & a gym,,,"₱1,520",Temporarily closed,Sitio Kauswagan
St. Mark Hotel,4.1,(339),3-star hotel,,,,₱849,Temporarily closed,"Queens Road, Redemptorist Plaza"
WJV Inn Humay Humay,1.8,(6),Hotel,"Unassuming rooms, plus free breakfast",,,"₱1,530",Temporarily closed,Humay-Humay Rd
Cebu Hotel Plus,4.3,(189),3-star hotel,Humble budget hotel near Cebu IT Park,,,₱938,Temporarily closed,0332 Don Mariano Cui St
Zen Life Guest House,5.0,(13),Hotel,Low-key budget lodging with free Wi-Fi,,,"₱1,107",Temporarily closed,F. Gochan St
Rajah Park Hotel's,3.8,(445),3-star hotel,Modest hotel with free breakfast & Wi-Fi,,,"₱1,150",Temporarily closed,"Benigno DU Building, Fuente Osmeña Cir"
Dohera Hotel,4.0,(541),3-star hotel,,,,₱724,Temporarily closed,A.C Cortes Street
Bayfront Hotel Cebu,4.1,"(2,277)",3-star hotel,Casual lodging with dining & water views,,,₱587,Temporarily closed,Kaohsiung St
The Golden Peak Hotel & Suites,3.9,(347),3-star hotel,,,,,Temporarily closed,"corner Philippines, Gorordo Ave"
Travelbee Business Inn,3.9,(219),2-star hotel,Low-key lodging with dining & Wi-Fi,,,"₱1,284",Temporarily closed,D. Jakosalem Street
Matilde's House - Mactan Cebu Transient House,4.4,(5),2-star hotel,,,,,Temporarily closed,BF Townhomes Abuno
ABC Hotel Cebu,4.2,(505),3-star hotel,Down-to-earth lodging with a rooftop bar,,,₱765,Temporarily closed,107 F. Ramos St
Dulcinea Hotel and Suites Cebu,4.0,(195),3-star hotel,Casual hotel with a free airport shuttle,,,"₱1,132",Temporarily closed,404 M.L. Quezon National Highway
In & Go Hotel,3.7,(20),Hotel,Simple budget hotel with dining,,,₱477,Temporarily closed,"E Sabellano, Corner Granada Streets"
Lord’s Inn,3.8,"(2,187)",Inn,Simple hotel offering free breakfast,,,,Temporarily closed,70 F. Gochan St
Travelbee Fuente Inn,4.0,(42),3-star hotel,Unpretentious hotel with a rooftop deck,,,₱853,Temporarily closed,J. Llorente St
Cebu Grand Hotel,3.7,(286),3-star hotel,,,,,Temporarily closed,64 N Escario St
Cuarto Hotel Cebu,4.5,(300),3-star hotel,Casual hotel with a cafe & city views,,,"₱1,437",Temporarily closed,"DJ Llorente and DG, Corner, Don Gil Garcia St"
Aquamarine Studio,5.0,(1),Inn,Unassuming budget hotel with a cafe,,,₱500,Temporarily closed,3/F UNIT 160 BUILDING 2 CLUSTER J/A1 DR P U ABELLA ST
Vacation Hotel Cebu,3.9,(97),3-star hotel,Relaxed lodging with low-key dining,,,"₱1,162",Temporarily closed,35 Juana Osmeña St
Cebu Westown Lagoon,4.2,"(1,225)",3-star hotel,Laid-back lodging with a cafe & a gym,,,"₱1,520",Temporarily closed,mo2 entertainment complex
Waterfront Airport Hotel & Casino Mactan,4.0,"(1,433)",4-star hotel,High-end airport hotel with a casino,,,₱849,Temporarily closed,1 Mactan Airport Rd
Mövenpick Hotel Mactan Island Cebu,4.5,"(3,390)",5-star hotel,Sleek hotel with a private beach & spa,,,"₱1,530",Temporarily closed,Mactan Island
Tropical Hostel Cebu,3.4,(50),1-star hotel,Humble budget hotel near Cebu IT Park,,,₱938,Temporarily closed,"JY Crown Palace, 2nd floor, Apas, Edison St"
Seda Ayala Center Cebu,4.3,"(1,273)",4-star hotel,Low-key budget lodging with free Wi-Fi,,,"₱1,107",Temporarily closed,"PH, Cardinal Rosales Ave"
Crown Regency Suites & Residences,3.7,(459),4-star hotel,Modest hotel with free breakfast & Wi-Fi,,,"₱1,150",Temporarily closed,Maximo V. Patalinghug Jr. Avenue
Summit Galleria Cebu,4.3,(554),3-star hotel,Trendy lodging with a pool & dining,,,₱724,Temporarily closed,General Maxilom Ave Ext
Mandarin Plaza Hotel,4.0,"(1,406)",3-star hotel,Casual lodging with dining & water views,,,₱587,Temporarily closed,Archbishop Reyes Ave
B n T Inn,5.0,(1),2-star hotel,,,,,Temporarily closed,"Barangay Basak, Mactan Island"
Olango Bonita Inn,3.8,(11),Hotel,Low-key lodging with dining & Wi-Fi,,,"₱1,284",Temporarily closed,Suba
Cebu Parklane International Hotel,4.2,"(1,739)",4-star hotel,,,,,Temporarily closed,N Escario St
Sarrosa International Hotel & Residential Suites,3.9,(556),3-star hotel,Down-to-earth lodging with a rooftop bar,,,₱765,Temporarily closed,"Ayala access road (axis), Kasambagan, F. Cabahug St"
Harolds Hotel Cebu,4.4,"(1,193)",4-star hotel,Casual hotel with a free airport shuttle,,,"₱1,132",Temporarily closed,C. Rosal St
The Henry Hotel Cebu,4.3,(444),4-star hotel,Simple budget hotel with dining,,,₱477,Temporarily closed,"One Paseo Compound, Ma, Paseo Saturnino"
Quest Hotel and Conference Center - Cebu,4.3,"(2,817)",3-star hotel,Informal lodging with dining & a pool,,,,Temporarily closed,Archbishop Reyes Ave
Radisson Blu Cebu,4.5,"(2,918)",5-star hotel,High-end pick with a lavish outdoor pool,,,₱853,Temporarily closed,"Serging Osmena Boulevard, Corner Juan Luna Avenue"
Nanaymo Hostel & Specialty Coffee,4.9,(24),Cafe,,,,,Temporarily closed,8 - 2 Julio Diaz St
Carcar Travellers Inn,3.8,(34),Hotel,Casual hotel with a cafe & city views,,,"₱1,437",Temporarily closed,"Valladolid, Cebu S Rd"
Red Planet Cebu,4.0,"(1,055)",2-star hotel,Unassuming budget hotel with a cafe,,,₱500,Temporarily closed,36 Archbishop Reyes Ave
Bert's Condotel,4.1,(15),3-star hotel,Relaxed lodging with low-key dining,,,"₱1,162",Temporarily closed,M. C. Briones St
Waterfront Hotel & Casino Cebu City,4.3,"(4,434)",4-star hotel,Grand hotel with a casino & 24/7 dining,,,"₱1,520",Temporarily closed,Salinas Dr
Marco Polo Plaza Cebu,4.5,"(2,615)",3-star hotel,Low-key hotel with dining & pools,,,₱849,Temporarily closed,"Nivel Hills, Cebu Veterans Dr"
The Bellavista Hotel,3.7,(340),3-star hotel,Sleek hotel with a private beach & spa,,,"₱1,530",Temporarily closed,
Summit Circle Cebu,3.9,(323),3-star hotel,Humble budget hotel near Cebu IT Park,,,₱938,Temporarily closed,Fuente Osmeña Cir
Cebu Fiesta,3.8,(50),2-star hotel,Low-key budget lodging with free Wi-Fi,,,"₱1,107",Temporarily closed,"Cebu Fiesta 127 A. Bonifacio St, Cor Dionisio Jakosalem St"
Hotel Elizabeth Cebu,4.1,(777),4-star hotel,Modest hotel with free breakfast & Wi-Fi,,,"₱1,150",Temporarily closed,Archbishop Reyes Ave