section-result-title,section-result-details,section-result-location,section-result-info,cards-rating-score,section-result-num-ratings,section-result-action href,section-result-action-icon src 2,section-result-action-text 2,section-result-info 2
Med Central Pharmacy,Pharmacy,"General Maxilom Avenue, corner General Echavez Street, Zapatera",(032) 232 6328,,,,,,
Queen's Pharmacy,Pharmacy,A. Borromeo St Cor Colon St,(032) 253 1073,4.3,(6),,,,
Zarri Pharmacy & General Merchandise,Pharmacy,"39, N. Escario Street, Kamputhaw",(032) 231 2472,4.5,(2),,,,
Watson's Pharmacy,Pharmacy,"Savemore Market, Looc",(032) 253 8595,2.7,(3),http://www.pharmacytimes.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Well-Care Pharmacy,Pharmacy,"242, Gorordo Avenue, Camputhaw",(032) 233 6153,1.0,(1),,,,
Rose Pharmacy,Pharmacy,"Avila Bldg, Colon St",(032) 255 6505,3.1,(9),http://www.rosepharmacy.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 9:00 pm
Retts Pharmacy and General Merchandise,Pharmacy,440 P. Burgos St,(032) 344 2591,,,,,,
Pharmacy,Pharmacy,"La Nueva Building, M. C. Briones St",(032) 255 8360,,,,,,
Rose Pharmacy,Pharmacy,"Fooda Saversmart, F. Cabahug, Kasambagan",(032) 260 7310,1.0,(2),http://www.rosepharmacy.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 9:00 pm
Pharmacy,Pharmacy,"SPC Medical Spc. Ty Center PSH, Gonzales Compound, Gorordo Ave",(032) 233 8620,3.6,(7),,,,
Bing Pharmacy,Pharmacy,273 A. del Rosario,(032) 422 8251,4.5,(2),,,,Open until 10:30 pm
Pills and More Pharmacy,Pharmacy,311 General Maxilom Ave,,4.5,(6),,,,Open until 7:30 pm
Evercare Pharmacy,Pharmacy,Colon St,(032) 253 4880,5.0,(1),,,,Open until 7:00 pm
Rose Pharmacy,Pharmacy,"Visagas Community Medical Center Mixed-Use Bldg, Osmeña Blvd",(032) 230 5021,2.1,(7),http://www.rosepharmacy.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Sleepless Pharmacy,Pharmacy,"Gaisano Country Mall, Camp Lapulapu Road",(032) 254 6391,,,,,,
Rose Pharmacy,Pharmacy,"Salvador ext.,Labangon",(032) 260 1421,4.0,(1),http://www.rosepharmacy.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 11:00 pm
Threesixty Pharmacy,Pharmacy,"Corner Escario and, F. Ramos Ext",(032) 520 9060,4.3,(3),,,,Open until 11:00 pm
The Generics Pharmacy,Pharmacy,Soong 2,0933 568 4709,,,,,,
Rose Pharmacy,Pharmacy,"Cebu Corporate Accts., Highway Guizo, Mandaue City, Cebu",(032) 343 3622,4.4,(8),http://www.rosepharmacy.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Majesty Pharmacy,Pharmacy,Magallanes St,(032) 256 0877,5.0,(5),https://www.majestypharma.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 6:00 pm
Med Central Pharmacy,Pharmacy,"General Maxilom Avenue, corner General Echavez Street, Zapatera",(032) 232 6328,,,,,,
Queen's Pharmacy,Pharmacy,A. Borromeo St Cor Colon St,(032) 253 1073,4.3,(6),,,,
Zarri Pharmacy & General Merchandise,Pharmacy,"39, N. Escario Street, Kamputhaw",(032) 231 2472,4.5,(2),,,,
Watson's Pharmacy,Pharmacy,"Savemore Market, Looc",(032) 253 8595,2.7,(3),http://www.pharmacytimes.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Well-Care Pharmacy,Pharmacy,"242, Gorordo Avenue, Camputhaw",(032) 233 6153,1.0,(1),,,,
Rose Pharmacy,Pharmacy,"Avila Bldg, Colon St",(032) 255 6505,3.1,(9),http://www.rosepharmacy.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 9:00 pm
Retts Pharmacy and General Merchandise,Pharmacy,440 P. Burgos St,(032) 344 2591,,,,,,
Pharmacy,Pharmacy,"La Nueva Building, M. C. Briones St",(032) 255 8360,,,,,,
Rose Pharmacy,Pharmacy,"Fooda Saversmart, F. Cabahug, Kasambagan",(032) 260 7310,1.0,(2),http://www.rosepharmacy.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 9:00 pm
Pharmacy,Pharmacy,"SPC Medical Spc. Ty Center PSH, Gonzales Compound, Gorordo Ave",(032) 233 8620,3.6,(7),,,,
Bing Pharmacy,Pharmacy,273 A. del Rosario,(032) 422 8251,4.5,(2),,,,Open until 10:30 pm
Pills and More Pharmacy,Pharmacy,311 General Maxilom Ave,,4.5,(6),,,,Open until 7:30 pm
Evercare Pharmacy,Pharmacy,Colon St,(032) 253 4880,5.0,(1),,,,Open until 7:00 pm
Rose Pharmacy,Pharmacy,"Visagas Community Medical Center Mixed-Use Bldg, Osmeña Blvd",(032) 230 5021,2.1,(7),http://www.rosepharmacy.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Sleepless Pharmacy,Pharmacy,"Gaisano Country Mall, Camp Lapulapu Road",(032) 254 6391,,,,,,
Rose Pharmacy,Pharmacy,"Salvador ext.,Labangon",(032) 260 1421,4.0,(1),http://www.rosepharmacy.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 11:00 pm
Threesixty Pharmacy,Pharmacy,"Corner Escario and, F. Ramos Ext",(032) 520 9060,4.3,(3),,,,Open until 11:00 pm
The Generics Pharmacy,Pharmacy,Soong 2,0933 568 4709,,,,,,
Rose Pharmacy,Pharmacy,"Cebu Corporate Accts., Highway Guizo, Mandaue City, Cebu",(032) 343 3622,4.4,(8),http://www.rosepharmacy.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Majesty Pharmacy,Pharmacy,Magallanes St,(032) 256 0877,5.0,(5),https://www.majestypharma.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 6:00 pm
Three Sixty Pharmacy,Pharmacy,53 J. Urgello St,(032) 236 9122,3.5,(2),https://www.facebook.com/threesixtypharmacy/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 10:00 pm
new Libres Pharmacy,Pharmacy,"B. Rodriguez St (fronting VSMMC), Capitol Site",(032) 253 5363,5.0,(1),,,,
4k Pharmacy,Pharmacy,Rizal Ave Ext.,(032) 520 7398,5.0,(1),,,,Open until 9:00 pm
Rose Pharmacy,Pharmacy,"M. Diaz Bldg, Osmeña Blvd",(032) 238 7673,5.0,(1),http://www.rosepharmacy.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Diamond Pharmacy,Pharmacy,Gov. M. Cuenco Ave,0926 684 2075,1.0,(1),,,,
A.L.V. Pharmacy and General Merchandise,Pharmacy,"183, M. Velez Street, Guadalupe",(032) 262 7621,4.4,(5),,,,Open until 11:00 pm
Rose Pharmacy,Pharmacy,"Cor. De La Cerna-Osmeña St., Lapu-Lapu City, Cebu",(032) 340 5725,4.0,(2),http://www.rosepharmacy.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 10:00 pm
Rose Pharmacy,Pharmacy,"Talisay City Cebu Unit A105-a108, Ground floor bldg A, Maghaway Road",(032) 230 5050,3.0,(2),http://www.rosepharmacy.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 11:00 pm
Purchaser's Pharmacy,Pharmacy,"G.O.D Arcade, S. Osmeña Street",(032) 260 2232,1.0,(2),,,,Open until 9:00 pm
Rose Pharmacy,Pharmacy,"GF , Mactan Marina Mall, Airport Road , 6015 Lapu-Lapu City , Cebu",(032) 342 8439,3.7,(3),http://www.rosepharmacy.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 12:00 am
Rose Pharmacy,Pharmacy,"Ward I, Poblacion, Minglanilla, Cebu",(032) 272 6800,2.0,(2),http://www.rosepharmacy.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 10:00 pm
Purchaser's Pharmacy,Pharmacy,53 AS Tabura St,(032) 272 0719,2.8,(6),,,,Open until 9:00 pm
Golden Care Pharmacy,Pharmacy,P. Cabantan,(032) 419 1499,5.0,(1),,,,Open until 6:00 pm
Bestway Pharmacy,Pharmacy,Hernan Cortes St,(032) 345 0138,3.5,(2),,,,Open until 10:00 pm
JEG Pharmacy,Pharmacy,69 Francisco Llamas St,(032) 340 1324,5.0,(2),,,,
Rose Pharmacy,Pharmacy,"Bridges Town Square, Plaridel St",(032) 268 7665,3.3,(3),http://www.rosepharmacy.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 10:00 pm
The Generics Pharmacy,Pharmacy,"National Highway, Basak",(032) 421 1569,3.7,(3),,,,Open until 11:00 pm
Wallgreens Pharmacy,Pharmacy,Kinalumsan Road,(032) 239 1118,5.0,(1),,,,Open until 10:00 pm
Completesolution Pharmacy and General Merchandise,Pharmacy,174 Gov. M. Roa St,(032) 253 1188,4.4,(8),http://www.completesolutionpharmacy.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,
Kat Pharmacy,Pharmacy,2939 V.H.Garces,(032) 256 0877,4.0,(1),,,,Open until 6:00 pm
New Sacred Heart Pharmacy,Pharmacy,19 B. Rodriguez St,(032) 253 5357,1.7,(3),,,,Open until 10:00 pm
I-Ben's Pharmacy,Pharmacy,"back of robinson's cybergate, Don Gil Garcia St",(032) 255 6890,4.5,(2),https://i-bens-pharmacy.business.site/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 10:30 pm
TGP The Generics Pharmacy,Pharmacy,"CROSSING MARIGONDON, LAPU-LAPU CITY, CEBU",(032) 520 7398,5.0,(1),http://www.tgp.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 9:00 pm
Rose Pharmacy,Pharmacy,"Gaisano Annex Building, Basement, M L 6015,, M.L. Quezon National Highway",(032) 341 0955,5.0,(2),http://www.rosepharmacy.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 9:00 pm
Rose Pharmacy,Pharmacy,"Prince Warehouse Club, A. C. Cortes Ave",(032) 345 0156,3.0,(1),http://www.rosepharmacy.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 10:00 pm
Worldwide Pharmacy,Pharmacy,"Worldwide Building, Magallanes St",(032) 254 7217,1.0,(1),,,,Open until 11:00 pm
Rose Pharmacy,Homeopathic pharmacy,,(032) 340 5725,2.8,(5),https://www.rosepharmacy.com/store-finder/rose-pharmacy-cebu-a-it-park/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 10:00 pm
Pharmacy Alen,Pharmacy,3 OPRRA Unit One [one way],(032) 230 5050,3.0,(2),,,,Open until 11:00 pm
The Generics Pharmacy,Pharmacy,Hernan Cortes St,(032) 236 1271,1.0,(2),,,,Open until 8:00 pm
Rose Pharmacy,Pharmacy,"One Pavillion Mall, 19-20 GF One Pavillion Mall, Duterte St. Guadalupe",(032) 236 9477,4.0,(2),http://www.rosepharmacy.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 9:00 pm
Rose Pharmacy,Pharmacy,"Ground Floor, Gaisano Capital Casuntingan, M. L.Quezon Avenue, Casuntingan",0920 949 1792,1.0,(1),http://www.rosepharmacy.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 9:00 pm
KLY Pharmacy,Pharmacy,Veterans Drive Cor. Salinas Drive Ext.,(032) 417 0017,2.8,(6),https://www.facebook.com/pages/KLY-Pharmacy/752364678185111,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 9:00 pm
Rhealife Pharmacy,Pharmacy,70c Tabada St,(032) 418 9997,5.0,(1),,,,Open until 6:00 pm
July Pharmacy,Pharmacy,Tupas St,(032) 261 2194,3.5,(2),,,,Open until 10:00 pm
July Pharmacy,Pharmacy,G.Y Dela Serna Street,(032) 268 6992,5.0,(2),,,,
Rose Pharmacy - Banilad Town Center,Pharmacy,"Banilad Town Center, Banilad, Cebu City, 6000, Cebu",(032) 344 3755,3.3,(3),http://www.rosepharmacy.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 10:00 pm
Pharmacy,Pharmacy,"Insular Square, North Road",(032) 520 7565,3.7,(3),,,,Open until 11:00 pm
Threesixty Pharmacy,Pharmacy,M. J. Cuenco Ave,(032) 239 1118,2.0,(2),http://threesixtypharmacy.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 10:00 pm
Rose Pharmacy- Parkmall,Pharmacy,"G/F Alfresco 4 Parkmall, Mantawi Road Brgy. Tipolo Mandaue Reclamation",(032) 255 3019,4.4,(8),https://www.rosepharmacy.com/store-finder/parkmall-1/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 10:00 pm
ENS Pharmacy,Pharmacy,,(032) 256 0877,4.0,(1),,,,Closing soon: 5:00 pm
Workers' Pharmacy,Pharmacy,B. Benedicto St,(032) 253 5357,1.7,(3),,,,Open until 10:00 pm
Rye Pharmacy and General Merchandise,Pharmacy,823 V Rama Ave,(032) 254 7165,4.5,(2),,,,Open until 10:30 pm
Mercury Drug,Pharmacy,"Gilig Bldg, Washington Rd",(032) 268 3598,3.0,(3),http://www.mercurydrug.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 9:00 pm
Rose Pharmacy,Pharmacy,"Plaza Margarita, Sandayong",(032) 239 1811,3.3,(3),http://www.rosepharmacy.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 10:00 pm
Mild Pharmacy and General Merchandise,Pharmacy,85 C. Padilla Street,(032) 417 8183,3.0,(1),,,,Open until 10:00 pm
Metro Pharmacy,Pharmacy,,(032) 416 8793,3.0,(1),,,,Open until 8:00 pm
Rose Pharmacy,Pharmacy,"VNU Building, Cebu N Rd",(032) 268 8602,5.0,(2),http://www.rosepharmacy.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 10:00 pm
Bing Pharmacy,Pharmacy,V Rama Ave,(032) 422 8251,3.3,(4),https://www.facebook.com/Bing-Pharmacy-Mandaue-Branch-165022546905725/info/?tab=page_info,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 11:00 pm
Midland Pharmacy,Pharmacy,15 B. Rodriguez St,(032) 253 5367,1.0,(2),,,,Open until 11:00 pm
Evercare Pharmacy,Pharmacy,"M. L. Quezon Street, Mandaue City",(032) 344 3782,3.0,(2),,,,Open until 9:00 pm
ThreeSixty Pharmacy,Pharmacy,V Rama Ave,(032) 255 9831,5.0,(1),http://www.facebook.com/threesixtypharmacy,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 10:00 pm
K2 Pharmacy,Pharmacy,"Mactan Cebu International Airport Terminal, 2",(032) 417 0017,4.0,(1),https://www.k2pharmacy.com/about-us,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 9:00 pm
Purchaser's Pharmacy,Pharmacy,Dacalos St,(032) 418 9997,4.0,(1),,,,Open until 6:00 pm
Seaside Pharmacy,Pharmacy,Blk 18 Lot 63 Deca Homes Phase 1 Talisay,(032) 517 4097,4.0,(1),,,,Open until 10:00 pm
Universe Pharmacy,Pharmacy,366 Magallanes St,(032) 253 0146,4.4,(5),,,,Open until 6:00 pm
Rose Pharmacy- Mandaue Centro,Pharmacy,"Mandaue Public Market, Zamora St., Mandaue City, Cebu",(032) 345 0330,3.3,(3),http://www.rosepharmacy.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 9:00 pm
July Pharmacy,Pharmacy,Cabreros St,(032) 239 4628,3.7,(3),,,,Open until 11:00 pm
Rose Pharmacy,Pharmacy,"Southgate Plaza M.V., Maximo V. Patalinghug Jr. Avenue",(032) 340 6844,5.0,(1),http://www.rosepharmacy.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 10:00 pm
Premiere Pharmacy,Pharmacy,,(032) 255 3019,4.4,(8),,,,Open until 10:00 pm
ThreeSixty Pharmacy,Pharmacy,General Maxilom Ave,0905 370 4724,4.5,(2),http://www.threesixtypharmacy.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Closing soon: 5:00 pm
La Nueva Pharmacy,Pharmacy,,(032) 256 2898,5.0,(1),https://www.facebook.com/lanuevapharmacy/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 8:00 pm
Bing Pharmacy,Pharmacy,H. Abellana St,(032) 422 8251,4.0,(1),,,,Open until 10:30 pm
Southstar Drug,Pharmacy,General Maxilom Ave Ext,(032) 261 4031,3.0,(3),http://www.southstardrug.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 9:00 pm
Hygieia Pharmacy,Pharmacy,Door 3 CT Bldg,(032) 512 8658,3.3,(3),https://www.facebook.com/ArcibalMedicalClinic/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 9:00 pm
Rose Pharmacy,Pharmacy,"G/F Gaisano Grand Mall, Sisi-, Ibabao - Gisi - Agus Rd",(032) 505 3247,5.0,(1),http://www.rosepharmacy.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 9:00 pm
Rose Pharmacy- SM City Cebu,Pharmacy,"SM City Cebu, Unit 159, Upper GF, SM City, 8th St., Reclamation Area",(032) 232 0608,5.0,(2),http://www.rosepharmacy.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 9:00 pm
La Nueva Pharmacy,Pharmacy,Colon St,(032) 412 2108,3.0,(1),,,,Open until 8:00 pm
CHG Pharmacy,Pharmacy,62 Magallanes St,(032) 256 1100,5.0,(1),,,,Open until 7:00 pm
M Lhuillier Pharmacy,Pharmacy,Katipunan Corner Salvador St,(032) 231 2747,2.0,(1),,,,Open until 11:00 pm
The Generics Pharmacy,Pharmacy,"North Road, Fatima",0923 969 8380,3.0,(2),,,,Open until 9:00 pm
R-Mart Pharmacy,Pharmacy,70 F. Gonzales St,(032) 256 2898,5.0,(1),,,,Open until 10:00 pm
Eckerds Pharmacy,Pharmacy,Basak-Marigondon Rd,(032) 417 0017,4.0,(1),,,,Open until 9:00 pm
Cebu Worldwide Pharmacy,Pharmacy,195 Magallanes St,(032) 254 7217,4.0,(1),,,,Open until 6:00 pm
TGP The Generics Pharmacy,Pharmacy,"76 NASIPIT, TALAMBAN, CEBU CITY, CEBU",(032) 517 4097,4.0,(1),http://www.tgp.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 9:00 pm
The Generics Pharmacy,Pharmacy,P. Lopez Street,0927 702 2151,4.4,(5),https://tgp.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 8:00 pm
Rose Pharmacy,Pharmacy,"Insular Square, North Road",(032) 238 4647,2.5,(2),http://www.rosepharmacy.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 9:00 pm
Rose Pharmacy,Pharmacy,"APM North, F. Cabahug St",(032) 260 7310,5.0,(1),http://www.rosepharmacy.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 11:00 pm
Rose Pharmacy,Pharmacy,"J Center Mall #165 Brgy. Makilid, A. S. Fortuna St",(032) 520 3608,5.0,(1),http://www.rosepharmacy.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 9:00 pm
Threesixty Pharmacy,Pharmacy,100 Kamuning St,(032) 255 3019,4.4,(8),https://www.facebook.com/threesixtypharmacy/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 10:00 pm
The Realmed Pharmacy,Pharmacy,"Zone Orra, Jayme St",0905 370 4724,4.5,(2),https://www.facebook.com/realmedpharmacyofficial,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Closing soon: 5:00 pm
SOUTHSTAR DRUG,Pharmacy,"G/F UNIT 32 ISLAND CENTRAL MALL, MEZ 1",(032) 266 0638,5.0,(1),http://www.southstardrug.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 10:00 pm
Dexthan Pharmacy,Pharmacy,P.Sanchez,(032) 422 8251,4.0,(1),,,,Open until 10:30 pm
Rose Pharmarcy,Pharmacy,"GF, Robinsons Cybergate Cebu, Don Gil Garcia Corner J Llorente Street",(032) 505 5921,4.0,(1),http://www.rosepharmacy.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 9:00 pm
Martha's Pharmacy,Pharmacy,990 J. Panis Street,(032) 512 8658,3.3,(3),,,,Open until 9:00 pm
Healthy Way Pharmacy,Pharmacy,Paknaan St,(032) 420 4700,5.0,(1),,,,Open until 9:00 pm
Liway's Pharmacy,Pharmacy,"682 Engles, V Rama Ave",(032) 232 0608,5.0,(2),,,,Open until 9:00 pm
Ct Shann Pharmacy & General Merchandise,Pharmacy,"Carvajal Building, 245 Francisco Llamas St",(032) 412 2108,3.0,(1),,,,Open until 8:00 pm
AEI Pharmacy & General Merchandise,Pharmacy,Basak,(032) 255 6735,5.0,(1),,,,Open until 7:00 pm
Pharmacy,Pharmacy,"Marina Mall, Mactan",(032) 341 4312,2.0,(1),,,,Open until 11:00 pm
Generic Pharmacy,Pharmacy,Tabada St,0923 969 8380,3.0,(2),,,,Open until 9:00 pm
CHG Pharmacy & General Merchandising,Pharmacy,62 Magallanes St,(032) 256 1109,5.0,(1),,,,Open until 8:00 pm
HinRx Pharmacy,Pharmacy,Cebu S Rd,(032) 417 0017,4.0,(1),,,,Closing soon: 5:00 pm
Watsons SM Hypermarket Cebu,Pharmacy,"SM Hypermarket, M. Logarta Ave",(032) 238 9181,4.0,(1),http://www.watsons.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 9:00 pm
Jobee Pharmacy and Grocery,Pharmacy,,(032) 517 4097,4.0,(1),,,,Open until 8:00 pm
Extra Value Drugmart,Pharmacy,Cebu N Rd,(032) 422 1487,4.4,(5),,,,Open until 8:00 pm
The Generics Pharmacy,Pharmacy,"Crossing Marigondon, Basak-Marigondon Rd",(032) 511 8781,2.5,(2),,,,Open until 9:00 pm
Evercare Pharmacy,Pharmacy,"6 A, GQS Plaza, Gov. M. Cuenco Ave",(032) 234 6087,5.0,(1),,,,Open until 11:00 pm
Rose Pharmacy,Pharmacy,Gov. M. Cuenco Ave,(032) 239 4153,5.0,(1),http://www.rosepharmacy.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 9:00 pm
Preferred Pharmacy and General Merchandise,Pharmacy,"956, Cebu South Road, Bulacao",(032) 273 1939,4.4,(8),,,,Open until 10:00 pm
Glory Pharmacy,Pharmacy,120 F. Ramos St,(032) 254 0795,4.5,(2),,,,Closing soon: 5:00 pm
The Realmed Pharmacy,Pharmacy,Aznar Rd,(032) 266 0638,5.0,(1),,,,Open until 10:00 pm
La Nueva Pharmacy,Pharmacy,499 F. Jaca St,(032) 412 0781,4.3,(4),,,,Open until 7:00 pm
Rose Pharmacy,Pharmacy,Sandayong,(032) 505 5921,4.0,(1),,,,Open until 9:00 pm
Cashmer Pharmacy,Pharmacy,,(032) 512 8658,5.0,(1),,,,Open until 10:30 pm
TGP The Generics Pharmacy,Pharmacy,"Reynes Bldg Colon Street, Cebu City, Cebu",(032) 420 4700,5.0,(1),http://www.tgp.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 9:00 pm
Generics Pharmacy,Pharmacy,San Roque Proper,(032) 232 0608,4.0,(1),,,,Open until 9:00 pm
ThreeSixty Pharmacy,Pharmacy,Gov. M. Cuenco Ave,(032) 412 2108,2.7,(6),,,,Open until 12:00 am
Rose Pharmacy,Pharmacy,"Paseo Saturnino,Luisa road",(032) 564 9839,4.0,(2),http://www.rosepharmacy.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 11:00 pm
TGP - The Generics Pharmacy,Pharmacy,E. Ceniza St,0932 244 5439,2.0,(1),https://tgp.com.ph/branches/?city_id=26,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Open until 6:00 pm
