section-result-title,cards-rating-score,section-result-num-ratings,section-result-details,section-result-location,section-result-info,section-result-info 2,section-result-action href,section-result-action-icon src,section-result-action-text
Rose Pharmacy,3.3,(3),Pharmacy,"Plaza Margarita, Sandayong",Open until 10:00 pm,(032) 239 1811,http://www.rosepharmacy.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Three Sixty Pharmacy,3.5,(2),Pharmacy,53 J. Urgello St,Open until 9:00 pm,(032) 236 9122,https://www.facebook.com/threesixtypharmacy/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Calape Pharmacy,2.0,(2),Pharmacy,Tagbilaran North Road,Open until 9:30 pm,(032) 474 8053,,,
Rose Pharmacy,4.4,(8),Pharmacy,"Cebu Corporate Accts., Highway Guizo, Mandaue City, Cebu",Open until 9:00 pm,(032) 343 3622,http://www.rosepharmacy.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
La Nueva Pharmacy,5.0,(1),Pharmacy,,Open until 8:00 pm,(032) 256 2898,https://www.facebook.com/lanuevapharmacy/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Threesixty Pharmacy,4.0,(3),Pharmacy,100 Kamuning St,Open until 9:00 pm,0933 568 4709,https://www.facebook.com/threesixtypharmacy/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
The Generics Pharmacy,3.5,(2),Pharmacy,Talamban Hoghway,Open until 12:00 am,(032) 266 2627,http://www.tgf.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Rose Pharmacy,2.2,(5),Pharmacy,"The Arcade, M.L Quezon Avenue , Pajo , 6015 Lapu-Lapu City , Cebu",Open until 10:00 pm,(032) 233 7844,http://www.rosepharmacy.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Three Sixty Pharmacy,3.7,(3),Pharmacy,Santander - Barili - Toledo Rd,Open until 8:00 pm,(032) 267 0053,,,
July Pharmacy,3.4,(8),Pharmacy,G.Y Dela Serna Street,Open until 7:00 pm,(032) 268 6992,,,
Rose Pharmacy,4.0,(6),Pharmacy,San Isidro Road,Open until 11:00 pm,(032) 268 6275,http://www.rosepharmacy.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
ThreeSixty Pharmacy,3.8,(11),Pharmacy,National Hwy,Open until 10:00 pm,(032) 340 6844,,,
Three Sixty Pharmacy,3.6,(5),Pharmacy,M. L. Quezon Ave,Open until 11:00 pm,(032) 344 3755,,,
Rose Pharmacy - Balamban,5.0,(1),Pharmacy,482 Cebu Transcentral Hwy,Closing soon: 5:00 pm,(032) 230 5000,,,
Lifemart Pharmacy,1.0,(1),Pharmacy,Basak-Cagodoy-Bankal-Buaya Road,Open until 9:00 pm,(032) 253 1188,,,
Aloe Pharmacy & General Merchandise,5.0,(2),Pharmacy,Eduarda Manales Building,Open until 11:00 pm,(032) 341 1789,,,
Rose Pharmacy,2.7,(3),Pharmacy,"GF Starmall Azienda, Sea View Heights Subdivision, Lawaan",Open until 8:00 pm,(032) 231 2817,http://www.rosepharmacy.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
La Nueva Pharmacy,2.0,(1),Pharmacy,Tres de Abril St,Open until 11:00 pm,(032) 239 4669,http://lanuevapharmacy.wordpress.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Threesixty Pharmacy,4.0,(2),Pharmacy,,Open until 7:30 pm,(032) 495 9231,,,
Rose Pharmacy,4.5,(6),Pharmacy,"Ground Floor, CP Building, Sitio Datag, M.L. Quezon National Highway",Open until 10:00 pm,(032) 268 0771,http://www.rosepharmacy.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Rose Pharmacy- SM City Cebu,5.0,(2),Pharmacy,"SM City Cebu, Unit 159, Upper GF, SM City, 8th St., Reclamation Area",Open until 9:00 pm,(032) 232 0608,http://www.rosepharmacy.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
The Generics Pharmacy,3.5,(2),Pharmacy,"Crossing Marigondon, Basak-Marigondon Rd",Open until 9:00 pm,(032) 511 8781,,,
ThreeSixty Pharmacy,3.0,(1),Pharmacy,"North Road Plaza Building, North Road",Open until 11:00 pm,(032) 520 8063,,,
TGP The Generics Pharmacy,4.4,(8),Pharmacy,"GROUND FLOOR NO. 85 OSMEÑA BOULEVARD, CEBU CITY",Open until 9:00 pm,(032) 343 3622,http://www.tgp.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Jobee Pharmacy and Grocery,5.0,(1),Pharmacy,,Open until 8:00 pm,(032) 256 2898,,,
TGP The Generics Pharmacy,4.0,(3),Pharmacy,"SHOPPE NO. 102 COCO MALL, OSMEÑA BLVD. CORNER MARIA CRISTINA ST., CEBU CITY",Open until 9:00 pm,0933 568 4709,http://www.tgp.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
360 Pharmacy,5.0,(1),Pharmacy,"Maximo Patalinghog Road , Quezon National Road, Marigondon Beach Rd",Open until 12:00 am,(032) 266 2627,,,
Mom's Best Value Pharmacy,2.2,(5),Pharmacy,"Ground Floor, Sunergia Bldg., 85 Osmeña Blvd",Open until 10:00 pm,(032) 254 9983,http://momsbvpharmacy.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Watsons Pharmacy,5.0,(1),Pharmacy,"Ground Floor Savemore Market Basak, 31 National Highway, Barangay Basak",Open until 8:00 pm,(02) 7902 8888,http://www.watsons.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
TGP The Generics Pharmacy,3.0,(1),Pharmacy,"HERNAN CORTES ST., SUBANGDAKU, MANDAUE CITY, CEBU",Open until 9:00 pm,(032) 268 6992,http://www.tgp.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Mercury Drug,3.6,(5),Pharmacy,120 Colon St,Open until 11:00 pm,(032) 253 0513,http://www.mercurydrug.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Jes Pharmacy & Gen. Merchandise,3.8,(11),Pharmacy,Candido Padilla St,Closing soon: 5:00 pm,(032) 262 2192,,,
Rose Pharmacy,3.6,(5),Pharmacy,"Shangs Island Town Center, Datag",Open until 9:00 pm,(032) 236 6677,http://www.rosepharmacy.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Golden Care Pharmacy,5.0,(1),Pharmacy,P. Cabantan,Open until 6:00 pm,(032) 419 1499,,,
ThreeSixty Pharmacy,4.0,(2),Pharmacy,M. L. Quezon Ave,Open until 9:00 pm,(032) 236 4390,,,
5th Avenue Pharmacy,5.0,(2),Pharmacy,Gonzales Compound,Open until 11:00 pm,(032) 414 0595,,,
Rose Pharmacy,3.1,(14),Pharmacy,"Robinsons Mall, Fuente Osmeña Cir",Open until 8:00 pm,(032) 253 4080,http://www.rosepharmacy.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
TGP The Generics Pharmacy,3.3,(4),Pharmacy,"Doña Luisa Building, Fuente Osmeña Cir",Open until 9:00 pm,(032) 239 4669,http://www.tgp.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Rose Pharmacy- Gun-ob,4.0,(2),Pharmacy,"FFG Arcade, A. Tumulak St",Open until 9:30 pm,(032) 495 9231,,,
Azucenas Pharmacy and General Merchandise,2.0,(1),Pharmacy,Matumbo-Pusok Road,Open until 10:00 pm,(032) 495 4649,,,
Alfar Pharmacy Tabok 1,4.0,(2),Pharmacy,P.C.Sulco,Open until 7:00 pm,(032) 232 0608,,,
Rose Pharmacy- Tita Gwapa Umapad,5.0,(1),Pharmacy,"and Plaridel St., Umapad,, G Ouano St",Open until 10:00 pm,(032) 520 2043,http://www.rosepharmacy.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Rose Pharmacy- Timex,3.0,(1),Pharmacy,"Inc, Timex Philippines Incorporated",Open until 6:00 pm,0918 804 1424,http://www.rosepharmacy.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
TGP The Generics Pharmacy,1.0,(1),Pharmacy,"A1-A SHANGS MACTAN TOWN CENTER, M.L. QUEZON NATIONAL HIGHWAY, BRGY. PAJO, LAPU-L",Open until 9:00 pm,(032) 343 3622,http://www.tgp.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
ThreeSixty Pharmacy,1.0,(1),Pharmacy,F. Ramos St,Open until 8:00 pm,(032) 256 2898,,,
TGP The Generics Pharmacy,4.0,(3),Pharmacy,F. Jaca St,Open until 9:00 pm,0933 568 4709,http://www.tgp.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Alfar Pharmacy,5.0,(1),Pharmacy,Saac - 1,Open until 12:00 am,0905 596 0466,,,
Three Sixty Pharmacy - Legaspi,2.2,(5),Pharmacy,"Legaspi Street corner Colon, Cebu City, Cebu",Open until 12:00 am,(032) 254 8601,https://www.facebook.com/threesixtypharmacy/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Rose Pharmacy,3.7,(3),Pharmacy,"GF , Mactan Marina Mall, Airport Road , 6015 Lapu-Lapu City , Cebu",Open until 12:00 am,(032) 342 8439,http://www.rosepharmacy.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Dr. Iben Ting Pharmacy,3.0,(1),Pharmacy,V. Urgello St,Open until 8:00 pm,(032) 268 6992,,,
TGP The Generics Pharmacy,3.6,(5),Pharmacy,"PAJAC-BANKAL RD., LAPU-LAPU CITY, CEBU",Open until 9:00 pm,(032) 253 0513,http://www.tgp.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Three Sixty Pharmacy,3.7,(3),Pharmacy,727 A. S. Fortuna St,Open until 10:00 pm,(032) 420 1901,http://www.threesixtypharmacy.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
St. John Bosco Pharmacy,3.6,(5),Homeopathic pharmacy,V.H.Garces,Open until 9:00 pm,(032) 491 9225,,,
Golden Bestway Pharmacy,5.0,(1),Pharmacy,A. C. Cortes Ave,Open until 6:00 pm,(032) 420 5711,,,
Rose Pharmacy- Mandaue Centro,4.0,(2),Pharmacy,"Mandaue Public Market, Zamora St., Mandaue City, Cebu",Open until 9:00 pm,(032) 345 0330,http://www.rosepharmacy.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Threesixty Pharmacy,1.0,(2),Pharmacy,A. C. Cortes Ave,Open until 11:00 pm,(032) 420 1809,,,
Mom's Best Value Pharmacy,5.0,(1),Pharmacy,F. Ramos St,Open until 10:00 pm,(032) 253 4080,,,
Threesixty Pharmacy,3.7,(3),Pharmacy,Francisco Llamas St,Open until 11:00 pm,(032) 261 6426,,,
Threesixty Pharmacy,4.0,(2),Pharmacy,"Sangi Road, Dumlog, Talisay City Philippines",Open until 9:30 pm,(032) 268 2358,http://www.threesixtypharmacy.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
ThreeSixty Pharmacy,2.7,(6),Pharmacy,Gov. M. Cuenco Ave,Open until 12:00 am,(032) 495 4649,,,
Vive Pharmacy,4.0,(2),Pharmacy,"858 Katipunan St., Tisa Cebu City",Open until 10:00 pm,0947 309 1923,,,
ThreeSixty Pharmacy,4.0,(2),Pharmacy,Natalio B. Bacalso Ave,Open until 10:00 pm,(032) 520 2043,http://www.threesixtypharmacy.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
TGP The Generics Pharmacy,4.7,(3),Pharmacy,"509 MH AZNAR ROAD, SAMBAG 1, CEBU CITY, CEBU",Open until 9:00 pm,0918 804 1424,http://www.tgp.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Mercury Drug,3.0,(2),Pharmacy,S.B. Cabahug,Open until 9:00 pm,(032) 236 2779,https://www.mercurydrug.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
TGP The Generics Pharmacy,1.0,(1),Pharmacy,"DOOR 8 E & P ARCADE, MAXIMO V. PATALINGHUG JR., AVE., BASAK, LAPU-LAPU CITY, CEB",Open until 9:00 pm,(032) 256 2898,http://www.tgp.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
ThreeSixty Pharmacy,3.0,(1),Pharmacy,Katipunan St,Open until 9:00 pm,0933 568 4709,,,
Three Sixty Pharmacy,1.0,(1),Pharmacy,"PDI Condominium, Gov. M. Cuenco Ave",Open until 12:00 am,(032) 416 1799,http://www.threesixtypharmacy.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
SOUTHSTAR DRUG,2.2,(5),Pharmacy,"ROBINSONS SUPERMARKET, G/F TALAMBAN TIME SQUARE",Open until 9:00 pm,(032) 254 8601,http://www.southstardrug.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Eimmars Drug Center,5.0,(1),Pharmacy,"Siquijor Circumferential Road, Pangi",Open until 12:00 am,(035) 480 9026,,,
Milky Way Pharmacy,3.0,(1),Pharmacy,,Open until 8:00 pm,(032) 268 6992,,,
Rose Pharmacy,5.0,(1),Pharmacy,"J Center Mall #165 Brgy. Makilid, A. S. Fortuna St",Open until 9:00 pm,(032) 520 3608,http://www.rosepharmacy.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
SOUTHSTAR DRUG,3.3,(4),Pharmacy,"ROBINSONS SUPERMARKET, ROBINSONS PLACE FUENTE",Open until 9:00 pm,(032) 254 2018,http://www.southstardrug.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Corazon De Jesus Pharmacy,3.6,(5),Pharmacy,"77, M.C. Briones Street, Ermita",Open until 9:00 pm,(032) 256 2691,,,
ThreeSixty Pharmacy,4.5,(4),Pharmacy,,Open until 6:00 pm,(032) 420 5711,,,
Rose Pharmacy- Mactan Doc,4.0,(2),Pharmacy,"Washington Street, Formerly Farmacia Ester, Basak",Open until 9:00 pm,(032) 505 2124,http://www.rosepharmacy.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Rose Pharmacy,4.3,(8),Pharmacy,"Robinson's MEPZ, Pueblo Verde, Basak, Lapu Lapu City, Cebu",Open until 11:00 pm,(032) 239 2817,http://www.rosepharmacy.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Southstar Drug,5.0,(1),Pharmacy,General Maxilom Ave Ext,Open until 9:00 pm,(032) 261 4031,http://www.southstardrug.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
JUGUIO QUIAO PHARMA TRADING/PHARMACY-Retailer,4.5,(2),Pharmacy,Sagbayan Public Market,Open until 8:00 pm,(038) 511 9610,,,
Evercare Pharmacy,3.0,(2),Pharmacy,"M. L. Quezon Street, Mandaue City",Open until 9:30 pm,(032) 344 3782,,,
Metro Pharmacy,3.0,(1),Pharmacy,,Open until 8:00 pm,(032) 416 8793,,,
Rose Pharmacy,3.0,(1),Pharmacy,"Gaio Grand Mall San, San Miguel Road",Open until 8:30 pm,(032) 260 4715,http://www.rosepharmacy.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Threesixty Pharmacy,4.0,(2),Pharmacy,S. Osmeña Street,Open until 10:00 pm,(032) 520 2043,,,
Three Sixty Pharmacy - Jagobiao,4.7,(3),Pharmacy,Hiway Jagobiao,Open until 9:00 pm,(032) 420 9206,http://threesixtypharmacy.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
ThreeSixty Pharmacy,4.3,(3),Pharmacy,Basak-Cagodoy-Bankal-Buaya Road,Open until 10:00 pm,(032) 236 2779,,,
Mercury Drug,3.5,(6),Pharmacy,B Inting St,Open until 9:00 pm,(038) 411 3087,https://www.mercurydrug.com/cgi-bin/branchdetail.py?id=a1c765e823b4940,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Lotus Pharmacy and General Merchandise,3.0,(1),Pharmacy,Jagna Wharf Rd,Open until 9:00 pm,0933 568 4709,,,
Catigbian Botika ng Bayan,3.0,(1),Pharmacy,Cortes - Balilihan - Catigbian - Macaas Rd,Closing soon: 5:00 pm,(032) 416 1799,,,
Jambo's Pharmacy,2.2,(5),Pharmacy,Datag,Open until 9:00 pm,(032) 268 8707,,,
La Nueva Pharmacy,5.0,(1),Pharmacy,A. Del Rosario St,Open until 11:00 pm,0932 307 6360,http://lanuevapharmacy.wordpress.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Evercare Pharmacy,3.0,(1),Pharmacy,Saac 1,Open until 8:00 pm,(032) 236 8502,,,
Mercury Drug,4.3,(12),Pharmacy,Archbishop Reyes Ave,Open until 11:00 pm,(032) 234 0230,https://www.mercurydrug.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Mercury Drug,3.0,(3),Pharmacy,"Gilig Bldg, Washington Rd",Open until 9:00 pm,(032) 268 3598,http://www.mercurydrug.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Rose Pharmacy Arcada 5,2.0,(1),Graduate school,"6014, 472 Lopez Jaena St",Open until 10:00 pm,(032) 266 3080,https://www.rosepharmacy.com/store-finder/rose-pharmacy-arcada-5/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Watsons Gaisano Grand Toledo,4.8,(4),Health and beauty shop,"Gaisano Grand Toledo, Toledo-Tabuelan-San Remigio, Road Sangi",Open until 9:00 pm,0917 671 6380,http://www.watsons.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Stop & Shop,5.0,(3),Clothing store,Canlingo,Open until 11:00 pm,0955 553 5377,,,
Armscor Shooting Center - Cebu,4.4,(23),Gun shop,"101, Centro Maximo Bldg D. Jakosalem St Cebu 6000 Cebu PH, Dionisio Jakosalem St",Open until 11:00 pm,(032) 412 6225,https://www.armscorshootingcenter.ph/branches/cebu-branch,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Palawan Pawnshop,5.0,(1),Pawn shop,Ms Condes Bldg,Open until 11:00 pm,(032) 273 6896,http://www.palawanpawnshop.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
"BPO Dan's Pharmacy, Zamboaguita Public Market",4.0,(2),Bank,National Road,Open until 8:00 pm,(038) 511 9610,,,
Mercury Drug,3.0,(2),Pharmacy,,Open until 11:00 pm,(034) 488 0208,https://www.mercurydrug.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
AYBC Trading,5.0,(4),Pharmaceutical products wholesaler,"RJ Ouano Bldg, M. C. Briones St",Open until 6:00 pm,(032) 262 3363,,,
Department Of Health,3.0,(2),Hospital,Osmeña Blvd,Open until 8:00 pm,0917 359 0354,,,
PDEA RO VII,2.5,(4),Regional government office,Doña Modesta Gaisano St,Open until 10:00 pm,(032) 341 0526,,,
DIVINE PROVIDER PHARMACY,4.8,(4),Pharmacy,Jalandoni St,Open until 7:00 pm,(032) 322 6317,http://www.fda.gov.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
blue ocean holdings inc.,3.8,(4),Corporate office,"Club Ultima, 819 Osmeña Blvd",Open until 11:00 pm,(032) 494 1310,,,
Watsons City Mall San Carlos,5.0,(1),Health and beauty shop,"GF City Mall, Rizal St",Open until 9:00 pm,0917 815 6239,http://www.watsons.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Department of Health Region 7,3.9,(14),Public health department,Osmeña Blvd,Closing soon: 5:00 pm,(032) 418 7123,https://ro7.doh.gov.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
University of the Visayas - Main Campus,4.3,(66),Private university,Dionisio Jakosalem St,Open until 6:00 pm,(032) 253 6173,http://uv.edu.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
PUREGOLD San Carlos,4.0,(33),Grocery store,"Sofronio Carmona Street, Sofronio Carmona Street S Carmona St",Open until 8:00 pm,(032) 268 8707,http://www.puregold.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
University of Southern Philippines Foundation,4.2,(46),Private university,"USP Compound, Salinas Dr",Open until 8:30 pm,(032) 414 8773,,,
University of San Carlos,4.2,(101),Private university,Gov. M. Cuenco Ave,Open until 9:00 pm,(032) 230 0100,http://www.usc.edu.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
SOUTHSTAR DRUG,4.0,(2),Pharmacy,"MARKET SITE, TARA ST.",Open until 9:00 pm,(056) 333 5691,http://www.southstardrug.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
METRO PHARMACY,5.0,(1),Drug store,,Open until 8:00 pm,(032) 272 3255,,,