section-result-title,cards-rating-score,section-result-num-ratings,section-result-details,section-result-location,section-result-info,section-result-action href,section-result-action-icon src 2,section-result-action-text 2,section-result-info 2,section-result-info 3,section-result-description
Cordova RORO Port,3.7,(109),Port,"Sitio Camolinas, Barangay Poblacion, Roro Port Road",0932 703 9048,,,,,,
Cebu International Port,4.0,(187),Port,,(032) 232 1461,http://www.cpa.gov.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,,,
Port Restaurant,3.7,(291),Filipino,"Waterfront Hotel & Casino, Salinas Dr",(032) 516 6018,http://www.port.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Closed,Opens at 10:00 am,
Cebu Port Authority,3.4,(21),Seaport,Quezon Blvd. Pier 1,,http://www.cpa.gov.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,,,
Angasil Port,3.1,(21),Ferry terminal,,,,,,,,
"Passenger Terminal 1, PIER 1",3.7,(86),Port authority,Quezon Blvd,,http://cebubook.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,,,
Marigondon Port,3.6,(5),Seaport,,,,,,,,
Cebu Port Authority (CIP One Stop Shop) - Port Management Division 1,4.3,(8),Port authority,,(032) 233 3814,http://cpa.gov.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,,,
Cebu Port Authority,,,Seaport,Don Andres Soriano Ave.,(032) 344 9211,http://www.cpa.gov.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,,,
Cebu Port Authority (CPA) - Port Management Division 3,3.8,(10),Ferry service,"Terminal 2 Building, Cebu Baseport, Cebu City, Cebu",(032) 253 1853,http://www.cpa.gov.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Temporarily closed,,
Cebu Port Authority,4.2,(17),Corporate office,"CPA Executive Building, CIP Complex, Sergio Osmeña Jr Boulevard",(032) 402 4131,http://www.cpa.gov.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Closed today,,
Hilton Port,3.5,(37),Ferry terminal,Punta Engaño Rd,,,,,,,
Ports of Cebu Transport Coop. (PORT CETRANSCO),5.0,(1),Travel agency,Sergio Osmeña Jr Boulevard,0905 503 1982,,,,Temporarily closed,,
Cebu Port Authority (CPA) - Port Management Division 2,4.4,(18),,"Terminal 3 Building, Cebu Baseport, Cebu City, Cebu",(032) 233 0421,http://www.cpa.gov.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,,,
Cebu International Port,4.3,(4),,Quezon Blvd,(032) 233 3814,http://www.cpa.gov.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,,,
Santa Rosa Port,4.0,(17),Ferry terminal,,,,,,,,
Philippine Ports Authority,1.0,(1),Corporate office,,,,,,,,
Boyla Island Hopping Terminal,,,Port authority,,,,,,,,
Crown Port View Hotel,3.5,(102),2-star hotel,,(032) 416 5105,,,,Temporarily closed,,
ACG Port Services,,,,"F.E. Zuellig Avenue, Mandaue City, Mandaue City, Cebu",(032) 344 7371,,,,,,
Bureau Of Customs Port Of Cebu,4.2,(5),Government office,"CIP Complex, Pier 6, NRA, Osmena Blvd",(032) 350 3219,http://customs.gov.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Closed today,,
Port Security Division - Cebu Port Authority,4.0,(187),Government office,"Cebu Port Authority, Sergio Osmeña Boulevard, North Reclamation Area",(032) 232 1967,,,,,,
Pasil Fish Port,3.7,(165),Fish farm,Belgium Street,0922 743 1610,,,,Closed,Opens at 10:00 am,
Ouano Port To Tubigon,5.0,(2),Department of Transportation,6014,,,,,,,
Port to Valhalla,3.1,(21),Port operating company,Belgium Street,,,,,,,
buyong port,3.7,(86),Marina,Buyong Rd,,,,,Temporarily closed,,
Mactan-Cebu International Airport,3.5,"(2,043)",International airport,Lapu-Lapu Airport Rd,(032) 340 2486,http://mciaa.gov.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,,,Airport with nearby lodging & gaming
Cebu Port Authority - Planning & Design Division,3.0,(1),Shipping company,"CIP Complex, Sergio Osmeña Boulevard",(032) 232 6369,http://www.cpa.gov.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,,,
Talisay Fish Port,3.8,(8),Fishing pier,"Barangay Tangke, Cebu South Coastal Rd",0995 421 5635,,,,Temporarily closed,,
Cebu Port Authority Collection Office (Berth 11),3.8,(10),Federal government office,,(032) 402 4165,http://www.cpa.gov.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Temporarily closed,Open until 7:00 pm,
Cebu Port Authority-Investigation Section,4.2,(17),,Pier 3 Port Area,(032) 255 2469,,,,Closed today,,
Lite Port Center,5.0,(1),Shopping mall,M. J. Cuenco Ave,(032) 255 1721,,,,Temporarily closed,,
Minglanilla Barge Port,3.7,(3),Port authority,Cebu S Port Rd,Temporarily closed,,,,0905 503 1982,,
Minglanilla Fishport,2.8,(6),Pier,,,,,,(032) 233 0421,,
Cebu Port United Drivers Cooperative,4.3,(4),Association or organization,"RM 6, Madrigal Building, 21 Legaspi Extension Pier 1",(032) 412 1630,,,,,,
District Collector - Port of Cebu,4.0,(17),Government office,Morgan St,(032) 231 6782,,,,,,
Port for Getafe,1.0,(1),Shipping service,,,,,,,,
Port Net Transport Services Inc.,,,Freight forwarding service,P. Burgos,(032) 343 9937,,,,,,
Marina,3.5,(102),Office supply wholesaler,Port Service Rd,Temporarily closed,,,,(032) 416 5105,,
North Reclamation Area,,,,,,,,,(032) 344 7371,,Cebu City
Cebu Port Authority (CPA) - 4th St.,4.2,(5),Port authority,Gate 4 Quezon Blvd,(032) 350 3219,http://www.cpa.gov.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Closed,Opens at 9:00 am,
Oriental Port and Allied Services Corporation,3.8,(4),Shipping service,"Don Bernardo Benedicto, 2nd St., North Reclamation AreaCebu City 6000",(032) 232 5511,,,,Closed today,,
TORIL PORT,3.7,(165),Port operating company,Mactan Channel,Closed,,,,0922 743 1610,Opens at 10:00 am,
Construction and Maintenance Division - Cebu Port Authority,5.0,(2),Government office,"Cebu Port Authority, Sergio Osmeña Boulevard, North Reclamation Area",(032) 232 6369,,,,,,
Cebu Port Authority - Office of the Deputy General Manager,3.1,(21),,"CIP Complex, North Reclamation Area, Cebu City, Cebu",,,,,,,
Cebu Harbor,3.7,(86),Port authority,,Temporarily closed,,,,,,
Catarman Port Lighthouse,3.5,"(2,043)",Port authority,Hilutungan Channel,,,,,(032) 340 2486,,Airport with nearby lodging & gaming
Cebu Asiatic Shipping And Port Services,4.0,(1),Shipping company,M J Cuenco Avenue,(032) 253 6617,,,,,,
Port Coquitlam Development Corporation,3.8,(8),Transportation service,Sergio Osmeña Jr Boulevard,(032) 232 3216,,,,Temporarily closed,,
Business Marketing and Development Department - Cebu Port Authority,3.8,(10),Government office,"Cebu Port Authority, Sergio Osmeña Boulevard, North Reclamation Area",(032) 412 9024,,,,Temporarily closed,Open until 7:00 pm,
Trans One Port Solution,4.2,(17),Transportation service,"National Road, Batiller",(032) 564 2330,,,,Temporarily closed,,
Plant Quarantine Service - Region 7-Port of Cebu,5.0,(1),,"Bureau of Plant Industry, Arellano Boulevard, Cebu City, Cebu",Temporarily closed,,,,(032) 255 1721,,
Eagle Port Pro Shop,3.7,(3),Trading company,Opon-Airport-Sangi Road,(032) 340 0306,,,,Temporarily closed,,
Sa Amihan Port Lodge,2.8,(6),Business center,"3rd Street, Carreta, Reclamation Area",(032) 232 2873,,,,,,
A.O.M ship and port management,5.0,(2),Shipyard,J.M.Ceniza,(032) 412 1630,,,,Closed today,,
Port of Getafe,3.9,(65),Port,Jetafe Port Back Rd,0916 446 0595,,,,,,
Cordova roro port road mercado,1.0,(1),Food court,,,,,,,,
Cebu Port Authority,5.0,(2),Local government office,"East Plaza Arcade, N. Bacalso S. National Highway",(032) 460 0186,http://www.cpa.gov.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,,,
Rotary Club of Cebu Port Centre,3.3,(3),Club,Country Club Village Rd,(032) 238 3958,http://www.rccebuportcentre.club/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Closed today,,
Naga Port And Shipping Marine,4.5,(4),Shipping company,Natalio B. Bacalso S National Hwy,(032) 239 4861,,,,,,Cebu City
Port Christian Center,4.2,(5),Church,Arellano Blvd,(032) 256 2807,,,,Temporarily closed,Opens at 9:00 am,
Southern Port Security Agency,3.8,(4),Escort service,554 P. Burgos Street,(032) 345 8154,,,,Closed today,,
Cebu Port United Drivers Multi-Purpose Cooperative,3.7,(165),Bank,"2nd Street, Pier 5, North Reclamation Area",(032) 236 0726,,,,Closed,Opens at 10:00 am,
Far East Bank & Trust Co. - Cebu Port Center,5.0,(2),,,(032) 232 5648,,,,,,
"Naga Port And Shipping Marine Services, Inc.",3.1,(21),,268 Magallanes St,,,,,,,
Bantayan Port,3.7,(86),Fishing pier,Bantayan Rd,,,,,Temporarily closed,,
South Port News Agency Services,3.5,"(2,043)",News service,,(032) 349 7610,http://south.gg/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,,,Airport with nearby lodging & gaming
Port Christian Center,5.0,(1),Christian church,Quezon Blvd Pier 1,(032) 256 2807,,,,Temporarily closed,,
Cordova roro port road mercado,5.0,(1),Food court,,Temporarily closed,,,,(032) 232 3216,,
Don Carlos A. Gothong Port Centre,3.8,(10),,Sulpicio Go St,Temporarily closed,,,,(032) 412 9024,Open until 7:00 pm,
Oriental Port and Allied Services Corporation,3.2,(5),Gas station,"Shell, Sergio Osmena Boulevard, Tiburcio Padilla Street Corner, 12 Avenue",(032) 233 0728,,,,Temporarily closed,,
Liloan Port,4.3,(3),Port operating company,,Temporarily closed,,,,(032) 255 1721,,
Porters Marina,3.9,(61),Boat club,,0916 671 4397,,,,Temporarily closed,,
Hyundai Cebu South,4.5,(89),Car dealer,"Brgy. Carreta, J. De Veyra St",(032) 272 3333,https://hyundaicebusouth.business.site/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Temporarily closed,,
Plas Enterprises & Engineering Services,3.0,(2),Office,"Lot35 Blk21, Cor 4th St & Humabon Ave, Cebu Port Center",(032) 234 2804,,,,Closed,Opens at 8:00 am,
Integrated Maritime,4.0,(4),Association or organization,"2nd Flr. Qimonda Building, Port Service Rd",(032) 410 6628,http://integratedmaritime.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Closed,Opens at 8:00 am,
J & N Shipping Lines Corporation,3.4,(10),Shipping company,432 Quezon Blvd,(032) 416 6840,,,,Closed,Opens at 9:00 am,
M. Lhuillier Pawnshop,3.0,(2),,"Cebu Port Center, North Reclamation Area, Cebu City, Cebu",(032) 233 8520,,,,,,
Toledo City Port,4.2,(21),Seaport,,Closed today,,,,(032) 238 3958,,
Tubigon Port,4.1,(684),Port,,0910 332 5298,,,,,,Cebu City
Gothong Southern Shipping Lines Incorporated,4.7,(7),Shipping company,"2nd Floor Don Carlos a. Gothong Port Centre, Quezon Boulevard NRA Pier 4",0915 783 7156,https://gothong.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Temporarily closed,Closing soon: 6:00 pm,
Manuto River,3.8,(4),River port,,0995 021 8420,,,,Temporarily closed,,
Cebu(Pier1),3.8,(300),Ferry terminal,,Closed,,,,(032) 236 0726,Opens at 10:00 am,
Inuboran Fish Port,4.0,(18),Restaurant,,(056) 898 6501,,,,Closed,Opens at 12:00 am,
Island Hopping in Cordova ( Cebu 247 Adventures ),4.0,(1),Boat tour agency,Roro Port Road,0998 544 6140,https://www.facebook.com/cebu247adventures/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Temporarily closed,,
OPPO Service Center SM Cebu,4.8,(4),Electrical repair shop,"2nd Floor, Cyberzone, SM City Cebu, Juan Luna Ave., Corner Cabahug and Kaoshiung Streets, North Reclamation Area, Cebu Port Center,, Mabolo, Cebu City",0927 879 6776,https://oppo-service-center-sm-cebu.business.site/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Temporarily closed,Closing soon: 6:40 pm,
Libor Port,3.5,"(2,043)",Corporate office,,,,,,(032) 349 7610,,Airport with nearby lodging & gaming
BDO Cebu - North Reclamation Branch,2.3,(3),Bank,"Block 20-A corner Port Centre Avenue &, Juan Luna Avenue",(032) 232 0321,https://www.bdo.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Closed today,,
Tagbilaran City Tourist Port,3.9,"(2,856)",Port,Tagbilaran Wharf Road,(038) 411 8138,,,,Temporarily closed,,
Oceanjet Ticketing Office,3.5,(85),Transportation service,,(032) 255 7560,http://www.oceanjet.net/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Temporarily closed,Open until 7:00 pm,
Ocean Jet Fast Ferries,5.0,(1),Freight forwarding service,"Sea Explorers Philippines, Knights of Columbus Square, 36 Archbishop Reyes Avenue, Lahug",(032) 234 0245,http://www.oceanjet.net/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Temporarily closed,,
Ubay Port,4.0,(135),Port,Pantalan Road,Temporarily closed,,,,(032) 255 1721,,
701st Maritime Police Station,3.5,(2),,"CPA Building, Pier 6, Port Area, Cebu City, Cebu",(032) 234 6009,,,,Temporarily closed,,
Pier 3 Terminal,3.7,(47),Ferry terminal,Quezon Blvd,Temporarily closed,,,,(032) 272 3333,,
Game Ports,3.0,(2),Internet cafe,L. Flores St,(032) 414 5318,,,,Closed,Opens at 8:00 am,
Ocean Jet Fast Ferries,4.0,(4),Freight forwarding service,"Unit B, Ground Floor, AsiaLight Travel and Tours, FJO Building, Manuel C. Briones Highway",(032) 345 4070,http://www.oceanjet.net/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Closed,Opens at 8:00 am,
Ocean Jet Ticket Office,3.0,(2),Shipping company,"Fuente Pension House, Don Julio Llorence Street",(032) 255 2723,http://www.oceanjet.net/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Closed,Opens at 9:00 am,
Fishport,3.0,(2),Business center,"SM City Cebu, Juan Luna Avenue, Dakbayan sa Sugbu",(032) 412 4897,,,,,,
Cebu City Goverment - Slum Improvement and Resettlement (SIR),4.2,(21),,"Pasil Fish Port, Belgium Street, Cebu City, Cebu",(032) 261 1475,,,,Closed today,,
Pier 2,5.0,(1),Transport interchange,,,,,,0910 332 5298,,Cebu City
Cebu-Mactan Ferry Terminal,3.0,(40),Ferry terminal,,Temporarily closed,,,,0915 783 7156,Closing soon: 6:00 pm,
Tungod Port,4.0,(1),Port authority,Unnamed Road,Temporarily closed,,,,0995 021 8420,,
Coast Guard Sub-Station Aduana,5.0,(1),Coast guard station,"Cebu Port Authority Building, Passenger Terminal, Pier 1, Quezon Blvd",0917 842 7086,https://web.facebook.com/profile.php?id=100010149705029,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Closed,Opens at 10:00 am,
Cebu Asiatic Shipping And Port Services Incorporated,5.0,(1),Shipping company,Buanoy,(032) 465 2880,,,,Closed,Opens at 12:00 am,
Xara - SM Cebu,4.0,(1),,"Cebu Port City, North Reclamation Area, Cebu City, 6000, Cebu",(032) 231 0058,,,,Temporarily closed,,
Philippine Coast Guard - CGSCE Pas Three,4.8,(4),,"Cebu Port Authority Building, Pier 1, Cebu City, Cebu",Temporarily closed,http://www.coastguard.gov.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,0927 879 6776,Closing soon: 6:40 pm,
Region VII Regional Director Office - Information and Communications Technology Office,3.5,"(2,043)",Government office,"Quezon Boulevard, Port Area",(032) 416 6591,,,,,,Airport with nearby lodging & gaming
Philippine Coast Guard - CGSCE Pas Two,2.0,(2),,"3rd Street, Pier 4, Port Area, Cebu City, Cebu",Closed today,http://www.coastguard.gov.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,(032) 232 0321,,
Ocean Jet Fast Ferries,3.9,"(2,856)",Freight forwarding service,"Zayril Computers and Services, Garcia Street, Capitol Site",(032) 255 0647,http://www.oceanjet.net/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Temporarily closed,,
S-ONE MARINE JOINERY,3.5,(85),Corporate office,"pier 5, International Port",(032) 255 7560,http://www.s-one.kr/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Closed today,Open until 7:00 pm,
Port of Tabuelan,3.3,(69),Port,,Temporarily closed,,,,(032) 234 0245,,
Passenger Terminal 2,3.0,(22),Ferry terminal,,Temporarily closed,,,,(032) 255 1721,,
El Felo Construction& Supply,5.0,(1),Steel distributor,"Exit Pier 4, Cebu Port Center, T. Padilla",(02) 8512 4620,,,,Temporarily closed,,
Ocean Jet Fast Ferries,3.7,(47),Freight forwarding service,"Comfort and Leisure Travel And Tours, Cebu N Rd",(032) 422 9335,http://www.oceanjet.net/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Temporarily closed,,
Ocean Jet - SM Travellers Lounge,5.0,(1),,"SM Cebu, North Reclamation Area, Cebu City, 6000, Cebu",(032) 232 0291,http://www.oceanjet.net/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Closed,Opens at 8:00 am,
Danao Port,4.1,(8),Ferry terminal,Danao Port Rd,Closed,,,,(032) 345 4070,Opens at 8:00 am,
